weather_total_precipitation_mm,weather_rainy_days,weather_total_snowfall_cm,weather_days_below_freezing,weather_total_sunshine_hours,weather_days_pleasant_temp,weather_avg_daily_max_windspeed_ms,nearest_gas_station_distance_miles,nearest_gas_station_rating,nearest_gas_station_rating_count,competitors_count_4miles,competitor_1_google_rating,competitor_1_distance_miles,competitor_1_rating_count,distance_nearest_costco(5 mile),distance_nearest_walmart(5 mile),distance_nearest_target (5 mile),other_grocery_count_1mile,count_food_joints_0_5miles (0.5 mile),current_count,previous_count,client_id,street,city,zip,site_client_id,location_id,_match_type,age_on_30_sep_25,region,state,region_enc,state_enc,costco_enc,tunnel_count,carwash_type_encoded,primary_carwash_type,official_website,Address,latitude,longitude
1347.5,134.0,50.75,84.0,3111.232169,140.0,20.11912568,0.1,3.9,68,6.0,4.6,0.55,221.0,,0.15,,2.0,7.0,478789.42,187007.0,Zips Express Car Wash,160 Codella Dr,Winchester,40391,1648,15,chain+street+zip,3.0,South,KY,2,13,99.0,3,1,Express Tunnel,https://zipscarwash.com/,"Zips Express Car Wash, 160 Codella Dr, Winchester, KY, 40391",37.989728,-84.209236
302.2,71.0,14.35,55.0,3297.924711,107.0,14.71639344,0.55,4.2,224,7.0,,0.57,,2.55,2.45,2.47,2.0,20.0,39744.58,16375.96,Autobahn Auto Care Center,1225 Guyer Ave,Richland,99352,43,3,chain+street+zip,2.0,West,WA,4,42,2.55,0,1,Express Tunnel,https://autobahnautocare.biz/,"Autobahn Auto Care Center, 1225 Guyer Ave, Richland, WA, 99352",46.2830888,-119.2747996
491.9,80.0,66.57,102.0,3631.130508,125.0,19.31557377,0.26,3.8,114,11.0,3.8,0.85,4.0,,2.19,2.98,,1.0,27442.57,13259.36,Zelo Car Wash,18690 E Iliff Ave,Aurora,80013,1641,1,chain+street+zip,2.0,West,CO,4,4,99.0,0,1,Express Tunnel,https://zelocarwash.com/,"Zelo Car Wash, 18690 E Iliff Ave, Aurora, CO, 80013",39.676744,-104.7703692
148.6,29.0,0.0,0.0,3883.211617,131.0,16.71174863,0.13,3.9,177,11.0,1.4,0.09,41.0,,,1.16,1.0,20.0,59314.0,30504.0,Havasu Express,108 N Lake Havasu Ave,Lake Havasu City,86403,618,1,chain+street+zip,2.0,West,AZ,4,2,99.0,0,2,Mobile,https://www.havasuvegasexpress.com/,"Havasu Express, 108 N Lake Havasu Ave, Lake Havasu City, AZ, 86403",34.4769655,-114.3461931
1163.9,100.0,5.53,20.0,3381.689033,139.0,16.25327869,0.28,2.6,9,13.0,4.9,0.65,15.0,,2.87,2.99,1.0,10.0,30102.31,16644.91,Soapies,300 E Marshall Ave,Longview,75601,1260,1,chain+street+zip,7.0,South,TX,2,37,99.0,0,1,Express Tunnel,https://www.soapiescarwash.com/,"Soapies, 300 E Marshall Ave, Longview, TX, 75601",32.5001696,-94.7353688
1352.4,126.0,47.6,72.0,3075.724039,134.0,14.3795082,0.21,3.7,41,14.0,4.4,0.26,84.0,4.98,,,3.0,10.0,47922.77,26250.0,Classie Express Car Wash,510 E Broadway,Louisville,40202,310,1,chain+street+zip,2.0,South,KY,2,13,4.98,0,1,Express Tunnel,https://carwashfind.com/directory/kentucky/louisville/classie-express-car-wash/,"Classie Express Car Wash, 510 E Broadway, Louisville, KY, 40202",38.244717,-85.745071
1130.1,140.0,0.0,0.0,3692.489164,176.0,16.34562842,2.35,2.8,35,6.0,4.3,2.48,653.0,,1.66,2.02,,0.0,199363.81,118329.07,Woodies,13825 State Road 70 E,Bradenton,34202,1626,18,chain+street+zip,2.0,South,FL,2,7,99.0,1,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 13825 State Road 70 E, Bradenton, FL, 34202",27.4142643,-82.4474296
1130.1,140.0,0.0,0.0,3692.489164,176.0,16.34562842,0.65,3.7,52,1.0,3.2,3.73,272.0,,4.06,2.06,1.0,3.0,256670.56,174997.29,Woodies,6612 University Pkwy,Sarasota,34240,1636,19,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 6612 University Pkwy, Sarasota, FL, 34240",27.385202,-82.424886
1241.2,89.0,15.96,29.0,3455.655422,132.0,17.08278689,0.08,4.0,2,13.0,4.9,1.0,897.0,,1.01,0.87,,8.0,101509.49,59893.0,Glo Car Wash,8409 Bedford Euless Rd,Hurst,76053,555,1,chain+street+zip,7.0,South,TX,2,37,99.0,0,1,Express Tunnel,https://www.glowcarwash.com/,"Glo Car Wash, 8409 Bedford Euless Rd, Hurst, TX, 76053",32.833872,-97.19808
466.0,38.0,0.0,0.0,3575.230903,270.0,10.35,0.77,4.1,241,14.0,4.5,0.33,352.0,2.72,1.53,0.6,4.0,4.0,266044.86,190453.0,Chemical Guys Car Wash,21003 Bloomfield Ave,Lakewood,90715,297,1,chain+street+zip,2.0,West,CA,4,3,2.72,2,1,Express Tunnel,https://chemicalguyscarwash.com/,"Chemical Guys Car Wash, 21003 Bloomfield Ave, Lakewood, CA, 90715",33.8383155,-118.0637451
