client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,asp_mem,asp_ret,mem_revenue_pct,mem_count_pct,client_id_1,active,address,lat,lon
Hurricane Bay Express,000003_hurricane,1,2020,1,0,0,0.0,1699,23442.0,,13.8,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,2,0,0,0.0,2895,40824.0,,14.1,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,3,0,0,0.0,2438,34418.0,,14.12,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,4,0,0,0.0,2367,33551.0,,14.17,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,5,0,0,0.0,3147,44752.5,,14.22,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,6,0,0,0.0,3373,48124.5,,14.27,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,7,0,0,0.0,2863,45382.2,,15.85,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,8,0,0,0.0,2694,43510.2,,16.15,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,9,0,0,0.0,4342,69714.8,,16.06,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,10,0,0,0.0,3444,54876.2,,15.93,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,11,0,0,0.0,2779,44124.45,,15.88,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2020,12,0,0,0.0,3092,49225.7,,15.92,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,1,0,0,0.0,3252,51554.0,,15.85,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,2,0,0,0.0,3828,60454.0,,15.79,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,3,0,0,0.0,4514,73469.0,,16.28,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,4,0,0,0.0,4163,67594.0,,16.24,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,5,0,0,0.0,4818,78511.4,,16.3,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,6,0,0,0.0,3566,58328.8,,16.36,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,7,0,0,0.0,3483,57204.8,,16.42,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,8,0,0,0.0,3353,55617.2,,16.59,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,9,0,0,0.0,3472,57146.2,,16.46,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,10,0,0,0.0,3198,52266.8,,16.34,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,11,0,0,0.0,3333,54573.0,,16.37,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2021,12,0,0,0.0,3175,51692.8,,16.28,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2022,1,0,0,0.0,3964,62915.5,,15.87,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2022,2,0,0,0.0,4570,73179.8,,16.01,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2022,3,0,0,0.0,3913,63198.0,,16.15,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2022,4,0,0,0.0,4220,68978.0,,16.35,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,1,2022,5,0,0,0.0,2204,35532.0,,16.12,0.0,0.0,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,2,2025,11,33,4,34.75,44,211.5,1.05,4.81,14.11,8.33,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,2,2025,12,119,1400,57.13,863,12397.0,0.48,14.37,0.46,61.86,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
Hurricane Bay Express,000003_hurricane,2,2026,1,128,2142,160.76,469,6993.0,1.26,14.91,2.25,82.04,000003_hurricane,False,"30 Patriot Dr, KY, 40004, South",37.8601265,-85.5185246
