month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
0,2026-06,0,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,0.9541046459179071,10050.356605880963,9.215462890037275,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9265.247670462117,3776.745192024866,22729.840121668043,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
1,2026-07,1,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,0.9678425569953593,9945.826642129166,9.20500884884423,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9010.29434851449,3672.8198824051133,22104.379426771295,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
2,2026-08,2,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,0.9769107974713804,10770.3485029984,9.28464497150447,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10034.943440605257,4090.4923148867197,24618.085576072088,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
3,2026-09,3,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,0.9769107974713804,9687.713543269938,9.178716934798802,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10778.587525975907,4393.620123650546,26442.42009675478,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
4,2026-10,4,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,0.9769107974713804,10972.48445705355,9.303237137934524,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12238.564245088277,4988.742914804262,30024.087698860712,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
5,2026-11,5,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,0.9769107974713804,8277.54280712,9.02142224241308,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11432.311715049967,4660.094348173102,28046.15988114193,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
6,2026-12,6,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,0.9665228388632644,8298.784758761547,9.0239848607691,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,13396.745937222682,5460.846553350783,32865.38084399528,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
7,2027-01,7,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,0.9665228388632644,8921.209281200323,9.096298872171715,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,7657.703968451653,3121.4704316001335,18786.155868976097,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
8,2027-02,8,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,0.9677257641101276,9494.30653874951,9.158552906953751,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9527.364310409426,3883.5904480698496,23372.874126924595,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
9,2027-03,9,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,0.9750566402123155,12902.30869468312,9.465239045422281,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10529.025427205923,4291.892410569978,25830.185345216105,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
