client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
360carwash_1,2024-02-19,32.6466149,-96.5333187,TX,South,Seagoville,75159,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cb94edfffff
alpineshell_1,2024-02-05,32.835188,-116.765481,CA,West,Alpine,91901,young,41740,"San Diego-Carlsbad, CA",8829a4424bfffff
aquashineexpress_3,2024-11-06,26.646338,-81.9860327,FL,South,Cape Coral,33991,young,15980,"Cape Coral-Fort Myers, FL",8844133807fffff
bashamagicaltouchcarwash_1,2024-07-18,42.566565,-82.913395,MI,Midwest,Clinton Township,48035,young,19820,"Detroit-Warren-Dearborn, MI",882ab2d751fffff
bigdripcarwash_1,2024-08-14,33.3500742,-86.6338366,AL,South,Chelsea,35043,young,13820,"Birmingham-Hoover, AL",8844e8311dfffff
bighorncarwash_1,2024-11-25,46.606317,-112.0200597,MT,West,Helena,59601,young,25740,"Helena, MT",8827926725fffff
bigpeachcarwash_10,2024-03-11,33.1941083,-84.2833177,GA,South,Griffin,30224,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c19acbfffff
bigpeachcarwash_12,2024-01-18,32.867664,-83.697896,GA,South,Macon,31210,young,31420,"Macon-Bibb County, GA",8844c0a201fffff
bigpeachcarwash_9,2024-03-27,30.499574,-84.328465,FL,South,Tallahassee,32303,young,45220,"Tallahassee, FL",8844e0484bfffff
bigrivercarwash_4,2024-05-08,32.366088,-86.143386,AL,South,Montgomery,36117,young,33860,"Montgomery, AL",8844eeb437fffff
blastcarwash_1,2024-03-06,32.8908534,-96.4693111,TX,South,Rockwall,75032,young,19100,"Dallas-Fort Worth-Arlington, TX",8826c82e0bfffff
bluebuffalocarwash_1,2024-11-19,42.0992047,-79.2983729,NY,Northeast,Lakewood,14750,young,27460,"Jamestown-Dunkirk-Fredonia, NY",882aa2da6dfffff
bluerainexpress_2,2024-09-25,33.3429979,-86.7946528,AL,South,Pelham,35124,young,13820,"Birmingham-Hoover, AL",8844e832dbfffff
bluewave_65,2024-04-11,26.255522,-98.2316589,TX,South,McAllen,78504,young,32580,"McAllen-Edinburg-Mission, TX",8848b38413fffff
blusaharacarwash_1,2024-11-19,36.144831,-115.223724,NV,West,Las Vegas,89146,young,29820,"Las Vegas-Henderson-Paradise, NV",882986b8c7fffff
bluwavefl_1,2024-03-18,26.493543,-81.8046573,FL,South,Fort Myers,33912,young,15980,"Cape Coral-Fort Myers, FL",8844130891fffff
bubblebay_1,2024-02-08,42.0653996,-71.016278,MA,Northeast,Brockton,02301,young,14460,"Boston-Cambridge-Newton, MA-NH",882a339537fffff
bubbledown_5,2024-01-11,28.2179191,-82.2588074,FL,South,Zephyrhills,33543,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a086bfffff
bubbledown_6,2024-11-22,28.099303,-82.740366,FL,South,Palm Harbor,34684,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441ab847fffff
