site_key,client_id,site_id,latitude,longitude,,created_date,first_hour,last_hour,hours_observed,span_days,span_years,washes_year_1,washes_year_2,washes_year_3,washes_year_4,washes_year_5
slimolson_000166___1,slimolson_000166,1,40.716075,-111.952094,,2019-06-27 20:40:10,2020-01-01 0:00:00,2026-07-10 2:00:00,29340,2382,6.521560575,18066,38843,30167,26893,24390
kazbour_000007___2,kazbour_000007,2,27.938162,-82.293311,,2018-09-05 15:38:24,2020-01-01 5:00:00,2026-07-10 5:00:00,24639,2382,6.521560575,,87,199,208,177
zippycarwash_000145___1,zippycarwash_000145,1,34.045901,-85.235689,,2019-03-13 15:07:54,2020-01-01 5:00:00,2026-07-10 5:00:00,27231,2382,6.521560575,8981,63625,72535,68996,73120
localcarwash_000028___1,localcarwash_000028,1,39.935767,-77.666634,,2017-02-07 17:25:05,2020-01-01 5:00:00,2026-07-10 5:00:00,23043,2382,6.521560575,,,2573,21090,26391
royalsplash_000068___1,royalsplash_000068,1,42.099769,-71.503491,,2018-03-15 14:21:19,2020-01-01 5:00:00,2026-07-10 5:00:00,26771,2382,6.521560575,,5627,27681,33789,39122
pristine_000034___1,pristine_000034,1,28.139289,-80.671716,,2017-05-09 12:37:06,2020-01-01 5:00:00,2026-07-10 5:00:00,22755,2382,6.521560575,,,10054,25371,25365
koalacarwash_000094___1,koalacarwash_000094,1,33.946133,-83.352455,,2018-07-31 16:10:52,2020-01-01 5:00:00,2026-07-10 5:00:00,26601,2382,6.521560575,,34172,73400,69137,66813
weberwash_000038___1,weberwash_000038,1,38.481035,-90.221359,,2017-05-24 12:41:10,2020-01-01 0:00:00,2026-07-10 0:00:00,29862,2382,6.521560575,,,18734,60656,58441
riverside_000010___3,riverside_000010,3,42.968525,-85.069889,,2017-11-14 22:59:21,2020-01-01 5:00:00,2026-07-10 5:00:00,29397,2382,6.521560575,,,46790,68501,72474
kazbour_000007___1,kazbour_000007,1,27.853143,-82.326566,,2016-07-26 16:01:43,2020-01-01 5:00:00,2026-07-10 5:00:00,25207,2382,6.521560575,,,,217,400
steese___1,steese,1,64.851597,-147.695141,,2017-10-31 3:32:27,2020-01-01 0:00:00,2026-07-10 1:00:00,18764,2382,6.521560575,,,52221,73428,68928
seawaycarwash_000181___3,seawaycarwash_000181,3,44.43221,-73.211566,,2019-10-22 18:44:55,2020-01-01 0:00:00,2026-07-10 0:00:00,36181,2382,6.521560575,15395,23077,22652,24892,24513
jjscarwash_000042___3,jjscarwash_000042,3,29.488776,-95.161257,,2018-08-29 12:50:51,2020-01-01 0:00:00,2026-07-10 1:00:00,29912,2382,6.521560575,,75870,125593,139194,145240
jjscarwash_000042___1,jjscarwash_000042,1,29.485598,-95.215292,,2017-07-26 21:46:49,2020-01-01 0:00:00,2026-07-10 0:00:00,29604,2382,6.521560575,,,56897,99265,108852
xpresstx_000070___1,xpresstx_000070,1,32.833815,-97.198195,,2018-04-16 21:36:43,2020-01-01 0:00:00,2026-07-10 0:00:00,28049,2382,6.521560575,,14202,62920,63246,60508
radiantcw_000133___1,radiantcw_000133,1,28.05735,-81.812829,,2019-01-21 17:02:36,2020-01-01 5:00:00,2026-07-10 5:00:00,30475,2382,6.521560575,6840,127229,169840,169838,160606
superiorshinecw_000192___1,superiorshinecw_000192,1,42.500348,-82.897306,,2019-09-13 13:08:22,2020-01-01 5:00:00,2026-07-10 5:00:00,23312,2382,6.521560575,61633,117273,120015,117184,117356
riverside_000010___1,riverside_000010,1,42.9321,-85.3591,,2016-07-29 20:43:44,2020-01-01 5:00:00,2026-07-10 5:00:00,30138,2382,6.521560575,,,,50592,108468
texascarwash_000046___1,texascarwash_000046,1,40.614611,-73.643619,,2017-10-17 12:14:06,2020-01-01 5:00:00,2026-07-10 5:00:00,20657,2382,6.521560575,,,25237,38179,38343
splashhopper_000057___1,splashhopper_000057,1,31.298122,-86.499587,,2017-12-21 18:20:26,2020-01-01 0:00:00,2026-07-10 0:00:00,31107,2382,6.521560575,,,76767,90061,81053
sandiegocarcare_000024___1,sandiegocarcare_000024,1,32.866987,-117.21594,,2017-01-10 19:07:02,2020-01-01 0:00:00,2026-07-10 0:00:00,23696,2382,6.521560575,,,453,20436,29385
washashorecw_000139___1,washashorecw_000139,1,41.818279,-70.552212,,2019-02-18 15:23:34,2020-01-01 5:00:00,2026-07-10 5:00:00,26833,2382,6.521560575,6211,57963,73483,77759,75239
olliewash_000159___1,olliewash_000159,1,37.734787,-87.121231,,2019-06-04 15:22:05,2020-01-01 0:00:00,2026-07-10 0:00:00,33046,2382,6.521560575,24717,109072,157021,172790,164846
snappyscarwash_000115___1,snappyscarwash_000115,1,26.528741,-81.866561,,2018-11-05 15:51:17,2020-01-01 5:00:00,2026-07-10 5:00:00,34134,2382,6.521560575,,59427,97391,107596,100346
oceanstatecw_000169___1,oceanstatecw_000169,1,41.719365,-71.443294,,2019-07-16 14:03:06,2020-01-01 5:00:00,2026-07-10 5:00:00,24292,2382,6.521560575,14970,45894,61489,65131,65402
northport_000093___1,northport_000093,1,27.044043,-82.239508,,2018-07-30 21:24:52,2020-01-01 5:00:00,2026-07-10 5:00:00,27243,2382,6.521560575,,24718,35958,39743,31317
secaucuscarwash_000042___1,secaucuscarwash_000042,1,40.79373,-74.059533,,2017-06-29 18:59:16,2020-01-01 5:00:00,2026-07-10 5:00:00,20932,2382,6.521560575,,,8709,26186,28364
patriotpetro_000084___1,patriotpetro_000084,1,41.55915,-71.287695,,2018-06-27 14:53:05,2020-01-01 5:00:00,2026-07-10 5:00:00,27615,2382,6.521560575,,9286,21424,26997,18310
wowcarwash_000158___1,wowcarwash_000158,1,33.811968,-83.727074,,2019-06-04 15:10:08,2020-01-01 5:00:00,2026-07-10 5:00:00,27772,2382,6.521560575,14670,50383,58204,66174,76271
trushine_000114___1,trushine_000114,1,36.629215,-82.130025,,2018-11-05 15:43:18,2020-01-01 5:00:00,2026-07-10 5:00:00,26472,2382,6.521560575,,29812,51368,56721,51716
touchandgo_000041___1,touchandgo_000041,1,31.579018,-90.463956,,2017-06-06 12:03:48,2020-01-01 0:00:00,2026-07-10 0:00:00,29258,2382,6.521560575,,,41546,113641,118412
