site_key,client_id,site_id,latitude,longitude,tunnel_length_actual_ft,p25_daily_peak_volume_cars,median_daily_peak_volume_cars,p75_daily_peak_volume_cars,p90_daily_peak_volume_cars,max_daily_peak_volume_cars,washes_year_2020,washes_year_2021,washes_year_2022,washes_year_2023,washes_year_2024,washes_year_2025,washes_year_2026,created_date,name,code,address1,country,state,city,postal_code
5028930scrub___1,5028930scrub,1,29.585213,-98.450681,80.0,0.0,0.0,0.0,1.0,2.0,23.0,0.0,,,,,,2016-05-03 15:12:54,SCRUB A DUB CW,MAIN,2410 THOUSAND OAKS DRIVE,US,TX,SAN ANTONIO,78232
98678palmisland___1,98678palmisland,1,28.372665,-80.699772,96.0,6.0,8.0,11.0,13.0,23.0,10956.0,5542.0,,,,,,2016-12-27 17:13:37,KLEEN MACHINE,MAIN,890 N Courtenay Pkwy,US,FL,Merritt Island,32953
aberdeencw_000453___1,aberdeencw_000453,1,0.0,0.0,112.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,2022-04-14 11:55:37,Aberdeen Car Wash,DEF,2 Cambridge Dr,US,NJ,Aberdeen,7747
aladdincw_000434___1,aladdincw_000434,1,31.0889,-97.378205,105.6,11.0,14.0,18.0,21.0,69.0,,,2043.0,32631.0,35114.0,33100.0,14448.0,2022-02-21 16:32:12,Aladdin Car Wash,DEF,1616 S 57th St,US,TX,Temple,76504
americanpride_000238___4,americanpride_000238,4,35.902215,-78.653304,128.0,53.0,68.0,84.0,98.0,128.0,,78308.0,172157.0,212661.0,209749.0,222633.0,122409.0,2020-12-28 15:48:50,American Pride Six Forks,NRA,8909 Six Forks Rd,US,NC,Raleigh,27615
bigdans_000378___18,bigdans_000378,18,27.448152,-82.533549,147.20000000000002,33.0,41.0,51.0,58.400000000000006,88.0,,,,48235.0,28039.0,,,2023-06-16 13:53:38,Big Danâ€™s Bradenton,12008,5225 24th St E,US,FL,Bradenton,34203
bigdans_000378___20,bigdans_000378,20,25.98535,-80.176124,147.20000000000002,2.25,2.5,2.75,2.9,3.0,,,,12.0,,,,2023-10-16 17:15:55,Big Dan's Pembroke Park,PPARK2,3301 W Hallandale Beach Blvd,US,FL,Pembroke Park,33023
bigpeachcw_000300___11,bigpeachcw_000300,11,35.755982,-83.94236,124.8,10.75,13.0,19.0,22.099999999999994,41.0,,,,,,24156.0,,2023-11-20 22:44:49,Big Peach Maryville,301MAR,2013 E Lamar Alexander Pkwy,US,TN,Maryville,37804
bigpeachcw_000300___14,bigpeachcw_000300,14,30.557267,-84.593516,140.8,19.0,23.0,29.0,36.0,48.0,,,,,,45514.0,32618.0,2024-06-19 19:14:41,Big Peach Quincy,202QUI,1920 Pat Thomas Pkwy,US,FL,Quincy,32351
bigpeachcw_000300___16,bigpeachcw_000300,16,32.548537,-82.972677,124.8,13.0,16.0,21.0,24.0,35.0,,,,,,19292.0,,2025-01-06 21:33:36,Big Peach Dublin,111DUB,2404 US-80,US,GA,Dublin,31021
