location_id,location_name,month,bucket_date,accounts_start,accounts_end,deactivated_accounts,active_members,churn_rate_accounts,churn_rate_members,new_signups,source_schema
DEF,Alpine Wash,Jan-19,2019-01-01,1,1,0,1,0E-15,0E-15,0,alpine_wash_llc
DEF,Alpine Wash,Feb-19,2019-02-01,1,73,0,83,0E-15,0E-15,72,alpine_wash_llc
DEF,Alpine Wash,Mar-19,2019-03-01,73,271,13,309,17.808219178082191,15.662650602409638,211,alpine_wash_llc
DEF,Alpine Wash,Apr-19,2019-04-01,271,345,29,401,10.701107011070110,9.385113268608414,102,alpine_wash_llc
DEF,Alpine Wash,May-19,2019-05-01,345,412,32,473,9.275362318840579,8.478802992518703,99,alpine_wash_llc
DEF,Alpine Wash,Jun-19,2019-06-01,412,452,39,514,9.466019417475728,8.668076109936575,79,alpine_wash_llc
DEF,Alpine Wash,Jul-19,2019-07-01,452,501,24,566,5.309734513274336,5.447470817120622,73,alpine_wash_llc
DEF,Alpine Wash,Aug-19,2019-08-01,501,540,33,608,6.586826347305389,6.007067137809187,72,alpine_wash_llc
DEF,Alpine Wash,Sep-19,2019-09-01,540,586,46,663,8.518518518518518,7.565789473684210,92,alpine_wash_llc
DEF,Alpine Wash,Oct-19,2019-10-01,586,627,47,709,8.020477815699658,7.239819004524886,88,alpine_wash_llc
DEF,Alpine Wash,Nov-19,2019-11-01,627,636,39,716,6.220095693779904,5.923836389280677,48,alpine_wash_llc
DEF,Alpine Wash,Dec-19,2019-12-01,636,651,39,735,6.132075471698113,5.726256983240223,54,alpine_wash_llc
DEF,Alpine Wash,Jan-20,2020-01-01,651,651,43,736,6.605222734254992,5.850340136054421,43,alpine_wash_llc
DEF,Alpine Wash,Feb-20,2020-02-01,651,665,33,751,5.069124423963133,4.619565217391304,47,alpine_wash_llc
DEF,Alpine Wash,Mar-20,2020-03-01,665,644,50,730,7.518796992481203,6.790945406125166,29,alpine_wash_llc
DEF,Alpine Wash,Apr-20,2020-04-01,644,659,51,745,7.919254658385093,7.123287671232876,66,alpine_wash_llc
DEF,Alpine Wash,May-20,2020-05-01,659,688,35,773,5.311077389984825,4.966442953020134,64,alpine_wash_llc
DEF,Alpine Wash,Jun-20,2020-06-01,688,733,23,817,3.343023255813953,3.104786545924967,68,alpine_wash_llc
DEF,Alpine Wash,Jul-20,2020-07-01,733,809,41,892,5.593451568894952,5.263157894736842,117,alpine_wash_llc
DEF,Alpine Wash,Aug-20,2020-08-01,809,877,35,960,4.326328800988875,4.035874439461883,103,alpine_wash_llc
DEF,Alpine Wash,Sep-20,2020-09-01,877,922,46,1003,5.245153933865450,5.000000000000000,91,alpine_wash_llc
DEF,Alpine Wash,Oct-20,2020-10-01,922,986,57,1066,6.182212581344902,5.882352941176470,121,alpine_wash_llc
DEF,Alpine Wash,Nov-20,2020-11-01,986,1023,41,1103,4.158215010141987,3.939962476547842,78,alpine_wash_llc
DEF,Alpine Wash,Dec-20,2020-12-01,1023,1033,56,1115,5.474095796676441,5.077062556663644,66,alpine_wash_llc
DEF,Alpine Wash,Jan-21,2021-01-01,1033,1065,57,1143,5.517909002904162,5.560538116591928,89,alpine_wash_llc
DEF,Alpine Wash,Feb-21,2021-02-01,1065,1126,49,1204,4.600938967136150,4.374453193350831,110,alpine_wash_llc
DEF,Alpine Wash,Mar-21,2021-03-01,1126,1262,48,1340,4.262877442273534,3.986710963455149,184,alpine_wash_llc
DEF,Alpine Wash,Apr-21,2021-04-01,1262,1378,50,1457,3.961965134706814,3.731343283582089,166,alpine_wash_llc
DEF,Alpine Wash,May-21,2021-05-01,1378,1411,66,1488,4.789550072568940,4.667124227865477,99,alpine_wash_llc
DEF,Alpine Wash,Jun-21,2021-06-01,1411,1445,89,1521,6.307583274273564,6.048387096774193,123,alpine_wash_llc
DEF,Alpine Wash,Jul-21,2021-07-01,1445,1525,59,1600,4.083044982698961,3.944773175542406,139,alpine_wash_llc
DEF,Alpine Wash,Aug-21,2021-08-01,1525,1597,80,1675,5.245901639344262,5.062500000000000,152,alpine_wash_llc
DEF,Alpine Wash,Sep-21,2021-09-01,1597,1686,87,1755,5.447714464621164,5.970149253731343,176,alpine_wash_llc
DEF,Alpine Wash,Oct-21,2021-10-01,1686,1818,98,1888,5.812574139976275,5.584045584045584,230,alpine_wash_llc
DEF,Alpine Wash,Nov-21,2021-11-01,1818,1835,114,1907,6.270627062706270,6.038135593220338,131,alpine_wash_llc
DEF,Alpine Wash,Dec-21,2021-12-01,1835,1856,134,1926,7.302452316076294,7.131620346093340,155,alpine_wash_llc
DEF,Alpine Wash,Jan-22,2022-01-01,1856,1882,116,1951,6.250000000000000,6.074766355140186,142,alpine_wash_llc
