client_id,street,city,zip,site_client_id,location_id,address,table_name
Zips Express Car Wash,160 Codella Dr,Winchester,40391,1648,15,"Zips Express Car Wash, 160 Codella Dr, Winchester, KY, 40391",q4_new_car_wash_zips_express_car_wash
Autobahn Auto Care Center,1225 Guyer Ave,Richland,99352,43,3,"Autobahn Auto Care Center, 1225 Guyer Ave, Richland, WA, 99352",q4_new_car_wash_autobahn_auto_care_center
Zelo Car Wash,18690 E Iliff Ave,Aurora,80013,1641,1,"Zelo Car Wash, 18690 E Iliff Ave, Aurora, CO, 80013",q4_new_car_wash_zelo_car_wash
Havasu Express,108 N Lake Havasu Ave,Lake Havasu City,86403,618,1,"Havasu Express, 108 N Lake Havasu Ave, Lake Havasu City, AZ, 86403",q4_new_car_wash_havasu_express
Soapies,300 E Marshall Ave,Longview,75601,1260,1,"Soapies, 300 E Marshall Ave, Longview, TX, 75601",q4_new_car_wash_soapies
Classie Express Car Wash,510 E Broadway,Louisville,40202,310,1,"Classie Express Car Wash, 510 E Broadway, Louisville, KY, 40202",q4_new_car_wash_classie_express_car_wash
Woodies,13825 State Road 70 E,Bradenton,34202,1626,18,"Woodies, 13825 State Road 70 E, Bradenton, FL, 34202",q4_new_car_wash_woodies
Woodies,6612 University Pkwy,Sarasota,34240,1636,19,"Woodies, 6612 University Pkwy, Sarasota, FL, 34240",q4_new_car_wash_woodies
Glo Car Wash,8409 Bedford Euless Rd,Hurst,76053,555,1,"Glo Car Wash, 8409 Bedford Euless Rd, Hurst, TX, 76053",q4_new_car_wash_glo_car_wash
Chemical Guys Car Wash,21003 Bloomfield Ave,Lakewood,90715,297,1,"Chemical Guys Car Wash, 21003 Bloomfield Ave, Lakewood, CA, 90715",q4_new_car_wash_chemical_guys_car_wash
Zips Express Car Wash,4860 Cane Run Rd,Louisville,40216,1654,5,"Zips Express Car Wash, 4860 Cane Run Rd, Louisville, KY, 40216",q4_new_car_wash_zips_express_car_wash
Xcell Auto Spa,3510 W Boynton Beach Blvd,Boynton Beach,33436,1639,1,"Xcell Auto Spa, 3510 W Boynton Beach Blvd, Boynton Beach, FL, 33436",q4_new_car_wash_xcell_auto_spa
Riptide,1101 N Bragg Blvd,Spring Lake,28390,1160,8,"Riptide, 1101 N Bragg Blvd, Spring Lake, NC, 28390",q4_new_car_wash_riptide
Woodies,3011 W Gandy Blvd,Tampa,33611,1629,15,"Woodies, 3011 W Gandy Blvd, Tampa, FL, 33611",q4_new_car_wash_woodies
Tsunami Car Wash,140 W Puetz Rd,Oak Creek,53154,1477,9,"Tsunami Car Wash, 140 W Puetz Rd, Oak Creek, WI, 53154",q4_new_car_wash_tsunami_car_wash
Edge Express,110 Patriot Crossing Drive,Stafford,22554,447,8,"Edge Express, 110 Patriot Crossing Drive, Stafford, VA, 22554",q4_new_car_wash_edge_express
