zip5,total_washes,avg_washes,n_site_days,retail_total,membership_total,voucher_total,precip_mean,snowfall_mean,sunshine_mean,wind_mean,region,state,city,retail_share,membership_share,voucher_share,latitude,longitude,has_lat_lon,kmeans_cluster,dbscan_cluster,tsne_x,tsne_y
01830,201712,277.0769230769231,728,157867,19394,24451,1000.0,89.32,2966.076464,18.68278689,Northeast,MA,Haverhill,0.7826356389307527,0.09614698183548823,0.12121737923375903,42.7856,-71.0721,True,1,-1,-13.912644,9.610498
01841,206752,284.0,728,183179,21669,1904,1033.9,87.78,2981.593786,19.06393443,Northeast,MA,Lawrence,0.8859841742764278,0.10480672496517567,0.009209100758396533,42.7115,-71.167,True,1,-1,-8.988389,12.828073
01843,412318,283.18543956043953,1456,357779,43313,11226,1033.9,87.78,2981.593786,19.06393443,Northeast,MA,Lawrence,0.8677258814798287,0.10504756037815473,0.027226558142016598,42.6911,-71.1605,True,4,-1,-14.673694,15.833277
01844,198380,272.5,728,157824,21284,19272,1033.9,87.78,2981.593786,19.06393443,Northeast,MA,Methuen,0.7955640689585644,0.10728904123399537,0.09714688980744027,42.728,-71.181,True,1,-1,-13.677349,9.881464
01850,212653,292.1057692307692,728,164656,22662,25335,1064.0,86.87,2991.327881,18.50273224,Northeast,MA,Lowell,0.7742942728294452,0.1065679769389569,0.11913775023159795,42.656,-71.3051,True,1,-1,-13.969715,9.657858
01876,88672,121.9697386519945,727,68603,9074,10995,1079.3,79.87,2970.842853,18.27404372,Northeast,MA,Tewksbury,0.7736715084806929,0.10233219054492963,0.12399630097437749,42.6028,-71.2232,True,1,-1,-14.140657,9.146087
02360,191648,263.61485557083904,727,148907,42732,9,1148.4,54.32,2984.9373330000003,20.97650273,Northeast,MA,Plymouth,0.7769817582234095,0.22297128068124897,4.6961095341459343e-05,41.9104,-70.642,True,1,0,-5.481176,11.479451
02536,206352,283.45054945054943,728,175971,30324,57,1147.8,46.34,3053.369983,25.41120219,Northeast,MA,Falmouth,0.8527709932542452,0.14695277971621307,0.0002762270295417539,41.5968,-70.5671,True,1,-1,-6.5662155,10.438859
02871,36189,49.77854195323246,727,25997,2656,7536,1051.1,53.13,3072.8560609999995,29.604098360000002,Northeast,RI,Portsmouth,0.7183674597253309,0.07339246732432507,0.20824007295034402,41.5944,-71.252,True,1,-1,-17.421522,9.181353
02886,162570,223.31043956043956,728,132828,29742,0,1150.5,50.4,2981.228631,19.61666667,Northeast,RI,Warwick,0.817051116442148,0.182948883557852,0.0,41.7026,-71.4476,True,1,0,-5.3508496,12.001287
03051,192718,264.7225274725275,728,131317,13457,47944,1101.9,92.54000000000002,2997.448244,17.97486339,Northeast,NH,Hudson,0.6813945765315124,0.0698274162247429,0.24877800724374474,42.769,-71.4121,True,2,-1,-15.184504,7.770232
03064,269086,369.6236263736264,728,228951,39776,359,741.0,0.28,3261.774611,20.56530055,,VIC,craigieburn,0.8508469411266286,0.14781891291260044,0.0013341459607709059,42.779,-71.4748,True,1,-1,-3.9758713,9.262193
05403,165057,113.44123711340207,1455,150809,11351,2897,1029.7,120.81999999999998,2835.122308,22.86229508,Northeast,VT,South Burlington,0.9136783050703696,0.06877018242183003,0.017551512507800335,44.4513,-73.1796,True,1,-1,-14.333531,15.782296
05446,77086,106.03301237964237,727,70852,5236,998,1139.0,130.9,2846.278817,22.2136612,Northeast,VT,Colchester,0.919129284176115,0.06792413667851491,0.012946579145370106,44.536,-73.2022,True,1,-1,-11.896453,15.034171
06001,107,1.0918367346938775,98,107,0,0,1247.4,83.79,2996.8830189999994,18.71229508,Northeast,CT,Avon,1.0,0.0,0.0,41.7905,-72.8653,True,1,-1,-9.046619,18.765938
07094,75965,104.77931034482759,725,71101,4864,0,1078.5,49.14,2984.213386,16.29289617,Northeast,NJ,Secaucus,0.9359705127361285,0.06402948726387152,0.0,40.791,-74.0634,True,1,0,-5.0338593,16.885012
07624,96632,132.91884456671252,727,96632,0,0,1035.9,54.39,2992.630697,16.21256831,Northeast,NJ,Closter,1.0,0.0,0.0,40.9721,-73.959,True,1,0,-5.0809503,19.592838
07871,30180,53.51063829787234,564,30180,0,0,973.8,78.75,2962.680783,18.3136612,Northeast,NJ,Sparta Township,1.0,0.0,0.0,41.0277,-74.6407,True,1,-1,-8.0960245,18.412838
07945,61911,85.27685950413223,726,55558,6353,0,1070.2,61.81000000000001,2978.0603310000006,18.84918033,Northeast,NJ,Mendham,0.8973849558236824,0.10261504417631762,0.0,40.7789,-74.6,True,1,0,-6.6401725,14.9397545
08109,158964,218.35714285714286,728,138872,16602,3490,1037.9,30.94,2978.7266189999996,17.07349727,Northeast,NJ,Pennsauken Township,0.8736066027528245,0.10443874084698422,0.021954656400191237,39.9519,-75.0482,True,1,0,-3.7818682,13.935645
08401,364890,501.2225274725275,728,306501,56989,1400,1141.9,36.89,3068.677489,23.529234969999997,Northeast,NJ,Atlantic City,0.8399819123571487,0.15618131491682424,0.003836772726027022,39.3664,-74.4317,True,0,-1,-6.3853436,9.971125
10302,117556,161.9228650137741,726,97974,19582,0,1109.6,42.35,3032.3063279999997,20.00245902,Northeast,NY,STATEN ISLAND,0.8334240702303582,0.1665759297696417,0.0,40.6306,-74.1379,True,1,0,-5.3897653,12.682447
10306,143380,197.4931129476584,726,126008,17372,0,1109.6,42.35,3032.3063279999997,20.00245902,Northeast,NY,STATEN ISLAND,0.8788394476217045,0.12116055237829544,0.0,40.5682,-74.1184,True,1,0,-6.181568,13.563363
10312,99129,136.54132231404958,726,79067,20062,0,1107.6,49.489999999999995,2999.7284530000006,17.71065574,Northeast,NY,STATEN ISLAND,0.7976172462145286,0.20238275378547146,0.0,40.5457,-74.1792,True,1,0,-4.2980967,12.189188
11558,79820,109.94490358126721,726,70392,9428,0,1218.6,45.08,3076.026283,19.83907104,Northeast,NY,Island Park,0.8818842395389627,0.11811576046103733,0.0,40.604,-73.6554,True,1,0,-5.6902523,14.381048
11566,79282,108.90384615384616,728,71642,7639,1,1237.9,40.81,3057.610064,20.18196721,Northeast,NY,Merrick,0.9036351252491107,0.09635226154738781,1.2613203501425292e-05,40.6685,-73.5536,True,1,0,-5.7726135,15.015648
11694,81656,112.62896551724138,725,69331,12325,0,1178.9,47.67,3063.3009280000006,18.4920765,Northeast,NY,ROCKAWAY PARK,0.8490619182913687,0.15093808170863132,0.0,40.5766,-73.8428,True,1,0,-5.074479,13.432699
11703,45402,63.410614525139664,716,43099,2303,0,1172.9,45.92,3068.2412000000004,19.35081967,Northeast,NY,North Babylon,0.9492753623188406,0.050724637681159424,0.0,40.7321,-73.3236,True,1,0,-6.177899,17.103895
11717,59276,91.61669242658424,647,59276,0,0,1129.8,45.99,3024.332583,17.48142077,Northeast,NY,Brentwood,1.0,0.0,0.0,40.7809,-73.2503,True,1,0,-6.009112,18.5863
11743,66905,92.28275862068965,725,63578,3327,0,1200.6,50.89,2993.263531,17.20874317,Northeast,NY,Huntington,0.9502727748299828,0.04972722517001719,0.0,40.8676,-73.4102,True,1,0,-5.4104033,17.324852
11746,114498,157.27747252747253,728,104244,10254,0,1200.6,50.89,2993.2635310000005,17.20874317,Northeast,NY,Huntington Station,0.9104438505476078,0.08955614945239218,0.0,40.8143,-73.3634,True,1,0,-5.3215837,15.919703
