zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
00926,San Juan,FL,708,,,,,False
01830,Haverhill,MA,728,42.7856,-71.0721,MA,Essex,True
01841,Lawrence,MA,728,42.7115,-71.167,MA,Essex,True
01843,Lawrence,MA,1456,42.6911,-71.1605,MA,Essex,True
01844,Methuen,MA,728,42.728,-71.181,MA,Essex,True
01850,Lowell,MA,728,42.656,-71.3051,MA,Middlesex,True
01876,Tewksbury,MA,727,42.6028,-71.2232,MA,Middlesex,True
02360,Plymouth,MA,727,41.9104,-70.642,MA,Plymouth,True
02536,Falmouth,MA,728,41.5968,-70.5671,MA,Barnstable,True
02871,Portsmouth,RI,727,41.5944,-71.252,RI,Newport,True
02886,Warwick,RI,728,41.7026,-71.4476,RI,Kent,True
03051,Hudson,NH,728,42.769,-71.4121,NH,Hillsborough,True
03064,craigieburn,VIC,728,42.779,-71.4748,NH,Hillsborough,True
03500,Mildura,VIC,728,,,,,False
05403,South Burlington,VT,1455,44.4513,-73.1796,VT,Chittenden,True
05446,Colchester,VT,727,44.536,-73.2022,VT,Chittenden,True
06001,Avon,CT,98,41.7905,-72.8653,CT,Capitol Region,True
07094,Secaucus,NJ,725,40.791,-74.0634,NJ,Hudson,True
07624,Closter,NJ,727,40.9721,-73.959,NJ,Bergen,True
07871,Sparta Township,NJ,564,41.0277,-74.6407,NJ,Sussex,True
07945,Mendham,NJ,726,40.7789,-74.6,NJ,Morris,True
08109,Pennsauken Township,NJ,728,39.9519,-75.0482,NJ,Camden,True
08401,Atlantic City,NJ,728,39.3664,-74.4317,NJ,Atlantic,True
10302,STATEN ISLAND,NY,726,40.6306,-74.1379,NY,Richmond,True
10306,STATEN ISLAND,NY,726,40.5682,-74.1184,NY,Richmond,True
10312,STATEN ISLAND,NY,726,40.5457,-74.1792,NY,Richmond,True
11558,Island Park,NY,726,40.604,-73.6554,NY,Nassau,True
11566,Merrick,NY,728,40.6685,-73.5536,NY,Nassau,True
11694,ROCKAWAY PARK,NY,725,40.5766,-73.8428,NY,Queens,True
11703,North Babylon,NY,716,40.7321,-73.3236,NY,Suffolk,True
11717,Brentwood,NY,647,40.7809,-73.2503,NY,Suffolk,True
11743,Huntington,NY,725,40.8676,-73.4102,NY,Suffolk,True
11746,Huntington Station,NY,728,40.8143,-73.3634,NY,Suffolk,True
11783,Seaford,NY,726,40.6795,-73.491,NY,Nassau,True
11901,Riverhead,NY,608,40.9262,-72.652,NY,Suffolk,True
12095,Johnstown,NY,728,43.0069,-74.3715,NY,Fulton,True
12866,Saratoga Springs,NY,688,43.0708,-73.7408,NY,Saratoga,True
14304,Niagara Falls,NY,727,43.0908,-78.9644,NY,Niagara,True
17078,Palmyra,PA,727,40.3011,-76.5886,PA,Lebanon,True
17201,Chambersburg,PA,727,39.9313,-77.6579,PA,Franklin,True
17602,Lancaster,PA,652,40.0335,-76.2844,PA,Lancaster,True
18104,Allentown,PA,727,40.6018,-75.5225,PA,Lehigh,True
18202,Hazleton,PA,727,40.9506,-76.0487,PA,Luzerne,True
19115,Philadelphia,PA,689,40.0903,-75.041,PA,Philadelphia,True
19132,Philadelphia,PA,707,39.9954,-75.1698,PA,Philadelphia,True
19139,Philadelphia,PA,688,39.9612,-75.2303,PA,Philadelphia,True
19141,Philadelphia,PA,693,40.0365,-75.1451,PA,Philadelphia,True
19144,Philadelphia,PA,690,40.0338,-75.1731,PA,Philadelphia,True
19146,Philadelphia,PA,701,39.9379,-75.1794,PA,Philadelphia,True
19151,Philadelphia,PA,693,39.9772,-75.2545,PA,Philadelphia,True
19153,Philadelphia,PA,693,39.9055,-75.2444,PA,Philadelphia,True
19348,Kennett Square,PA,728,39.855,-75.7,PA,Chester,True
19382,West Chester,PA,673,39.9441,-75.5882,PA,Chester,True
19947,Georgetown,DE,728,38.679,-75.3932,DE,Sussex,True
21117,Owings Mills,MD,728,39.4269,-76.7769,MD,Baltimore,True
22026,Dumfries,VA,728,38.5669,-77.2921,VA,Prince William,True
22554,Stafford,VA,728,38.4586,-77.4306,VA,Stafford,True
23223,Richmond,VA,1456,37.5477,-77.3948,VA,City of Richmond,True
23434,Suffolk,VA,728,36.7304,-76.5931,VA,City of Suffolk,True
23701,Portsmouth,VA,728,36.8089,-76.3671,VA,Portsmouth (city),True
24012,Roanoke,VA,721,37.3029,-79.9322,VA,Roanoke (city),True
24018,Cave Spring,VA,698,37.2503,-80.0525,VA,Roanoke,True
24060,Blacksburg,VA,727,37.2563,-80.4347,VA,Montgomery,True
24083,Daleville,VA,728,37.4125,-79.9211,VA,Botetourt,True
24202,Bristol,VA,727,36.6609,-82.2126,VA,Bristol (city),True
24211,Abingdon,VA,727,36.6673,-81.9648,VA,Washington,True
24382,Wytheville,VA,728,36.9407,-81.0941,VA,Wythe,True
