client_id,location_id,source,quarter_label,state,region,city,quarter_month_number,client_type,street,zip,month_number,quarter_number,year_number,calendar_month,wash_count_retail,wash_count_membership,wash_count_total,site_client_id,site_count,address
360 Car Wash,1,control,1_1,TX,South,Seagoville,1_1,single_site,180 South US-175,75159,1.0,1.0,1.0,1704153600.0,48.0,0.0,48.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_1,TX,South,Seagoville,1_2,single_site,180 South US-175,75159,2.0,1.0,1.0,1704240000.0,4607.0,2415.0,7022.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_1,TX,South,Seagoville,1_3,single_site,180 South US-175,75159,3.0,1.0,1.0,1704326400.0,4498.0,5463.0,9961.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_2,TX,South,Seagoville,2_4,single_site,180 South US-175,75159,4.0,2.0,1.0,1704412800.0,3789.0,6260.0,10049.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_2,TX,South,Seagoville,2_5,single_site,180 South US-175,75159,5.0,2.0,1.0,1704499200.0,5102.0,7840.0,12942.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_2,TX,South,Seagoville,2_6,single_site,180 South US-175,75159,6.0,2.0,1.0,1704585600.0,4435.0,8808.0,13243.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_3,TX,South,Seagoville,3_7,single_site,180 South US-175,75159,7.0,3.0,1.0,1704672000.0,6003.0,10632.0,16635.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_3,TX,South,Seagoville,3_8,single_site,180 South US-175,75159,8.0,3.0,1.0,1704758400.0,4777.0,10287.0,15064.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_3,TX,South,Seagoville,3_9,single_site,180 South US-175,75159,9.0,3.0,1.0,1704844800.0,6434.0,11991.0,18425.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_4,TX,South,Seagoville,4_10,single_site,180 South US-175,75159,10.0,4.0,1.0,1704931200.0,4152.0,9964.0,14116.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_4,TX,South,Seagoville,4_11,single_site,180 South US-175,75159,11.0,4.0,1.0,1705017600.0,3868.0,9615.0,13483.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,1_4,TX,South,Seagoville,4_12,single_site,180 South US-175,75159,12.0,4.0,1.0,1735689600.0,3702.0,8587.0,12289.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_5,TX,South,Seagoville,5_13,single_site,180 South US-175,75159,13.0,5.0,2.0,1735776000.0,4996.0,9826.0,14822.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_5,TX,South,Seagoville,5_14,single_site,180 South US-175,75159,14.0,5.0,2.0,1735862400.0,8108.0,14195.0,22303.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_5,TX,South,Seagoville,5_15,single_site,180 South US-175,75159,15.0,5.0,2.0,1735948800.0,4696.0,11908.0,16604.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_6,TX,South,Seagoville,6_16,single_site,180 South US-175,75159,16.0,6.0,2.0,1736035200.0,5571.0,13300.0,18871.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_6,TX,South,Seagoville,6_17,single_site,180 South US-175,75159,17.0,6.0,2.0,1736121600.0,5211.0,13105.0,18316.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_6,TX,South,Seagoville,6_18,single_site,180 South US-175,75159,18.0,6.0,2.0,1736208000.0,5212.0,13588.0,18800.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_7,TX,South,Seagoville,7_19,single_site,180 South US-175,75159,19.0,7.0,2.0,1736294400.0,5025.0,13879.0,18904.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_7,TX,South,Seagoville,7_20,single_site,180 South US-175,75159,20.0,7.0,2.0,1736380800.0,5287.0,13357.0,18644.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_7,TX,South,Seagoville,7_21,single_site,180 South US-175,75159,21.0,7.0,2.0,1736467200.0,5631.0,13787.0,19418.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_8,TX,South,Seagoville,8_22,single_site,180 South US-175,75159,22.0,8.0,2.0,1736553600.0,4705.0,11708.0,16413.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
360 Car Wash,1,control,2_8,TX,South,Seagoville,8_23,single_site,180 South US-175,75159,23.0,8.0,2.0,1736640000.0,5151.0,11370.0,16521.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_1,multi_site,6511 COLISEUM BLVD,71303-3735,1.0,1.0,1.0,1704844800.0,18189.0,10190.0,28379.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_1,multi_site,6511 COLISEUM BLVD,71303-3735,1.0,1.0,1.0,1704844800.0,18189.0,10190.0,28379.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_2,multi_site,6511 COLISEUM BLVD,71303-3735,2.0,1.0,1.0,1704931200.0,5793.0,3246.0,9039.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_2,multi_site,6511 COLISEUM BLVD,71303-3735,2.0,1.0,1.0,1704931200.0,5793.0,3246.0,9039.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_3,multi_site,6511 COLISEUM BLVD,71303-3735,3.0,1.0,1.0,1705017600.0,6054.0,3392.0,9446.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_1,LA,South,ALEXANDRIA,1_3,multi_site,6511 COLISEUM BLVD,71303-3735,3.0,1.0,1.0,1705017600.0,6054.0,3392.0,9446.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
AMERISHINE CAR WASH,17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,chem,1_2,LA,South,ALEXANDRIA,2_4,multi_site,6511 COLISEUM BLVD,71303-3735,4.0,2.0,1.0,1735689600.0,6426.0,3382.0,9808.0,4.0,6.0,"AMERISHINE CAR WASH , 6511 COLISEUM BLVD , ALEXANDRIA , LA , 71303-3735"
