cluster_id,role,client_name,client_id,site_id,address,state,lat,lon,opened,carwash_type,dist_from_entrant_km,wash_per_mo,wash_before_entry,wash_after_entry,decline_pct,google_maps_all_markers,google_earth
1.0,entrant,Smitty's Car Wash,smittyscw_000489,10.0,513 S Adams St,TX,30.2687301,-98.8775625,2023-11-01,Express Tunnel,0.0,9602.0,,,,"https://www.google.com/maps/dir/30.2687301,-98.8775625/30.256462,-98.8709079","https://earth.google.com/web/@30.262596,-98.874235,0a,3759d,35y,0h,0t,0r"
1.0,neighbor,WetnJet Car Wash,59178kustom,1.0,516 Friendship Ln,TX,30.256462,-98.8709079,2020-01-01,Unknown,1.5,,3448.0,425.0,87.7,"https://www.google.com/maps/dir/30.2687301,-98.8775625/30.256462,-98.8709079","https://earth.google.com/web/@30.262596,-98.874235,0a,3759d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2.0,entrant,Wash N Roll,washnroll_000485,3.0,2640 8th Ave S,TN,36.1196537,-86.7745102,2022-09-01,Express Tunnel,0.0,11425.0,,,,"https://www.google.com/maps/dir/36.1196537,-86.7745102/36.145437,-86.870853","https://earth.google.com/web/@36.132545,-86.822682,0a,15173d,35y,0h,0t,0r"
2.0,neighbor,Champion CW,championcarwash_000085,4.0,6303 Charlotte Pike,TN,36.145437,-86.870853,2020-01-01,Express Tunnel,9.1,,7584.0,1895.0,75.0,"https://www.google.com/maps/dir/36.1196537,-86.7745102/36.145437,-86.870853","https://earth.google.com/web/@36.132545,-86.822682,0a,15173d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3.0,entrant,Roadrunner,roadrunner_000462,4.0,N88W15382 Main St,WI,43.1791872,-88.1007516,2022-11-01,Express Tunnel,0.0,6627.0,,,,"https://www.google.com/maps/dir/43.1791872,-88.1007516/43.1792918,-88.1142328","https://earth.google.com/web/@43.179240,-88.107492,0a,3139d,35y,0h,0t,0r"
3.0,neighbor,River Falls Car Wash,riverfallscarwash_000171,1.0,15382 Main St,WI,43.1792918,-88.1142328,2020-01-01,Express Tunnel,1.1,,6354.0,1692.0,73.4,"https://www.google.com/maps/dir/43.1791872,-88.1007516/43.1792918,-88.1142328","https://earth.google.com/web/@43.179240,-88.107492,0a,3139d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4.0,entrant,Luv Car Wash,luvcarwash_000457,22.0,5064 Weebers Crossing Dr,FL,30.253554,-81.537669,2022-12-01,Express Tunnel,0.0,9660.0,,,,"https://www.google.com/maps/dir/30.253554,-81.537669/30.324796,-81.410368","https://earth.google.com/web/@30.289175,-81.474018,0a,23351d,35y,0h,0t,0r"
4.0,neighbor,Scrubbles Express Wash,scrubbles_000069,3.0,835 Atlantic Blvd,FL,30.324796,-81.410368,2020-01-01,Express Tunnel,14.6,,5933.0,1742.0,70.6,"https://www.google.com/maps/dir/30.253554,-81.537669/30.324796,-81.410368","https://earth.google.com/web/@30.289175,-81.474018,0a,23351d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
