Name,Latitude,Longitude,client_name,client_id,site_id,lat,lon,_Match,__longitude,__latitude,__name,2025 Estimate,Growth 2025-2020,Growth 2030-2025,2025 Average Age,Labor Force,Average Household Income,Median Household Income,Renter-Occupied,1 vehicle,2 vehicles,3 vehicles,4 vehicles,5 or more vehicles,Total Vehicles Available in the Market,Average Number of Vehicles Available,"$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999",Median Household Income.1,Average Household Income.1,Current Year Estimated Owner-Occupied Housing Units by Value,Count of Car Wash Competitors,Nearest Car Wash Competitors-Name,2nd Nearest Car Wash Competitors-Name,3rd Nearest Car Wash Competitors-Name,Nearest Car Wash Competitors-Distance,Nearest Car Wash Competitors-Competitor Type,Nearest Car Wash Competitors-Car Wash Type,Nearest Car Wash Competitors-Website,2nd Nearest Car Wash Competitors-Distance,2nd Nearest Car Wash Competitors-Competitor Type,2nd Nearest Car Wash Competitors-Car Wash Type,2nd Nearest Car Wash Competitors-Website,3rd Nearest Car Wash Competitors-Distance,3rd Nearest Car Wash Competitors-Competitor Type,3rd Nearest Car Wash Competitors-Car Wash Type,3rd Nearest Car Wash Competitors-Website,Count of ChainXY VT - Mass Merchant,Nearest ChainXY VT - Mass Merchant-Chain Name,Nearest ChainXY VT - Mass Merchant-Distance,2nd Nearest ChainXY VT - Mass Merchant-Chain Name,2nd Nearest ChainXY VT - Mass Merchant-Distance,3rd Nearest ChainXY VT - Mass Merchant-Chain Name,3rd Nearest ChainXY VT - Mass Merchant-Distance,Count of ChainXY VT - Grocery,Count of ChainXY VT - Department Store,Nearest StreetLight US Hourly-ttl_overnight,Nearest StreetLight US Hourly-ttl_breakfast,Nearest StreetLight US Hourly-ttl_lunch,Nearest StreetLight US Hourly-ttl_afternoon,Nearest StreetLight US Hourly-ttl_dinner,Nearest StreetLight US Hourly-ttl_night,Nearest StreetLight US Hourly-Highway,2025 % HH with Income $50K+,client_id_1
Silverlake,34.075126,-118.286601,Silverlake,bluewave_000567,86,34.075126,-118.286601,Lat/Lng,-118.286601,34.075126,Silverlake,590046.2202844926,0.03388958923784034,0.07207129824882211,40.17062313432476,343389.89829048474,111372.64353412471,72935.6546365219,212460.95742218115,123473.51559419004,57848.42808742501,11688.566616770113,3014.677667693002,1154.710203630384,292068.33330827433,1.1492102940496933,21792.266270246648,16406.134396132897,12574.224326998461,9801.428524056333,18747.90966942924,72935.6546365219,111372.64353412471,41934.692592812644,13,LUV Car Wash,Luv Car Wash,Vermont Express Auto Spa,0.01338711247955261,National Chain,Express,https://luvcarwash.com,0.5527024142674085,National Chain,Express,https://luvcarwash.com,0.7591572382348016,Tunnel Car Wash,Express,www.facebook.com,5,Target,0.4892575057372477,Target,0.8250863349990866,Target,1.2119578248030074,4,1,1230,4524,3605,4137,4264,3543,secondary,63.63772910487004,
Cotati,38.335259,-122.712137,Cotati,bluewave_000567,87,38.335259,-122.712137,Lat/Lng,-122.712137,38.335259,Cotati,60088.25045384606,0.009377600935028273,0.029517306345197055,40.4391553209304,35029.14882058231,137985.02266814717,109902.63957577987,10211.188489817083,6468.733985435218,8230.637764762156,3858.1872564125806,1560.501176276477,935.6618872880936,45424.88542574365,2.0826307955860313,2903.230540781282,2071.6269419747405,1602.5508417689707,1483.6148271569982,2271.939741528826,109902.63957577987,137985.02266814717,11719.278824124951,4,LUV Car Wash,Kacees World of Water,Luv Car Wash,0.0007685474407081267,National Chain,Express,www.luvcarwash.com,1.0152946010720691,Tunnel Car Wash,Express/⛽ ,www.facebook.com,1.0269626534091647,National Chain,Express,www.luvcarwash.com,3,Target,0.8788769918215528,Walmart USA,2.1086647675979613,Walmart USA,2.2371336535224393,2,0,434,2678,2304,2694,2487,1360,tertiary,81.15744120662015,
Healdsburg,38.625928,-122.872941,Healdsburg,bluewave_000567,88,38.625928,-122.872941,Lat/Lng,-122.872941,38.625928,Healdsburg,13522.555594721809,-0.004059127654677739,0.0011303524777747705,46.82966303370005,7282.6859238175675,167990.52859689863,115436.95109053409,2259.0819658701075,1596.0362425321946,2135.3902045442956,1225.4772882629186,312.3024893712718,118.0694072577171,11382.805510183214,2.084594774015482,588.1992685958976,427.19105873222,366.6829887171043,378.68801080225967,752.9403434441192,115436.95109053409,167990.52859689863,3223.150909188902,0,,,,0.0,,,,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,1,0,88,953,625,764,611,266,tertiary,79.46678355203063,
ClearWater - Post Oak,29.551866,-95.467084,ClearWater - Post Oak,bluewave_000567,89,29.551866,-95.467084,Lat/Lng,-95.467084,29.551866,ClearWater - Post Oak,68042.40107775107,0.1695756612628152,0.053668822869414795,36.74293888117545,36934.6410989624,127098.99650075397,103551.4571288351,3865.6010237823357,4407.458153097774,8948.265528487886,4784.748130416585,1645.192091251869,446.19806134168175,45469.992273039185,2.210455327092746,2127.074726081075,2153.365512982331,1899.247325806471,1374.5137688440445,1699.8204588559747,103551.4571288351,127098.99650075397,16704.81798253281,1,Quick Quack Car Wash,,,2.7285592153224574,National Chain,Express,www.dontdrivedirty.com,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,756,2487,1710,2119,2277,1592,tertiary,79.91174629217231,
ClearWater - Fuqua,30.161078,-97.723254,ClearWater - Fuqua,bluewave_000567,90,30.161078,-97.723254,Lat/Lng,-97.723254,30.161078,ClearWater - Fuqua,47921.91664942523,0.1312744541286821,0.19751294727970073,34.73530832830754,28440.714930754853,114377.3978341489,94984.94094800476,5757.189782576577,4694.958104180521,6357.860042027896,2061.7618003646494,838.7439802282606,507.8787798919948,29490.33340970328,1.9717607998400002,1998.3030692720204,1259.3549177888199,1063.7109637336107,877.3580579567933,1006.7195612255018,94984.94094800476,114377.3978341489,9234.617077505914,1,ClearWater Express Wash,,,0.07444476229939703,National Chain,Express,www.clearwaterexpresswash.com,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,402,2277,1424,1764,1925,1128,tertiary,78.28117862500756,
ClearWater - Austin,30.161078,-97.723254,ClearWater - Austin,bluewave_000567,91,30.161078,-97.723254,Lat/Lng,-97.723254,30.161078,ClearWater - Austin,47921.91664942523,0.1312744541286821,0.19751294727970073,34.73530832830754,28440.714930754853,114377.3978341489,94984.94094800476,5757.189782576577,4694.958104180521,6357.860042027896,2061.7618003646494,838.7439802282606,507.8787798919948,29490.33340970328,1.9717607998400002,1998.3030692720204,1259.3549177888199,1063.7109637336107,877.3580579567933,1006.7195612255018,94984.94094800476,114377.3978341489,9234.617077505914,1,ClearWater Express Wash,,,0.07444476229939703,National Chain,Express,www.clearwaterexpresswash.com,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,402,2277,1424,1764,1925,1128,tertiary,78.28117862500756,
ClearWater - Garland Peavey,32.839329,-96.69626,ClearWater - Garland Peavey,bluewave_000567,92,32.839329,-96.69626,Lat/Lng,-96.69626,32.839329,ClearWater - Garland Peavey,125849.74602487318,0.004844788824947675,-0.0110219513166522,38.643859258222264,67818.12375715797,136168.28528463969,87648.33826034486,21142.9170363435,17501.75831971239,19727.53114092965,5427.957833080338,1731.5778759767127,746.1323011748718,83897.66711059392,1.746576333629264,4397.024836022698,3168.185552934592,2523.9166148895165,1931.5218541389331,5184.474537468515,87648.33826034486,136168.28528463969,26990.178572355977,4,ClearWater Express Wash,White Rock Car Bath,Carmel Car Wash,0.010023888148461675,National Chain,Express ,www.clearwaterexpresswash.com,0.19985758594185343,Tunnel Car Wash,Full-Service,www.facebook.com,0.9813722623676889,Tunnel Car Wash,Flex,www.carmelcarwash.com,1,Walmart USA,1.1789348746795894,,0.0,,0.0,2,0,552,4004,2974,3342,3203,1600,primary,72.15930458668957,
ClearWater - Willis West,30.419767,-95.495417,ClearWater - Willis West,bluewave_000567,93,30.419767,-95.495417,Lat/Lng,-95.495417,30.419767,ClearWater - Willis West,21369.303158299183,0.30324462884046655,0.13392937895722254,38.82683868370755,10075.440086652525,104597.66841982168,77902.98040842144,1681.475720184273,2508.5216602227883,3522.236087189289,1123.0846126019023,224.16988333349582,137.644930420327,14507.151857842691,1.910510883193499,809.2709992395248,541.7138475343818,386.1862672826974,251.76794270973187,483.20712730882224,77902.98040842144,104597.66841982168,5911.860693368828,0,,,,0.0,,,,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,1,0,804,6229,5044,5380,4738,2309,secondary,69.77063821337622,
ClearWater Anna,33.345429,-96.569403,ClearWater Anna,bluewave_000567,94,33.345429,-96.569403,Lat/Lng,-96.569403,33.345429,ClearWater Anna,38307.52298644057,0.9358981504844602,0.32164679315974126,35.04103696070012,20708.08650011127,129308.84159590706,109481.67101854623,3659.5009585286025,2379.07374041446,6020.380343084224,2410.9168442820082,458.7050802857266,460.4682342571323,25789.7464518575,2.143354841395377,1409.1145012546913,1408.6717749973177,1046.8471388801117,768.6413050622214,1074.1038874433725,109481.67101854623,129308.84159590706,8374.054377600201,1,Freedom Flex Car Wash,,,0.014846367561985213,Tunnel Car Wash,Express,www.freedomflexcarwash.com,0.0,,,,0.0,,,,1,Walmart USA,0.7628309515297904,,0.0,,0.0,0,0,459,3594,2598,2443,2569,1113,secondary,81.57161170101226,
ClearWater-Sachse,32.993825,-96.573463,ClearWater-Sachse,bluewave_000567,95,32.993825,-96.573463,Lat/Lng,-96.573463,32.993825,ClearWater-Sachse,93932.15804056692,0.14413280317874838,0.0905102041642592,38.06779120515644,53037.25878706694,156537.3753498405,130544.56740559019,6726.634793804435,5831.078285495401,13555.04450405651,6487.047496999381,2573.4084384862217,851.94300807931,66955.658578948,2.2438221505318983,3521.313936673163,2928.9034787527635,2719.4500407624873,2391.665180868702,4230.8976749054855,130544.56740559019,156537.3753498405,23167.30147333833,6,Marvel Carwash and Dogwash,Express Car Wash by CARite,Carnation Auto Spa,0.011757024984830151,Tunnel Car Wash,Express,www.marvelcarwash.com,0.7825966777311517,Tunnel Car Wash,Flex(Temporarily closed),No website,1.5847429129247825,National Chain,Flex/Detail,www.carnationautospa.com,4,Walmart USA,0.16247483468237142,Target,1.5922949933983686,Walmart USA,2.3523464665687914,3,0,184,1698,1274,1463,1579,768,secondary,87.20330661607511,
