source_file,Name,Latitude,Longitude,client_name,client_id,site_id,lat,lon,_Match,__longitude,__latitude,__name,2025 Estimate,Growth 2025-2020,Growth 2030-2025,2025 Average Age,Labor Force,Average Household Income,Median Household Income,Renter-Occupied,1 vehicle,2 vehicles,3 vehicles,4 vehicles,5 or more vehicles,Total Vehicles Available in the Market,Average Number of Vehicles Available,"$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999",Median Household Income.1,Average Household Income.1,Current Year Estimated Owner-Occupied Housing Units by Value,Count of Car Wash Competitors,Nearest Car Wash Competitors-Name,2nd Nearest Car Wash Competitors-Name,3rd Nearest Car Wash Competitors-Name,Nearest Car Wash Competitors-Distance,Nearest Car Wash Competitors-Competitor Type,Nearest Car Wash Competitors-Car Wash Type,Nearest Car Wash Competitors-Website,2nd Nearest Car Wash Competitors-Distance,2nd Nearest Car Wash Competitors-Competitor Type,2nd Nearest Car Wash Competitors-Car Wash Type,2nd Nearest Car Wash Competitors-Website,3rd Nearest Car Wash Competitors-Distance,3rd Nearest Car Wash Competitors-Competitor Type,3rd Nearest Car Wash Competitors-Car Wash Type,3rd Nearest Car Wash Competitors-Website,Count of ChainXY VT - Mass Merchant,Nearest ChainXY VT - Mass Merchant-Chain Name,Nearest ChainXY VT - Mass Merchant-Distance,2nd Nearest ChainXY VT - Mass Merchant-Chain Name,2nd Nearest ChainXY VT - Mass Merchant-Distance,3rd Nearest ChainXY VT - Mass Merchant-Chain Name,3rd Nearest ChainXY VT - Mass Merchant-Distance,Count of ChainXY VT - Grocery,Count of ChainXY VT - Department Store,Nearest StreetLight US Hourly-ttl_overnight,Nearest StreetLight US Hourly-ttl_breakfast,Nearest StreetLight US Hourly-ttl_lunch,Nearest StreetLight US Hourly-ttl_afternoon,Nearest StreetLight US Hourly-ttl_dinner,Nearest StreetLight US Hourly-ttl_night,Nearest StreetLight US Hourly-Highway,2025 % HH with Income $50K+,client_id_1,membership_wash_count_2025,retail_wash_count_2025,state,region
75-sitesBatch_2560500.xlsx,Sonnyu0027s Demo 1,28.417917,-81.304145,Sonnyu0027s Demo 1,heroessc_000823,1,28.417917,-81.304145,Lat/Lng,-81.304145,28.417917,Sonnyu0027s Demo 1,11729.22935279674,0.2089489714645819,0.2399121338916601,38.39528193531099,6289.753719765227,134885.4587535493,105830.3271382004,1449.143109037075,1097.53161164996,1698.146974644565,690.4687532997341,105.8911721937475,127.5072558770771,7626.332788998669,1.990788011341525,526.9646031015436,353.7849049169454,280.2884983761469,218.7516702889698,372.5526912212954,105830.3271382004,134885.4587535493,2393.192865021061,0,,,,0.0,,,,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,5675,10800,8475,8458,8017,6620,motorway,84.76455804902571,,338.0,1931.0,,
unique_clients_part_1_Batch_2562721.xlsx,000003_hurricane,37.8601265,-85.5185246,Hurricane Bay Express,000003_hurricane,2,37.8601265,-85.5185246,Lat/Lng,-85.5185246,37.8601265,Hurricane Bay Express,6035.600426310673,0.0620756487664013,0.0578126894836018,44.13544195135582,2907.059815354645,100688.6389827332,76211.38737972484,387.1179482329171,662.134264485212,913.3646725872532,422.6024779956788,200.5039479872212,66.26379095646553,4890.005790377967,2.137855621947282,207.7740396421868,203.6998811711092,149.7397810399998,96.1392865278758,119.1399437009823,76211.38737972484,100688.6389827332,1906.108213077532,0,,,,0.0,,,,0.0,,,,0.0,,,,0,,0.0,,0.0,,0.0,0,0,932,4430,3028,3895,3146,1531,primary,65.88751197474389,000003_hurricane,281.0,907.0,KY,South
unique_clients_part_1_Batch_2562721.xlsx,000003_hurricane,38.0531863,-85.5341614,Hurricane Bay Express,000003_hurricane,3,38.0531863,-85.5341614,Lat/Lng,-85.5341614,38.0531863,Hurricane Bay Express,20965.16195823613,0.0837411239433807,0.0806931329957002,40.69118426894259,11554.11236144335,113241.078686896,96311.21969304778,1321.79167042498,2034.425998840947,3158.208130842831,1485.491197202704,709.5458563641296,401.486822101986,17652.93338810117,2.184972050142292,1058.213839213189,754.8594228523434,661.8493886886281,556.4304026854225,480.3282018371392,96311.21969304778,113241.078686896,6783.133978676284,2,Jim's Express Car Wash,The Car Wash Company,,0.0583779643891657,Tunnel Car Wash,Express,www.jimsexpresswash.com,0.2321324572925176,Tunnel Car Wash,Express,www.thecwco.com,0.0,,,,0,,0.0,,0.0,,0.0,1,0,479,3995,2417,3264,3046,1513,secondary,78.32714263634199,000003_hurricane,243.0,1865.0,KY,South
unique_clients_part_1_Batch_2562721.xlsx,000004_cliff,41.1766913,-112.0655774,Cliffu0027s Car Wash,000004_cliff,1,41.1766913,-112.0655774,Lat/Lng,-112.0655774,41.1766913,Cliffu0027s Car Wash,84664.2944980067,0.0706232268098809,0.0564537479417416,35.67109543933309,47132.63686391234,121735.8078506927,107076.8955323021,4818.450890466804,4619.534266472212,10845.41506552778,6347.32964945538,2836.072555165272,1662.820291705662,65010.74502508331,2.417904663272157,3997.846662088297,3236.514720514882,2486.500586313428,1625.316021833336,1842.76818991336,107076.8955323021,121735.8078506927,22194.6467329571,9,Cliff's Car Wash ,Wash Factory,Tagg-N-Go Car Wash,0.0207965944029763,Tunnel Car Wash,Express,www.cliffscarwashes.com,1.168686988678313,Tunnel Car Wash,Flex,www.washfactory.com,1.664590464641381,National Chain,Express,https://taggngo.com,1,Walmart USA,2.75549099645356,,0.0,,0.0,0,0,373,2220,1758,2316,2146,1155,tertiary,85.25162351793621,000004_cliff,51367.0,25073.0,UT,West
unique_clients_part_1_Batch_2562721.xlsx,000004_cliff,41.1963279,-111.9744955,Cliffu0027s Car Wash,000004_cliff,3,41.1963279,-111.9744955,Lat/Lng,-111.9744955,41.1963279,Cliffu0027s Car Wash,87616.220669773,0.0394958246872426,0.0608046606193088,37.07129022057879,47097.06087496318,103399.9571111363,81541.56136079076,11866.90802265482,9834.888583448132,12727.30253334448,5071.714613939403,1649.19168960047,1035.554327021819,62279.17588546628,1.918087215538399,4026.9424416197,2653.111572717666,1844.512141109561,1354.308535178425,1568.612342306064,81541.56136079076,103399.9571111363,20749.4765992763,5,Cliff's Car Wash Riverdale,Quick Quack Car Wash,Young Car Wash,0.0057655194341443,Tunnel Car Wash,Express/SS,www.cliffscarwashes.com,0.2019944303565529,National Chain,Express,www.quickquack.com,0.4299411775250273,Tunnel Car Wash,Express,www.youngcarwash.com,3,Walmart USA,1.886397565025569,Target,2.325105209787949,Walmart USA,2.495818802478832,3,2,479,2343,3181,3433,3269,2202,primary,71.7022027485031,000004_cliff,27973.0,18893.0,UT,West
unique_clients_part_1_Batch_2562721.xlsx,000004_cliff,41.1598423,-111.9393153,Cliffu0027s Car Wash,000004_cliff,4,41.1598423,-111.9393153,Lat/Lng,-111.9393153,41.1598423,Cliffu0027s Car Wash,50808.15867255861,0.0183424305795931,0.0031250751360606,38.26030520809126,26563.95720205805,130908.7770778865,100717.5211194707,4257.460771773942,4284.616110967007,7237.580312701175,3582.242582527921,1288.763866944471,634.6526821579318,37834.82336252066,2.12940781997568,2268.255071743159,1512.101155600976,1240.383493796689,1220.434792834334,1517.088223751634,100717.5211194707,130908.7770778865,13521.83175295172,1,Take 5 Express Car Wash,,,0.470079849011912,National Chain,Express,www.take5carwash.com,0.0,,,,0.0,,,,1,Walmart USA,0.5262329573006498,,0.0,,0.0,1,0,996,6925,5052,5806,4925,2658,primary,80.02999161698003,000004_cliff,18316.0,16696.0,UT,West
unique_clients_part_1_Batch_2562721.xlsx,1003445texasstar,29.5404262,-95.114501,"Texas Star Wash, LLC",1003445texasstar,1,29.5404262,-95.114501,Lat/Lng,-95.114501,29.5404262,"Texas Star Wash, LLC",75864.55483444243,0.0403235525290925,0.0030356055742273,39.48282385047122,42487.54240445901,107111.7287688836,77656.15975984538,18606.34241741392,15993.05707016929,11245.27334505385,2971.094292818627,1040.386774552477,230.4652917312924,52710.76019559924,1.577289827885047,3633.351736376178,2222.180724187303,1836.501712425263,1598.272168306474,1973.802985776143,77656.15975984538,107111.7287688836,14842.54256843415,12,Texas Star Wash & Detail,Zoom Car Wash,Car Spa,0.4272750461362533,Tunnel Car Wash,Flex/Detail,www.texasstarwash.com,1.105700276217239,Tunnel Car Wash,Express,www.zoomcarwashes.com,1.118336251170317,National Chain,Flex/Detail/⛽/Lube,www.carspa.net,3,Target,2.228540482683457,Walmart USA,2.80731265688445,Walmart USA,2.93310559414769,7,4,449,2421,2241,2234,2137,1074,primary,72.32937861397585,1003445texasstar,350.0,6252.0,TX,South
unique_clients_part_1_Batch_2562721.xlsx,1003541american,44.9210937,-93.1360949,American Car Wash,1003541american,1,44.9210937,-93.1360949,Lat/Lng,-93.1360949,44.9210937,American Car Wash,151812.4598304066,-0.0007670944519337,0.0775726493242176,40.0556269258113,85828.84428031044,128752.8305012441,90573.18800222316,29851.43351417803,27345.78308397206,22359.80912632169,5590.040477154544,1684.035371918231,791.0982206650078,99527.15535907703,1.518987318159623,6447.672391620697,4978.805279008113,4091.914062932599,3586.709389989264,6124.311788332183,90573.18800222316,128752.8305012441,35840.11711216928,1,Soapy Joe's Car Wash,Soapy Joe's Car Wash,,0.0055610740495355,Tunnel Car Wash,Flex,www.soapyjoesmn.com,0.0055610740495355,Tunnel Car Wash,Flex,www.soapyjoesmn.com,0.0,,,,2,Target,2.38996482994434,Target,2.567456719801812,,0.0,4,0,389,1822,1517,1950,1731,947,secondary,73.31976858456952,1003541american,23856.0,23153.0,MN,Midwest
unique_clients_part_1_Batch_2562721.xlsx,1003646autowash,42.3829074,-70.9931067,The $3 Car Wash,1003646autowash,1,42.3829074,-70.9931067,Lat/Lng,-70.9931067,42.3829074,The $3 Car Wash,158349.8818903807,0.0061882486298741,0.0198913918692437,38.93425410289459,92787.39994604824,126397.0341969729,97553.61730102598,36544.12289912633,26475.6088323959,13936.02295803338,2965.320658094381,599.0878521529958,341.0434050792828,67345.18515675419,1.14871416087102,5731.871484355779,4850.297376291106,4336.696395515002,3685.232301749798,5655.709820766995,97553.61730102598,126397.0341969729,22140.78537438791,3,Fazio Car Wash,ScrubaDub Car Wash,Barn Car Wash,0.0213450921201141,Tunnel Car Wash,,,1.718101078711002,National Chain,Exterior/detail,www.scrubadub.com,2.868746274387362,Tunnel Car Wash,Express/IBA/Detail,www.barncarwash.net,1,Target,1.263563757742896,,0.0,,0.0,0,0,1694,5089,3633,3993,4000,3035,secondary,73.70729908061763,1003646autowash,150989.0,86233.0,MA,
unique_clients_part_1_Batch_2562721.xlsx,104442autobath,40.562927,-74.191078,Staten Island Auto Bath Inc,104442autobath,1,40.562927,-74.191078,Lat/Lng,-74.191078,40.562927,Staten Island Auto Bath Inc,180060.4607019034,0.0131408704096445,0.0207350974916921,42.74286957397351,92621.24015409904,146051.9715692003,118725.9355975615,14109.9208950086,22208.32758622395,26092.01805321034,7603.02449209732,2692.750315503916,868.1527654096717,112313.2022580006,1.750762484156463,6716.301561354543,5412.924404852325,5405.519647257286,4648.214692464797,8374.004852693062,118725.9355975615,146051.9715692003,50107.63856182282,4,SI Auto Bath,Bloomingdales Car Wash,Amboy Car Wash,0.0138897862630085,Tunnel Car Wash,,,1.860291215289707,Tunnel Car Wash,,,1.951331136355088,Tunnel Car Wash,,,1,Target,1.517942444154112,,0.0,,0.0,3,2,777,2772,2190,2784,2601,1716,tertiary,80.9188799120083,104442autobath,30348.0,14580.0,NY,Northeast
