client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
darbycw_000735,1,450 S 69th St,007 CAR WASH LLC,"Sonny's Express Exterior Proforma -  450 S. 69th St., Upper Darby, PA 19082_069Uc000006bu1PIAQ.pdf","450 S. 69th St., Upper Darby, PA 19082",44.0,19.5062,43,600000.0,120000.0,480000.0,4028.14,,,,,,25628.0,27025.0,05-2025
comptoncw_000819,1,900 W Rosecrans Ave,7-Eleven,"SONNY'S Express Proforma - 900 Rosecrans Ave, Compton, CA 90245 v2_069Uc00000SNgjDIAT.pdf","900 Rosecrans Ave, Compton, CA 90245 v2",81.0,30.7833,24,1510000.0,0.0,1510000.0,14571.83,,,,,,,33.0,05-2026
comptoncw_000819,1,900 W Rosecrans Ave,7-Eleven,"SONNY'S Express Proforma - 900 Rosecrans Ave, Compton, CA 90245_069Uc00000SNYtjIAH.pdf","900 Rosecrans Ave, Compton, CA 90245",91.0,33.8311,24,6056957.0,1211391.4,4845565.6,40530.25,,,,,,,33.0,05-2026
pinkbirdcw_000657,1,879 Executive Center Dr,879 Executive dr LLC,"Sonny's Express Exterior Proforma 879 W Executive Center Dr., WPB, FL 33401_0695w00000Y5CGzAAN.pdf","879 W Executive Center Dr., WPB, FL 33401",140.0,48.7656,,5150000.0,1030000.0,4120000.0,38900.29,,,,,6290.0,117776.0,61152.0,11-2024
aberdeencw_000453,1,2 Cambridge Dr,Aberdeen Carwash,Sonny's Express Exterior Proforma_0695w00000OwY7NAAV.xlsx,"2 Cambridge Dr., Aberdeen Township NJ 07747, Average Daily Wash Hours",71.72,27.9549,35,0.0,0.0,0.0,0.0,,,,1.0,,,,02-2023
aberdeencw_000453,1,2 Cambridge Dr,Aberdeen Carwash,Sonny's Express Exterior Proforma_0695w00000OwY7NAAV.xlsx,2 Cambridge Dr.,71.72,27.9549,35,0.0,0.0,0.0,0.0,,,,1.0,,,,02-2023
aberdeencw_000453,1,2 Cambridge Dr,Aberdeen Carwash,Sonny's Express Exterior Proforma_0695w00000OwY7NAAV.xlsx,"2 Cambridge Dr., Aberdeen Township NJ 07747",71.72,27.9549,35,0.0,0.0,0.0,0.0,,,,1.0,,,,02-2023
intracoastalcw_000313,1,2966 St Stephens Rd,Adam Griffin,"SONNY'S Express Proforma - 2966 St Stephens Rd. Mobile, AL 36612_069Uc00000QL6gKIAT.pdf","2966 St Stephens Rd. Mobile, AL 36612",67.0,26.5163,42,1800000.0,360000.0,1440000.0,12084.43,,62241.0,64788.0,52383.0,20529.0,3987.0,11119.0,03-2021
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,"1616 S 57th St., Temple, TX 76504",146.77,50.8290,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,"1616 S 57th St., Temple, TX 76504, Average Daily Wash Hours",146.77,50.8290,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,1616 S 57th St.,146.77,50.8290,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma_0695w00000IU9N1AAL.xlsx,"1616 S 57th St., Temple, TX 76504",25.18,13.7702,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma_0695w00000IU9N1AAL.xlsx,"1616 S 57th St., Temple, TX 76504, Average Daily Wash Hours",25.18,13.7702,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
aladdincw_000434,1,1616 S 57th St,Aladdin Car Wash Temple,Sonny's Express Exterior Proforma_0695w00000IU9N1AAL.xlsx,1616 S 57th St.,25.18,13.7702,33,880000.0,176000.0,704000.0,4842.73,,,2056.0,32739.0,35146.0,33121.0,11728.0,10-2022
gateexpress_000618,14,8215 Old Middleburg Rd S,Alaska Technical Services,Sonny's Express Exterior Proforma_0695w000009kENQAA2.xlsx,"8215 Old Seward Hwy., Anchorage, AK 99518",71.31,27.8299,,0.0,0.0,0.0,0.0,,,,,140984.0,162171.0,69449.0,03-2024
gateexpress_000618,14,8215 Old Middleburg Rd S,Alaska Technical Services,Sonny's Express Exterior Proforma_0695w000009kENQAA2.xlsx,"8215 Old Seward Hwy., Anchorage, AK 99518",71.31,27.8299,,0.0,0.0,0.0,0.0,,,,,140984.0,162171.0,69449.0,03-2024
gateexpress_000618,14,8215 Old Middleburg Rd S,Alaska Technical Services,Sonny's Express Exterior Proforma_0695w000009kENQAA2.xlsx,8215 Old Seward Hwy.,71.31,27.8299,,0.0,0.0,0.0,0.0,,,,,140984.0,162171.0,69449.0,03-2024
washguys_000366,1,10380 N 59th Ave,"Aloha Car Wash Company, Inc.",Sonny's Express Exterior Proforma_0695w00000IUcprAAD.xlsx,"10380 N 59th Ave., Glendale, AZ 85302, Average Daily Wash Hours",95.45,35.1874,45,0.0,0.0,0.0,0.0,,3330.0,7863.0,1060.0,,,,08-2021
washguys_000366,1,10380 N 59th Ave,"Aloha Car Wash Company, Inc.",Sonny's Express Exterior Proforma_0695w00000IUcprAAD.xlsx,"10380 N 59th Ave., Glendale, AZ 85302",95.45,35.1874,45,0.0,0.0,0.0,0.0,,3330.0,7863.0,1060.0,,,,08-2021
washguys_000366,1,10380 N 59th Ave,"Aloha Car Wash Company, Inc.",Sonny's Express Exterior Proforma_0695w00000IUcprAAD.xlsx,10380 N 59th Ave.,95.45,35.1874,45,0.0,0.0,0.0,0.0,,3330.0,7863.0,1060.0,,,,08-2021
mrdcarwash_000205,1,525 E Sumner St,American Car Wash,Sonny's Express Exterior Proforma_069f2000005bnKZAAY.xlsx,"525 E Sumner St., Hartford, WI 53027-1627, Address Line 3",43.81,19.4483,31,0.0,0.0,0.0,0.0,22261.0,37280.0,40156.0,39083.0,37569.0,41975.0,21784.0,01-2020
mrdcarwash_000205,1,525 E Sumner St,American Car Wash,Sonny's Express Exterior Proforma_069f2000005bnKZAAY.xlsx,525 E Sumner St.,43.81,19.4483,31,0.0,0.0,0.0,0.0,22261.0,37280.0,40156.0,39083.0,37569.0,41975.0,21784.0,01-2020
americanpride_000238,4,8909 Six Forks Rd,American Pride Inc,"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx","8909 Six Forks Rd Raleigh, NC, NC 27615",128.92,45.3886,40,5780000.0,1156000.0,4624000.0,28020.53,,78375.0,172616.0,213504.0,210317.0,222847.0,100265.0,04-2021
americanpride_000238,4,8909 Six Forks Rd,American Pride Inc,"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx","8909 Six Forks Road, Raleigh NC 27615",128.92,45.3886,40,5780000.0,1156000.0,4624000.0,28020.53,,78375.0,172616.0,213504.0,210317.0,222847.0,100265.0,04-2021
americanpride_000238,4,8909 Six Forks Rd,American Pride Inc,"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx","8909 Six Forks Road, Raleigh NC 27615, Average Daily Wash Hours",128.92,45.3886,40,5780000.0,1156000.0,4624000.0,28020.53,,78375.0,172616.0,213504.0,210317.0,222847.0,100265.0,04-2021
americanpride_000238,4,8909 Six Forks Rd,American Pride Inc,"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx",8909 Six Forks Road,128.92,45.3886,40,5780000.0,1156000.0,4624000.0,28020.53,,78375.0,172616.0,213504.0,210317.0,222847.0,100265.0,04-2021
americanpride_000238,4,8909 Six Forks Rd,American Pride Inc,"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMUO9IAP.pdf","8909 Six Forks Rd Raleigh, NC, NC 27615",129.0,45.4130,40,5780000.0,1156000.0,4624000.0,28020.53,,78375.0,172616.0,213504.0,210317.0,222847.0,100265.0,04-2021
coolriverexpresscw_000189,1,11287 FM 1464 Rd,Attlee Realty,"SONNY'S Express Proforma -  11287 FM 1464 Richmond, TX 77407_069Uc00000UshuqIAB.pdf","11287 FM 1464 Richmond, TX 77407",79.0,30.1737,44,5200000.0,1040000.0,4160000.0,34910.57,66880.0,99765.0,105732.0,98248.0,86089.0,85127.0,33774.0,01-2020
luvcarwash_000457,80,162 Talmage Rd,Auto Pride Car Wash,"Sonny's Express Exterior Proforma - 162 Talmage St Ukiah, CA 95482_069Uc00000Lyi5ZIAR.pdf","162 Talmage St Ukiah, CA 95482",32.0,15.8488,,3300000.0,660000.0,2640000.0,22154.78,,,,,,,13365.0,01-2026
pearlcw_000793,1,2727 N Hwy 17,Barker Financial,"Sonny's Express Exterior Proforma - 2727 N Hwy 17 Mount Pleasant, SC 29466_069Uc00000UdkeVIAR.pdf","2727 N Hwy 17 Mount Pleasant, SC 29466",109.0,39.3173,38,575000.0,115000.0,460000.0,4665.63,,,,,,3854.0,18437.0,10-2025
classicexpcw_000556,1,510 E Broadway,"BGR Holdings, LLC","Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx","510 E Broadway, Louisville, KY 40202, Average Daily Wash Hours",67.59,26.6961,43,0.0,0.0,0.0,0.0,,,,5457.0,22544.0,43563.0,23022.0,05-2023
classicexpcw_000556,1,510 E Broadway,"BGR Holdings, LLC","Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx",510 E Broadway,67.59,26.6961,43,0.0,0.0,0.0,0.0,,,,5457.0,22544.0,43563.0,23022.0,05-2023
classicexpcw_000556,1,510 E Broadway,"BGR Holdings, LLC","Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx","510 E Broadway, Louisville, KY",67.59,26.6961,43,0.0,0.0,0.0,0.0,,,,5457.0,22544.0,43563.0,23022.0,05-2023
