loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
1,"26.1943,-80.2862",cross_operator,5,2,Client Design Services,cdsdemo_000777,1,26.1942777,-80.2862382,06-2025,2025-06,2026-05,12,635,1130,1765
1,"26.1943,-80.2862",cross_operator,5,2,Sonnys Demo,demo_client,14,26.1942777,-80.2862382,11-2023,2023-11,2026-04,27,54,204,258
1,"26.1943,-80.2862",cross_operator,5,2,Sonnys Demo,demo_client,15,26.1942777,-80.2862382,02-2024,2024-02,2025-06,17,263,733,996
1,"26.1943,-80.2862",cross_operator,5,2,Sonnys Demo,demo_client,16,26.1942777,-80.2862382,12-2025,2025-12,2026-04,3,0,13,13
1,"26.1943,-80.2862",cross_operator,5,2,Sonnys Demo,demo_client,20,26.1942777,-80.2862382,04-2026,2026-04,2026-04,1,0,1,1
2,"28.3463,-81.6568",cross_operator,4,4,El Car Wash,elcarwash_000738,2,28.346314,-81.656801,02-2025,2025-02,2025-04,3,13995,134627,148622
2,"28.3463,-81.6568",cross_operator,4,4,Wash and Go,washandgofl_000455,6,28.346314,-81.656801,07-2022,2022-07,2022-08,2,2177,3358,5535
2,"28.3463,-81.6568",cross_operator,4,4,Wash City,washcity_000125,10,28.346314,-81.656801,06-2022,2022-06,2022-06,1,2,71,73
2,"28.3463,-81.6568",cross_operator,4,4,Zips Express Car Wash,zips_000468,11,28.346314,-81.656801,08-2022,2022-08,2025-02,31,134868,108119,242987
3,"27.6087,-81.5151",cross_operator,3,3,El Car Wash,elcarwash_000738,1,27.608686,-81.515066,02-2025,2025-02,2025-04,3,31493,20809,52302
3,"27.6087,-81.5151",cross_operator,3,3,Wash City,washcity_000125,4,27.608686,-81.515066,07-2021,2021-07,2022-08,14,90015,63993,154008
3,"27.6087,-81.5151",cross_operator,3,3,Zips Express Car Wash,zips_000468,10,27.608686,-81.515066,08-2022,2022-08,2025-02,31,282544,133655,416199
4,"27.8909,-81.5999",cross_operator,3,3,El Car Wash,elcarwash_000738,3,27.8908575,-81.5998667,02-2025,2025-02,2025-04,3,21058,8373,29431
4,"27.8909,-81.5999",cross_operator,3,3,Wash City,washcity_000125,5,27.8908575,-81.5998667,07-2021,2021-07,2022-07,13,59490,46858,106348
4,"27.8909,-81.5999",cross_operator,3,3,Zips Express Car Wash,zips_000468,9,27.8908575,-81.5998667,07-2022,2022-07,2025-02,32,199285,107197,306482
5,"28.3782,-81.2446",cross_operator,3,3,El Car Wash,elcarwash_000738,5,28.3782208,-81.2445663,02-2025,2025-02,2025-04,3,26233,9099,35332
5,"28.3782,-81.2446",cross_operator,3,3,Wash City,washcity_000125,8,28.3782208,-81.2445663,03-2022,2022-03,2022-07,5,37361,22390,59751
5,"28.3782,-81.2446",cross_operator,3,3,Zips Express Car Wash,zips_000468,8,28.3782208,-81.2445663,07-2022,2022-07,2025-02,32,380582,165814,546396
6,"28.5501,-81.6013",cross_operator,3,3,El Car Wash,elcarwash_000738,4,28.550065,-81.601286,02-2025,2025-02,2025-04,3,32596,12402,44998
6,"28.5501,-81.6013",cross_operator,3,3,Wash City,washcity_000125,6,28.550065,-81.601286,08-2021,2021-08,2022-09,14,117710,63353,181063
6,"28.5501,-81.6013",cross_operator,3,3,Zips Express Car Wash,zips_000468,12,28.550065,-81.601286,09-2022,2022-09,2025-02,30,348133,157631,505764
7,"28.6288,-81.2073",cross_operator,3,3,El Car Wash,elcarwash_000738,6,28.628755,-81.20727,02-2025,2025-02,2025-04,3,15151,7243,22394
7,"28.6288,-81.2073",cross_operator,3,3,Wash City,washcity_000125,7,28.628755,-81.20727,01-2022,2022-01,2022-08,7,20667,11425,32092
7,"28.6288,-81.2073",cross_operator,3,3,Zips Express Car Wash,zips_000468,7,28.628755,-81.20727,08-2022,2022-08,2025-02,31,168668,90267,258935
8,"25.9848,-80.1762",cross_operator,2,2,Big Dan's,bigdans_000378,20,25.9847704,-80.1762101,10-2023,2023-10,2023-10,1,0,12,12
