n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
2,0,0,,,,,8750.0,13,0,,,magictunnel_000072::14,magictunnel_000072,2021-02-01,0,4646.272727272727,True,magictunnel_000072,0.4564435632864985
6,3,0,,,,,6871.166666666667,1,0,,,buckyscw_000301::1,buckyscw_000301,2021-03-01,0,3421.6923076923076,False,buckyscw_000301,0.372127788905448
4,1,0,,,,,2785.25,4,0,,,cadillacexpresscw_000080::5,cadillacexpresscw_000080,2021-04-01,0,16122.23076923077,True,cadillacexpresscw_000080,0.35297385274525905
3,1,0,,,,,3009.5444444444443,1,0,,,launchcw_000311::1,launchcw_000311,2021-04-01,1,16727.46153846154,True,launchcw_000311,0.3280563182676443
2,0,0,,,,,5974.5,1,0,,,mrcleancw_000329::1,mrcleancw_000329,2021-04-01,0,8935.76923076923,True,mrcleancw_000329,0.4234680502697818
2,1,0,,,,,1605.75,1,0,,,snappykedzieew_000336::1,snappykedzieew_000336,2021-04-01,1,11316.46153846154,True,snappykedzieew_000336,0.28234111381612437
5,1,0,,,,,12640.933333333334,11,0,,,caliberocala_000153::13,caliberocala_000153,2021-05-01,1,16751.0,True,caliberocala_000153,0.5902249747303777
4,0,0,,,,,6266.625,8,0,,,championcarwash_000085::10,championcarwash_000085,2021-06-01,0,4371.615384615385,True,championcarwash_000085,0.42110177164499035
2,1,0,,,,,4299.25,8,0,,,championcarwash_000085::9,championcarwash_000085,2021-06-01,0,4107.153846153846,True,championcarwash_000085,0.3897345469162507
5,2,0,,,,,3100.2333333333327,1,0,,,sunrisecw_000343::1,sunrisecw_000343,2021-06-01,0,3201.6923076923076,True,sunrisecw_000343,0.3147735080931071
5,1,0,,,,,7952.833333333333,14,0,,,caliberocala_000153::15,caliberocala_000153,2021-08-01,0,5644.2307692307695,True,caliberocala_000153,0.4811947541575576
8,3,0,,,,,3116.820833333333,1,0,,,seafordcarwash_000354::1,seafordcarwash_000354,2021-08-01,0,3310.6153846153848,False,seafordcarwash_000354,0.31514465228194083
3,1,0,,,,,14319.222222222224,4,0,,,waterscarwash_000245::5,waterscarwash_000245,2021-08-01,1,12980.384615384615,True,waterscarwash_000245,0.62735444781841
6,1,0,,,,,5985.753333333333,1,0,,,bubbleupcw_000341::1,bubbleupcw_000341,2021-09-01,0,5267.846153846154,True,bubbleupcw_000341,0.38256880250761777
2,0,0,,,,,9732.75,1,0,,,glosscw_000345::1,glosscw_000345,2021-09-01,0,9051.46153846154,True,glosscw_000345,0.48503467621480884
10,0,0,,,,,5928.974074074074,1,0,,,swishcw_000351::1,swishcw_000351,2021-09-01,0,10247.555555555557,True,swishcw_000351,0.3611430765650896
4,1,0,,,,,7940.666666666667,1,0,,,topwash_000333::1,topwash_000333,2021-09-01,1,13309.846153846154,True,topwash_000333,0.43145215532542824
2,0,0,,,,,2969.4166666666665,1,0,,,bocagas_000342::1,bocagas_000342,2021-10-01,0,1602.3846153846157,False,bocagas_000342,0.37580530146570584
4,0,0,,,,,11618.041666666666,2,0,,,acesamericacw_000175::3,acesamericacw_000175,2021-12-01,1,8171.153846153846,True,acesamericacw_000175,0.4307560652192404
2,0,0,,,,,9112.0,11,0,,,championxpresscw_000216::12,championxpresscw_000216,2021-12-01,1,8880.923076923076,True,championxpresscw_000216,0.49625795382527677
