site_key,lat,lon,grounding,S,D,traffic,old_proforma_pred_monthly,actual_mature_wash_mo,A,n_neighbours_20km,huff_pred_monthly
carwashcafe_000425::1,26.163815,-80.256221,grounded,0.675,0.0016124999999999994,29250.0,6505.127235814144,1572.0,6.142857142857143,28,3196.3129030428227
bigpeachcw_000300::9,30.499714,-84.32811,grounded,1.0499999999999998,0.020999999999999998,32127.0,11669.408835690787,2924.0,7.896103896103895,3,6932.374760838644
trueclean_000554::1,39.698793,-105.32867,grounded,1.1,0.06344999999999999,18263.0,6559.112394517545,10178.0,8.129870129870131,7,4203.79982830964
prestigeautospa_000140::1,25.915846,-80.156975,grounded,1.0,-0.0709875,53173.0,16249.467652138155,848.0,7.662337662337663,7,11825.433547755805
1003445texasstar::1,29.543576,-95.108501,grounded,0.625,0.008400000000000005,18163.0,3765.5364309210527,501.0,5.909090909090909,7,3718.935946720821
elitecare_000384::1,40.72053,-82.543567,grounded,1.175,0.007987499999999988,13694.0,4979.509091474782,6142.0,8.48051948051948,11,2678.1330350879975
westchestercw_000036::1,39.967686,-75.552732,grounded,1.125,0.032625000000000015,34610.0,13225.837222450655,3852.0,8.246753246753247,4,7983.2572407482985
americanpride_000238::4,35.902215,-78.653304,grounded,1.1250000000000002,0.02325,32998.0,12495.34668996711,17049.0,8.246753246753247,10,6761.20628249373
luvcarwash_000457::61,34.201644,-118.450113,grounded,1.05,0.010662499999999967,34622.0,12085.761489720397,18770.0,7.896103896103896,10,7126.494008885911
avatar_000499::1,28.257123,-81.485179,grounded,1.325,0.03318749999999999,15673.0,7269.604706090665,13121.0,9.181818181818182,11,1631.9706935547629
evanstoncw_000480::1,42.04049,-87.7079,grounded,0.925,0.0453,12464.0,3964.3002500000002,3304.0,7.311688311688312,3,2860.809175754757
floriscarwash_000233::1,28.452051,-81.333977,grounded,1.1,0.03566249999999999,11674.0,4418.536181504934,9846.0,8.129870129870131,22,882.9636769733049
231301robin::1,42.62987,-82.992314,grounded,1.025,0.0443625,36679.0,12915.732381887336,2166.0,7.779220779220778,5,8134.326685782055
oasisautospa_000475::1,33.150031,-96.681147,grounded,1.15,0.0698625,25332.0,10764.924801439143,5632.0,8.363636363636363,19,4867.418465275814
classicexpcw_000556::1,38.244742,-85.745003,grounded,1.0250000000000001,0.008637499999999987,18884.0,6550.577000008226,3804.0,7.779220779220779,8,4204.290961599291
luvcarwash_000457::56,34.203776,-118.535759,grounded,0.825,0.0465375,39080.0,11099.14984786184,16732.0,6.844155844155844,8,7428.67986830267
cadillacexpresscw_000080::7,29.653275,-95.355952,grounded,1.15,0.007237499999999986,23131.0,8813.54348828125,7788.0,8.363636363636363,15,4434.378253059254
5025585h2glo::1,37.247566,-80.034668,grounded,1.1,0.041624999999999995,25702.0,9041.368959429825,2776.0,8.129870129870131,3,5907.969906161568
bigdans_000378::13,27.428992,-82.576271,grounded,1.0,0.004949999999999988,43116.0,14395.63106644737,18425.0,7.662337662337663,9,8473.930245715872
cadillacexpresscw_000080::3,29.870405,-95.395894,grounded,1.25,-0.10639999999999998,24621.0,9227.52965131579,11070.0,8.831168831168831,34,4380.903498990091
dirtydogs_000082::9,27.995721,-82.384533,grounded,1.15,-0.025687500000000005,35430.0,13058.511729029606,7976.0,8.363636363636363,16,7211.506419427326
bigdans_000378::19,27.466827,-82.563773,grounded,1.25,-0.015187499999999996,40502.0,16728.870638363485,14962.0,8.831168831168831,10,7366.569290113546
buckyscw_000301::1,39.820377,-105.165827,grounded,1.0,0.041512499999999994,48996.0,15667.088822368421,3284.0,7.662337662337663,7,10496.473102677872
dixhillscw_000517::1,40.832405,-73.361128,grounded,0.8000000000000003,0.0645,25596.0,6692.231368421056,2276.0,6.727272727272728,5,5531.35547437058
sudsdeluxe_000305::1,30.114038,-95.554531,grounded,1.15,0.0711,26100.0,11738.639412828947,7312.0,8.363636363636363,13,5509.977041264823
revexpress_000340::1,34.829075,-82.369705,grounded,1.2,0.029362500000000007,24297.0,9872.534472039473,4180.0,8.597402597402597,16,4317.551089353763
rocknrollexpress_000224::1,27.184451,-80.241684,grounded,0.875,0.03359999999999999,39007.0,11720.628325,2229.0,7.077922077922079,8,2190.065698159125
superscrubcw_000402::1,37.987804,-121.311918,grounded,1.125,0.018749999999999996,15592.0,6113.384703947369,3500.0,8.246753246753247,5,3396.30991589438
bluerhinocw_000596::1,34.044253,-84.695038,grounded,0.775,0.05568750000000001,34076.0,9354.321227343753,7164.0,6.61038961038961,13,6555.025157939114
fordroadcw_000592::1,42.326516,-83.28874,grounded,0.9249999999999999,0.03168750000000001,48159.0,15117.98040758635,11452.0,7.311688311688311,6,10476.605642667491
luvcarwash_000457::36,30.222043,-81.561327,grounded,0.85,0.050625,49504.0,14833.155059210527,5832.0,6.961038961038961,35,6714.700091386487
luvcarwash_000457::42,28.656632,-81.531356,grounded,1.175,0.020925,32005.0,12755.49530056538,11265.0,8.48051948051948,11,6580.725115912901
luvcarwash_000457::35,30.313489,-81.565598,grounded,1.025,0.028875000000000005,32000.0,11212.029934210523,5116.0,7.779220779220778,25,4766.269245943589
luvcarwash_000457::10,36.085064,-115.2247,grounded,1.0,0.03914999999999999,44494.0,15361.282730592107,6284.0,7.662337662337663,24,6878.168648834834
udrive_000121::1,36.158609,-115.236179,grounded,1.0250000000000001,0.0267,32002.0,11078.244978618422,7006.0,7.779220779220779,26,5155.2200537460585
brookhurstexpresscw_000235::1,33.751349,-117.955791,grounded,1.025,-0.07882500000000003,48096.0,14938.307111842105,7362.0,7.779220779220778,14,9955.198072301222
cleanwave_000278::1,33.802604,-118.07235,grounded,1.0,0.05197500000000001,53812.0,17379.918899122807,14486.0,7.662337662337663,16,10449.633842544912
herocarwash_000253::1,32.807895,-96.992353,grounded,0.875,0.036037500000000014,38038.0,11342.99181640625,3324.0,7.077922077922079,13,7847.866210046267
soapyshark_000467::1,26.706031,-80.08515,grounded,0.9249999999999999,0.017924999999999996,53091.0,16772.778322734375,7751.0,7.311688311688311,9,9595.054541522084
rivercities_000269::1,45.089664,-87.650392,isolated,0.7750000000000001,-0.015450000000000005,17032.0,3989.9579662280707,3480.0,6.6103896103896105,0,4116.056429620547
mrdcarwash_000205::3,42.53266,-89.021182,isolated,1.075,0.006712500000000006,19660.0,6532.217426260963,454.0,8.012987012987013,0,4751.1548500669305
allseasonscarwash_000110::1,40.983097,-76.023467,isolated,1.075,0.014399999999999993,5933.0,2128.229552631579,5770.0,8.012987012987013,0,1433.8047673167393
licketysplitexp_000558::1,39.606931,-119.224565,isolated,1.325,0.0462375,17466.0,8044.28421782689,9962.0,9.181818181818182,0,4220.939502099135
pelicancw_000512::1,27.832146,-80.480688,isolated,0.975,0.020625000000000004,23994.0,7932.704239206414,6673.0,7.545454545454545,0,5798.535578459101
magiccitycw_000357::1,48.242594,-101.296108,isolated,0.9749999999999999,0.049125,25042.0,8021.6595834375,6332.0,7.545454545454545,0,6051.801615227673
jjexpresscw_000427::1,32.837872,-109.736334,isolated,1.15,0.025650000000000003,18949.0,7499.1131875164465,4556.0,8.363636363636363,0,4579.330277411916
splashcarwash_000318::1,36.658386,-121.636727,isolated,1.2250000000000003,-0.015837499999999997,19130.0,8428.656343062297,41.0,8.714285714285715,0,4623.071835288931
thoroughbredcw_000304::4,38.957211,-85.864575,isolated,1.2,0.028875000000000005,31586.0,12828.17595394737,8620.0,8.597402597402597,0,7633.264348637541
thoroughbredcw_000304::6,37.33921,-85.355993,isolated,1.2,0.014249999999999992,17402.0,6967.09677631579,3570.0,8.597402597402597,0,4205.472873899528
lakehavasuexp_000487::1,34.476881,-114.3462,isolated,1.0999999999999999,0.024750000000000008,16714.0,6321.462968092105,5533.0,8.12987012987013,0,4039.2066207537473
magictunnel_000072::3,40.336635,-83.761489,isolated,1.35,-0.04575,14299.0,5655.419126644738,6697.0,9.2987012987013,0,3455.583072284183
racewaycw_000646::1,42.04323,-88.277633,isolated,0.8999999999999999,0.01732499999999999,13385.0,3762.5631266447363,4533.0,7.194805194805194,0,3234.7002883085383
mrdcarwash_000205::1,43.316824,-88.371848,isolated,0.875,0.02745,15231.0,4246.017056554277,3008.0,7.077922077922079,0,3680.815845440967
mainstreet_000067::1,33.9971,-96.399948,thin,0.9750000000000001,0.001125000000000001,10669.0,3425.650512952303,3680.0,7.545454545454546,2,1931.1544269920373
napcowash_000528::1,36.817316,-76.442251,thin,1.275,0.038212499999999996,19000.0,7721.7054687499985,2896.0,8.948051948051948,3,4467.156812212487
aladdincw_000434::1,31.0889,-97.378205,thin,1.075,0.017812499999999995,35227.0,14225.61913906764,2449.0,8.012987012987013,1,8301.325011330799
118135glenville::1,42.846573,-73.941631,thin,1.075,0.03404999999999999,12236.0,4474.205093749999,1843.0,8.012987012987013,1,2935.737709106374
thoroughbredcw_000304::15,38.434292,-82.013593,thin,1.1,0.0435,14583.0,5506.281759868422,5370.0,8.129870129870131,2,3414.0415345225624
thoroughbredcw_000304::18,38.448511,-81.942794,thin,1.1500000000000001,0.050850000000000006,24938.0,9913.490754934213,6974.0,8.363636363636363,2,5842.977976961074
extremeexpress_000074::1,37.325052,-121.901106,thin,1.1,-0.07946249999999999,34673.0,11664.69479452714,20066.0,8.129870129870131,3,7918.958718225017
obxpress_000458::1,36.071209,-75.695873,thin,0.9000000000000001,0.051825,13981.0,4353.621313322369,3259.0,7.194805194805195,1,3224.6003077068567
carolinacarwash_000283::8,35.654361,-80.45651,thin,1.1,0.0033000000000000035,20640.0,7493.066842105264,18178.0,8.129870129870131,1,4267.16517350324
stevenscreek_000445::1,37.324219,-121.964759,thin,1.05,0.063975,51924.0,19081.621643092105,24086.0,7.896103896103896,3,11826.92059431474
buffitautowash_000111::2,35.892175,-94.98526,thin,1.2,-0.016612500000000002,10789.0,4355.588860657895,4832.0,8.597402597402597,1,2278.673961823126
varsitycarwash_000227::3,42.013027,-93.609925,thin,1.175,0.0006749999999999881,31463.0,11357.800598382675,9407.0,8.48051948051948,1,7385.555161520101
jupitercw_000637::1,26.935102,-80.137123,thin,0.8500000000000001,0.05943749999999999,44093.0,13192.032284446957,622.0,6.961038961038962,2,10154.323491336392
mainstreet_000067::3,34.005312,-96.409418,thin,1.2,-0.0334125,8983.0,3427.4429654605265,9766.0,8.597402597402597,2,1326.4268328032329
varsitycarwash_000227::1,42.023334,-93.669375,thin,1.175,-0.009300000000000008,20053.0,7166.75530252193,6490.0,8.48051948051948,1,4707.196950512112
glacierexpress_000240::1,45.754659,-108.563221,thin,0.9249999999999999,0.009112500000000006,36267.0,10393.36415209704,6108.0,7.311688311688311,2,7910.705563888582
