source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
Car Wash Cafe_ SONNY'S Express Proforma_069f2000004sKgFAAU.xlsx,1,3493.354868916776,4060.816207584912,3979.246684856869,3847.4015521693655,3770.213151241523,4173.330520891225,False,13,1625.8822144773064,1852.1378465101272,1794.756289956386,1721.9711282184023,1683.6384052140795,1894.1174514447316,False,14
Express Exterior Proforma_0695w0000097nchAAA.xlsx,1,4037.2731664955018,4703.635082261481,4637.808043353118,4515.945117825588,4444.198232652335,4836.561918855328,True,4,4020.846354129942,4655.695343091765,4580.541421115735,4458.559582487459,4389.928476001757,4780.178086133167,True,5
Flexserve_proforma_ Sonny's (3-mile market)_0695w00000CDfUdAAL.xlsx,1,5666.158757813932,7940.677106290902,8247.104347210077,8080.777865273844,8095.119902224501,8236.722369352772,True,3,5827.692853960146,7905.028404133568,8111.608916120994,7866.127441129292,7875.033457085751,8153.517416520396,True,4
Flexserve_proforma_ Sonny's_0695w0000097P7VAAU.xlsx,1,6982.227893106142,8256.176307689306,8688.891794884834,9345.388599995124,9755.84469480582,8519.409366559228,False,5,7490.726799621973,8609.58049783193,8906.354405191316,9455.940193217702,9825.754246604634,8823.967128745951,False,6
Flexserve_proforma_ Sonny's_0695w00000APPuhAAH.xlsx,1,8506.995435534669,10372.697232195633,10952.804449327226,11670.729307209263,12074.41553682362,10779.453767734129,True,4,8526.341864732314,10390.380194694471,10967.894028637917,11683.983278839709,12087.085593924,10796.441034683086,True,4
Flexserve_proforma_ Sonny's_069f2000005RkTVAA0.xlsx,1,6461.153216089443,8203.338842535695,8529.288011074079,8694.100608349005,8715.419480726718,8601.500924500944,True,10,6189.255461801491,8038.071770527756,8450.597087598302,8677.081148115749,8717.888407323555,8468.855840609685,True,11
KPI Sonny's Express Exterior Proforma_0695w00000ShakXAAR.xlsx,1,5803.676006893561,6446.624841040389,6278.339660199433,6151.416891983768,6110.110055529699,6551.283897939687,False,2,5735.039280793987,6475.609124575897,6362.453484295758,6268.509541003624,6234.459686016416,6607.904386101714,True,3
Magic Rabbit CW _Express_proforma_069f2000004sqLAAAY.xlsx,1,2641.0038373971784,3502.5071298695166,3563.061681477285,3429.1874122990903,3431.4838257075753,3598.04130154618,True,7,2595.6698135648226,3507.879138039191,3594.528855367782,3481.543808014792,3485.256355636171,3615.769793879041,True,7
SONNY'S Flex Proforma_069f2000007O43iAAC.xls,1,4878.800517318642,5784.312670706563,6238.345053383811,6975.24505194657,7459.639080988382,5972.4566828024335,True,3,4667.630870212249,5397.122199589226,5722.581557585403,6308.388822140739,6707.541258739459,5539.576961126717,True,4
SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,1,6272.619948452179,7171.891851498811,7675.475778726263,8058.16506143256,8342.288411680998,7599.957952543044,False,1,7213.682369581064,7857.360312021669,8065.275486226453,8140.578011317962,8273.753601475199,8233.978364124023,False,1
Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,1,4560.012755021132,5484.730429706301,5807.144648447542,6239.724590460682,6508.529553462608,5682.086584412117,False,1,4958.840244606156,5758.18550071659,6054.67895183374,6547.292496847319,6882.598601090299,5916.207286791376,False,2
Sonny's Express Exterior Proforma (As is)_0695w00000AAGRMAA5.xlsx,1,5843.772423509735,7008.21994260389,7382.929268914264,7374.314496343359,7398.953151504455,7426.493019509199,False,0,5087.548609638894,6131.720782605999,6474.241390175663,6476.845883601146,6498.055881569347,6501.62450634373,False,1
