key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region
000004_cliff::3,1,3713.799574414989,4838.603653613203,4896.910635563182,4696.8171099698775,4706.272060911552,4954.4274061024535,4954.4274061024535,5517.961538461539,2,False,West
000004_cliff::4,1,3755.204218860601,4753.866713954944,4793.951999958546,4613.894970925658,4658.795111626389,4841.34486759752,4841.34486759752,5737.2307692307695,2,False,West
192616splash::11,1,6469.1606154353,7590.993386828209,7488.662424236248,7289.144941407413,7165.410351099915,7818.830074301338,7818.830074301338,7062.846153846154,1,False,South
192616splash::12,1,8215.471564863887,10329.023736927124,11117.624296718384,12034.521064232234,12531.473990479251,10807.395992461745,10169.09977363795,11194.0,4,True,South
192616splash::13,1,9025.069064375675,11547.231638991814,12915.555341783866,14740.136585952823,15833.690301643242,12127.716204868517,9195.805417247298,13048.076923076924,3,True,South
192616splash::14,1,4964.583069795652,5999.015523738639,5851.5807115364805,5533.616519197821,5336.9361011042465,6221.474809924141,6221.474809924141,7282.615384615385,1,False,South
192616splash::15,1,5074.815374126704,6369.51573684308,6711.370204145528,7043.456934534974,7203.406368880956,6662.030066152751,6662.030066152751,4059.153846153846,1,False,South
192616splash::16,1,7898.988651098807,9999.405766966704,10522.976960624312,10954.75281819526,11129.0574355865,10478.087328180682,10026.27121358772,11203.153846153846,3,True,South
192616splash::17,1,5619.355535430409,6845.110948883506,7149.476660602835,7485.704024635219,7660.932875721184,7111.972879136604,7111.972879136604,5095.307692307692,1,False,South
192616splash::18,1,6244.135660712203,7564.968149470184,7683.606476389927,7700.14909534866,7674.827601664339,7850.193494789538,7850.193494789538,,0,False,South
192616splash::19,1,11413.25750106872,14529.65417374308,15150.578022416326,15472.558231151745,15520.780960753087,15243.665949329885,9498.430425608416,19006.07692307692,3,True,South
192616splash::20,1,7705.449322953074,8921.118563406017,8959.245809191958,9123.31780754729,9276.622660092136,9159.41638283131,9159.41638283131,11493.03846153846,2,False,South
192616splash::21,1,7706.501199734874,8790.835448645346,8496.15006800465,8138.724224445992,7959.711088364839,8993.081610340552,8993.081610340552,9815.884615384615,2,False,South
192616splash::22,1,4935.788338219233,5901.137640509133,6015.830849827003,6361.092407300433,6700.435744995092,6104.996409957719,6104.996409957719,,0,False,South
5017238goclean::1,1,5608.381531708404,6511.91219928388,6498.288154493559,6466.2771757620385,6447.963723277931,6690.490556459262,6690.490556459262,6419.884615384615,2,False,South
5017238goclean::2,1,4907.104022885485,6070.276127359214,6186.14710389441,6170.116982108659,6118.955803569184,6328.772676289402,6328.772676289402,5626.192307692308,2,False,South
5024577greens::3,1,4871.455712438151,5519.7305798831185,5270.427505065093,4943.248034905371,4769.71010300657,5637.3788621946,5637.3788621946,3214.923076923077,1,False,South
5025495monkey::2,1,6075.328643721684,7222.790455781825,7038.156881374914,6675.568659027449,6451.831886247211,7462.529905294396,7462.529905294396,11314.192307692309,2,False,South
acesamericacw_000175::3,2,6331.66551920562,9113.50407450814,9547.497821487788,9421.28951232028,9436.868381149854,9495.646362681824,7851.490771629779,10074.884615384615,10,True,West
adore_000584::1,1,5336.9483706144765,6330.2584628956565,6382.323710630809,6316.233141171718,6302.101554072971,6531.701300376788,6531.701300376788,,0,False,Unknown
advanceautodetailing_000566::1,1,5141.8101588281415,7709.287494607673,8195.32811507717,8189.695687689303,8214.91682938691,8085.524683982001,8262.753372412248,8178.384615384615,11,True,West
aladdincw_000434::1,1,4560.012755021139,5484.73042970631,5807.144648447553,6239.724590460693,6508.529553462619,5682.086584412127,5682.086584412127,2705.0,1,False,South
allwashedup_000264::2,1,6767.568064426749,7863.149235272326,8212.39884001794,8164.3853572281805,8142.285780648555,8362.121641285132,8362.121641285132,,0,False,Northeast
allwashedup_000264::4,1,6033.26782148983,7105.616447818673,7470.358830720893,7447.879319033342,7429.004328600426,7578.77801819336,7578.77801819336,,0,False,Northeast
allwashedup_000264::5,1,5162.857712755726,5912.613165922124,6231.690234982815,6359.689239922959,6460.8884537643,6267.783971050301,6267.783971050301,7746.153846153846,1,False,Northeast
allwashedup_000264::6,1,6285.76194475214,7678.058684323467,8211.611101708932,8246.645022716726,8229.357807274837,8252.49847253961,8252.49847253961,,0,False,Northeast
allwashedup_000264::7,1,6484.974490833203,7738.033942104903,8186.141974267266,8183.320378614054,8163.900300384293,8276.36682010204,8276.36682010204,,0,False,Northeast
allwashedup_000264::8,1,6256.348401208342,7535.6170806932605,8007.2167282982,8019.451998137109,8001.324980601173,8075.819497286543,8075.819497286543,,0,False,Northeast
alohacw_000323::1,1,4376.778266912128,5107.165822914393,4919.436374228644,4500.785000501421,4489.828842940945,5116.466435080926,5116.466435080926,6507.2307692307695,1,False,West
alohacw_000323::2,1,4933.548390513676,5762.604261699939,5561.0777631442115,5103.547261618783,5099.135066088402,5774.318019814346,5774.318019814346,11051.346153846152,2,False,West
alpineshell_000609::1,1,3690.5279263305624,4610.805631627882,5230.777113346069,6095.388882778242,6927.147954797631,4683.701706938042,4683.701706938042,,0,False,West
altontowncw_000530::1,1,5888.7093693692295,6676.550325912306,6605.393591760872,6565.744977806793,6561.808549524815,6819.916629194117,6819.916629194117,2991.4615384615386,3,False,South
americanpride_000238::4,1,7482.786051332639,9239.621220188392,9762.2305401247,10322.19360011352,10609.010611835723,9629.169757624735,9579.146317203722,10589.23076923077,8,True,South
americanpride_000238::5,1,8620.747466408373,10851.689230970152,11478.946899604658,12069.91363815236,12340.929498762507,11357.26188072282,10054.715084971494,12075.115384615385,6,True,South
americanpride_000238::6,1,8054.433878484743,9922.112889211674,10261.249590863845,10506.702675265158,10591.387560351272,10335.008310918573,10311.052268649308,10589.23076923077,8,True,South
anchorcw_000452::1,1,4449.194545409032,5624.09478487642,6063.935943896554,6153.178595993179,6169.659577874035,5997.142240964278,5997.142240964278,,0,False,Midwest
annascw_000502::1,1,5909.966079569375,7689.358826008577,7605.697698639825,7052.498593969033,6926.433870501632,7871.416961833179,7969.146160095442,8212.76923076923,7,True,West
aquabreeze_000406::1,1,5996.25841719969,7195.510213469497,7298.561834620348,7338.418606841947,7336.795427095694,7450.438739233872,9312.29519709676,7620.692307692308,4,True,South
aquawave_000292::3,1,6370.378039733896,8006.419438554104,8223.413468079603,8254.24155859341,8204.22171523983,8376.577796151989,7375.698716118216,9063.384615384615,13,True,South
arcowash_000251::1,1,5273.662521246967,6614.98743827844,6580.187037792199,6207.085055700787,6204.39346122394,6724.768671702287,6724.768671702287,,0,False,West
atlanticcitycw_000331::1,1,6298.677420111527,7835.508210079064,8449.239660679894,8514.452081349877,8498.353966291039,8453.092205881334,8453.092205881334,,0,False,Northeast
autobahnauto_000404::1,1,4120.327977536194,5359.8106482919275,6184.746298844381,7314.833668268246,8319.31727534431,5486.507745408134,5486.507745408134,2228.0,1,False,West
autobahnauto_000404::3,1,4327.506232450373,5410.446833768878,5402.183199684448,5139.747190803327,5167.07001654475,5496.74198378505,5496.74198378505,7205.461538461538,1,False,West
autobrite_000360::1,1,7052.593774932779,8493.627518962761,8605.460861475602,8614.625351908015,8586.18351980722,8801.839072451452,8801.839072451452,,0,False,South
autosoak_000459::1,1,5523.757216957921,6328.529383862787,6383.011520958069,6056.611498026769,5951.2216444555625,6667.871776218998,6667.871776218998,9335.423076923076,2,False,Midwest
autosportcw_000436::1,1,7229.575997173911,8430.21708978926,8302.090802424915,8065.390046241435,7923.536134555093,8670.275752665042,8670.275752665042,10890.846153846154,2,False,South
autosudsexp_000435::1,1,6565.902239187174,8257.096354476436,9310.340498138692,10045.031654610006,10449.055435180366,8927.29177421472,8927.29177421472,9308.692307692309,1,False,Northeast
bashamagical_000650::1,2,4920.08078228684,6208.193373689947,6785.82146831563,7049.823485861437,7171.72054477104,6618.61461116438,6618.61461116438,3059.2307692307695,4,False,Midwest
beachbumexp_000488::1,1,4833.72005353537,5827.137498716177,5760.779902160371,5462.848371892019,5526.2359088601925,5877.324014913048,5877.324014913048,3502.9166666666665,5,False,West
bigdans_000378::1,1,7125.204505585851,8096.682596354064,8098.916606564325,8238.727515857661,8372.084452983332,8275.149006140931,8275.149006140931,6814.692307692308,1,False,South
bigdans_000378::10,1,5459.31962604012,6677.434889115026,7026.297926894152,7439.430751170768,7666.334124913391,6944.179332001049,7821.720058525432,7494.038461538462,4,True,South
bigdans_000378::11,1,7178.669517423732,8443.188333136279,8542.749660622361,8689.552643381829,8788.931297896434,8701.404707816278,8701.404707816278,8669.923076923076,1,False,South
bigdans_000378::12,1,5717.071202361095,6830.108224827719,6958.491366641647,7066.393338246686,7112.441440993663,7064.831603783712,8502.323976120928,7710.923076923077,7,True,South
bigdans_000378::13,1,7787.6317260585565,9712.771996508402,10822.407253152009,12455.355651198031,13498.82979892407,10144.734182011252,8268.39169346471,10652.311965811963,4,True,South
bigdans_000378::14,1,6400.873956191567,7285.263502131747,7202.032690062489,7131.010260889758,7106.514781668993,7448.789600793478,7448.789600793478,,0,False,South
bigdans_000378::15,1,10465.45236360621,13359.23688957667,13899.225652597966,14134.827687137033,14138.762263508446,14023.883804314071,9022.28775013029,15408.875,7,True,South
bigdans_000378::16,1,5243.937796552541,6442.393226540582,6954.284371559475,7623.298289670401,8013.641081759291,6706.406353493567,6706.406353493567,,0,False,South
bigdans_000378::17,1,7647.4308201467,9240.610711560248,9386.24153767267,9421.950365887637,9402.838074971016,9583.215849612294,9077.715011319611,9785.192307692309,8,True,South
bigdans_000378::19,1,7683.988586054845,9677.829047094476,10840.388183766949,12515.643715242692,13574.1323394507,10129.92437813315,8071.932751092039,10652.311965811963,4,True,South
bigdans_000378::21,1,9415.213007791748,12031.570640292255,12578.104481710863,12893.20352237789,12960.340114387662,12633.078082420929,9272.839149936006,13030.346153846152,6,True,South
bigdans_000378::22,1,4750.281062486345,5619.761403914422,5699.862892299146,5774.481891249728,5809.948834925121,5799.607456145327,6838.717842175275,6741.461538461539,12,True,South
bigdans_000378::23,1,5235.242296435986,6107.352139110969,6544.2042148307055,7338.80129537974,7897.213647636009,6281.92274802327,6281.92274802327,5263.221153846154,2,False,South
bigdans_000378::29,1,9511.073506788824,12086.93697249139,12471.645696820886,12538.266718046329,12459.381030662087,12676.1473120003,9613.67471710315,13562.615384615385,5,True,South
bigdans_000378::3,1,4528.666794692183,5388.139605201914,5514.621484638988,5653.973160297025,5727.114117327673,5567.980027114261,6595.297024229342,5599.5,10,True,South
bigdans_000378::4,1,7020.835277422298,8195.703800828012,8193.758134872769,8154.230429610136,8126.724917068215,8431.27167434384,8431.27167434384,,0,False,South
bigdans_000378::5,1,9502.84828578379,12103.468880831895,12559.5548579,12725.16105668329,12702.562522679977,12699.574350893248,8732.713285779602,12864.53846153846,11,True,South
bigdans_000378::6,1,4483.889072928498,5400.520699351034,5533.321454521926,5643.918811172113,5689.925468850575,5596.599360478126,6974.161119908684,5166.0,9,True,South
bigdans_000378::7,1,12337.837840936802,15458.426040058515,15941.141109706095,16111.911081342616,16085.57798103783,16162.154707403624,8894.493566490812,18744.53846153846,8,True,South
bigdans_000378::8,1,6925.379283850401,8665.083667325593,9594.963570453703,10915.779025240116,11740.440996336894,9056.824314086463,8684.956627924039,9099.846153846154,7,True,South
bigdans_000378::9,1,7048.8115511616825,8247.326526252747,7629.563223659926,6714.924448708373,6221.320459474028,8489.037093310137,8489.037093310137,9122.346153846152,2,False,South
bigpeachcw_000300::1,1,6863.893092040712,8281.150003350709,8396.438311937014,8408.126619726892,8380.399781157832,8585.170589353795,8585.170589353795,,0,False,South
bigpeachcw_000300::10,1,7577.9641153232415,9062.317505151052,9466.74680326282,10016.28118633526,10342.244716114566,9375.919397592988,9375.919397592988,9561.252136752137,2,False,South
bigpeachcw_000300::12,1,4107.044306213656,5000.64521668825,5262.571675249922,5580.603630591021,5757.179932573244,5195.064218697087,7068.049649281539,4923.076923076923,4,True,South
bigpeachcw_000300::13,1,6719.66922157028,7952.234703838669,7997.525130039222,7979.944702847609,7953.28262427961,8207.35895838431,8207.35895838431,,0,False,South
bigpeachcw_000300::3,1,6789.574958955524,8231.19024281877,8319.565690963587,8286.592952416422,8230.939183508806,8542.813838251808,8542.813838251808,,0,False,South
