source_file,open_year,open_observed,mature_ok,mature_wash,plateau_loo,era_anchor,n_era,nmat_loo,traffic_count,pay,vac,tos,css,pay_choice,act_y1,nobs_y1,pf_y1,cs_y1,act_y2,nobs_y2,pf_y2,cs_y2,act_y3,nobs_y3,pf_y3,cs_y3,act_y4,nobs_y4,pf_y4,cs_y4,act_y5,nobs_y5,pf_y5,cs_y5,ramp_y1,ramp_y2,ramp_y3,ramp_y4,ramp_y5
Car Wash Cafe_ SONNY'S Express Proforma_069f2000004sKgFAAU.xlsx,2022.0,True,True,1571.5,4173.330520891225,2481.416666666667,8,13,29250.0,0.1,0.05,0.075,0.675,2,1821.75,12.0,4071.444340533088,3493.354868916776,2013.75,12.0,5373.800760020381,4060.816207584912,1658.75,12.0,5816.349057904412,3979.246684856869,1571.6666666666667,12.0,6029.142316120427,3847.4015521693655,1520.6666666666667,3.0,6505.127235814144,3770.213151241523,0.837066427264611,0.9730396831156605,0.9534942571495848,0.9219019516689858,0.9034063159791103
Express Exterior Proforma_0695w0000097nchAAA.xlsx,2024.0,True,True,2924.5,4836.561918855328,,0,4,32127.0,0.1,0.1,0.075,1.0499999999999998,2,2409.1666666666665,12.0,7090.948601470587,4037.2731664955018,3283.5833333333335,12.0,9359.171290760867,4703.635082261481,3676.0,4.0,10433.82437073529,4637.808043353118,,,10815.54965259146,4515.945117825588,,,11669.408835690789,4444.198232652335,0.8347403040073155,0.9725162545576783,0.9589059586464986,0.9337097702027102,0.9188754961094648
Flexserve_proforma_ Sonny's (3-mile market)_0695w00000CDfUdAAL.xlsx,2023.0,True,True,10178.5,8236.722369352772,5970.833333333334,2,3,18263.0,0.1,0.05,0.075,1.1,2,6224.666666666667,12.0,4105.2326986862745,5666.158757813932,9911.666666666666,12.0,5418.397195471015,7940.677106290902,10224.916666666666,12.0,5864.618140980393,8247.104347210077,10492.5,2.0,6079.177341260164,8080.777865273844,,,6559.112394517545,8095.119902224501,0.6879142580908879,0.9640578800903383,1.0012604501392368,0.9810671651797848,0.9828083962553908
Flexserve_proforma_ Sonny's_0695w0000097P7VAAU.xlsx,2020.0,False,True,848.5,8519.409366559228,,0,5,53173.0,0.1,0.1,0.15,1.0,2,132.75,12.0,10170.255048161764,6982.227893106142,309.8333333333333,12.0,13423.473277853262,8256.176307689306,404.3333333333333,12.0,14528.935783088236,8688.891794884834,339.9166666666667,12.0,15060.482214176827,9345.388599995124,527.9166666666666,12.0,16249.467652138155,9755.84469480582,0.8195671310869389,0.9691019591213474,1.0198936828873215,1.096952640482105,1.1451315783814668
Flexserve_proforma_ Sonny's_0695w00000APPuhAAH.xlsx,2025.0,True,False,6535.5,10779.453767734129,5519.416666666667,3,4,39410.0,0.1,0.1,0.0,1.125,2,6115.666666666667,12.0,8919.24729319853,8506.995435534669,6388.833333333333,6.0,11772.29844599185,10372.697232195633,,,12741.781847426471,10952.804449327226,,,13207.944597942078,11670.729307209263,,,14250.67706620066,12074.41553682362,0.7891861330671919,0.9622655707512722,1.016081583105072,1.0826828110848221,1.120132410880194
Flexserve_proforma_ Sonny's_069f2000005RkTVAA0.xlsx,2020.0,False,True,501.0,8601.500924500944,,0,10,18163.0,0.0,0.05,0.0,0.625,SERVICE ADVISOR(S),1064.3333333333333,12.0,2356.782801470588,6461.153216089443,974.0833333333334,12.0,3110.660529891304,8203.338842535695,757.25,12.0,3366.8325735294115,8529.288011074079,635.6666666666666,12.0,3490.0093749999996,8694.100608349005,615.9166666666666,12.0,3765.5364309210527,8715.419480726718,0.7511657875528645,0.9537101622774806,0.9916046148154015,1.0107655262332524,1.0132440323178111
KPI Sonny's Express Exterior Proforma_0695w00000ShakXAAR.xlsx,2020.0,False,True,3679.5,6551.283897939687,,0,2,10669.0,0.05,0.1,0.125,0.975,1,4831.666666666667,12.0,2144.0542034007353,5803.676006893561,6035.666666666667,12.0,2829.8852063519025,6446.624841040389,7219.5,12.0,3062.934576286765,6278.339660199433,6479.666666666667,12.0,3174.993158346037,6151.416891983768,4331.916666666667,12.0,3425.650512952303,6110.110055529699,0.8858837591695207,0.9840246494382249,0.9583372905231458,0.9389635661978146,0.9326584148568599
Magic Rabbit CW _Express_proforma_069f2000004sqLAAAY.xlsx,2021.0,True,False,3286.0,3598.04130154618,,0,7,23969.0,0.1,0.1,0.15,1.1,2,3247.4166666666665,12.0,5130.985082450981,2641.0038373971784,0.0,1.0,6772.2629193840585,3502.5071298695166,,,7329.978689215685,3563.061681477285,,,7598.148641260163,3429.1874122990903,,,8198.002481359648,3431.4838257075753,0.7340115401850069,0.9734482837549392,0.9902781493770338,0.9530706083961492,0.9537088482650184
SONNY'S Flex Proforma_069f2000007O43iAAC.xls,2023.0,True,True,2896.5,5972.4566828024335,4678.833333333333,1,3,19000.0,0.1,0.1,0.15,1.275,2,1650.0,12.0,4832.8791875,4878.800517318642,3009.1666666666665,12.0,6378.800169836956,5784.312670706563,3493.3,10.0,6904.113125,6238.345053383811,,,7156.702629573169,6975.24505194657,,,7721.7054687499985,7459.639080988382,0.8168833658295167,0.968498053298967,1.0445190956925645,1.1679021585927354,1.2490068119653777
SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,2024.0,True,False,4293.5,7599.957952543044,,0,1,19885.0,0.1,0.05,0.15,1.15,2,3327.1666666666665,12.0,4637.413796715687,6272.619948452179,4468.0,8.0,6120.810135416668,7171.891851498811,,,6624.876852450982,7675.475778726263,,,6867.2503958333355,8058.16506143256,,,7409.401742872808,8342.288411680998,0.8253492963541041,0.9436752014001608,1.0099366110516375,1.0602907426265686,1.0976756008090232
