source_file,m5_mature,m5_y1,m5_y2,m5_y3,m5_y4,m5_y5
Car Wash Cafe_ SONNY'S Express Proforma_069f2000004sKgFAAU.xlsx,3054.528617417145,2548.0603899319613,3227.23352794519,3142.473076653162,3163.6847886397536,2837.8224672866513
Express Exterior Proforma_0695w0000097nchAAA.xlsx,3465.605300750996,2882.94314058517,3659.5830735728173,3585.6211598425666,3635.425725516851,3274.867032927936
Flexserve_proforma_ Sonny's (3-mile market)_0695w00000CDfUdAAL.xlsx,5678.302737784078,3892.767347510721,5943.979380189359,6134.43954066891,6258.662858226722,5739.119967366696
Flexserve_proforma_ Sonny's_0695w0000097P7VAAU.xlsx,8710.418629763868,7114.250536333557,9165.668414585873,9585.244943573398,10734.731336379511,10257.754975556787
Flexserve_proforma_ Sonny's_0695w00000APPuhAAH.xlsx,7925.533369522649,6233.235552179591,8280.929520106767,8688.931312698793,9640.37692222534,9129.684390585
Flexserve_proforma_ Sonny's_069f2000005RkTVAA0.xlsx,5001.401795184812,3743.976720548732,5179.2133097413425,5351.056917566925,5679.452092492663,5211.511520017972
KPI Sonny's Express Exterior Proforma_0695w00000ShakXAAR.xlsx,3420.847395332979,3020.0632260744883,3655.066814987938,3537.2143140826734,3608.666228980456,3281.060326532095
Magic Rabbit CW _Express_proforma_069f2000004sqLAAAY.xlsx,2633.043436292902,1926.0453389286647,2783.085505590206,2813.354798588148,2819.339485842491,2582.448903908155
SONNY'S Flex Proforma_069f2000007O43iAAC.xls,4662.260520376654,3795.440476877377,4902.8762526885885,5254.388822356549,6117.405545026141,5988.516444679683
SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,5850.358786904467,4812.002906841318,5994.606574839228,6375.083868711749,6969.020536305776,6604.111753552823
Sonny's Express Exterior Proforma  (vehicle market)_0695w00000IU9N0AAL.xlsx,4176.831753204558,3340.4946967637065,4377.741000613754,4605.863510187798,5153.103073340832,4920.167836319733
Sonny's Express Exterior Proforma (As is)_0695w00000AAGRMAA5.xlsx,1140.889339565025,894.6612641514245,1169.0231464071971,1223.7641832026634,1272.757526301015,1168.92843776751
Sonny's Express Exterior Proforma (Market share)_069f2000008N6nuAAC.xlsx,5729.958825089002,4511.8309418305025,5873.8947726511315,6138.609618078854,6376.916862515905,5856.9891338163125
Sonny's Express Exterior Proforma (modified traffic)_0695w00000HHR0tAAH.xlsx,1253.02048726269,1087.5204692377717,1296.8477665363662,1297.450759467671,1312.4876362581488,1190.3581426527585
Sonny's Express Exterior Proforma (traffic volume)_0695w000009kd1pAAA.xlsx,5741.218307736499,4213.71586879883,5841.710505877635,6276.269622582313,6643.5999999999985,6097.130403993694
Sonny's Express Exterior Proforma (with vacs)_0695w00000JbgLSAAZ.xlsx,4241.6850273712,3431.0384012034456,4333.128662393853,4491.767141102154,4647.330574625517,4242.350362325818
"Sonny's Express Exterior Proforma - 1309 West Chester Pike, West Chester, PA 19382_0695w00000WqSN5AAN.xlsx",4743.179693691986,4142.901406215946,4915.040019247851,4936.802652311473,5042.048180167122,4602.613595678149
"Sonny's Express Exterior Proforma - 1809 E Fire Tower Rd, Greenville, NC 27858_069Uc000007cR4oIAE.xlsx",8956.201642896418,6956.203585947146,9336.331057629974,9487.289381453731,9929.251505786311,9059.311514407611
"Sonny's Express Exterior Proforma - 3361 Buford Drive Buford, GA 30519_069Uc00000FA06KIAT.xlsx",5033.531389419183,4057.1232004779627,5283.3637511129855,5455.437800151752,5963.674410143598,5610.995177210508
"Sonny's Express Exterior Proforma - 3710 Washington Rd, Augusta, GA 30907 (Revisions)_069Uc00000EVSL0IAP.xlsx",3902.1289952045295,3100.8438890583116,4084.932976655544,4210.701564309338,4548.1886958637,4238.762322262847
"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx",7792.186009112615,6034.4735853297225,8118.583798665217,8523.712897609788,9384.404993894741,8828.83201579844
"Sonny's Express Exterior Proforma -7989 North Hualapai Way, Las Vegas, NV 89166_0695w00000XImaiAAD.xlsx",5064.77218524855,4101.2145167935505,5441.362659225102,5142.035736783361,4792.807857691241,4291.649217711268
