key,lat,lon
000004_cliff::3,41.196338,-111.97449
000004_cliff::4,41.159933,-111.939492
192616splash::11,34.990011,-92.013519
192616splash::12,34.756041,-92.444207
192616splash::13,34.851651,-92.40558
192616splash::14,35.269066,-94.370042
192616splash::15,35.326652,-94.342695
192616splash::16,34.83218,-92.192783
192616splash::17,35.222838,-92.38763
192616splash::18,35.277776,-93.10338
192616splash::19,34.614015,-92.49773
192616splash::20,36.335907,-94.235017
192616splash::21,36.361368,-94.21604
192616splash::22,36.085657,-94.155815
5017238goclean::1,30.526385,-87.275713
5017238goclean::2,30.476183,-87.307942
5024577greens::3,30.605454,-96.307888
5025495monkey::2,27.548423,-99.450622
acesamericacw_000175::3,33.851562,-117.941116
adore_000584::1,-38.232403,144.374738
advanceautodetailing_000566::1,33.838302,-118.063752
aladdincw_000434::1,31.0889,-97.378205
allwashedup_000264::2,40.261415,-80.17475
allwashedup_000264::4,41.120558,-78.758646
allwashedup_000264::5,40.409711,-79.900653
allwashedup_000264::6,40.281098,-78.862703
allwashedup_000264::7,39.911056,-79.746954
allwashedup_000264::8,40.478258,-78.402908
alohacw_000323::1,47.755382,-122.166059
alohacw_000323::2,47.835908,-122.21219
alpineshell_000609::1,32.835124,-116.765505
altontowncw_000530::1,26.88293,-80.110827
americanpride_000238::4,35.902215,-78.653304
americanpride_000238::5,35.797814,-78.574713
americanpride_000238::6,35.858959,-78.705657
anchorcw_000452::1,42.864477,-85.6589
annascw_000502::1,39.820377,-105.165827
aquabreeze_000406::1,34.197128,-84.792048
aquawave_000292::3,33.9687,-84.036846
arcowash_000251::1,44.983614,-122.984086
atlanticcitycw_000331::1,39.365262,-74.470186
autobahnauto_000404::1,46.212681,-119.173667
autobahnauto_000404::3,46.283099,-119.274808
autobrite_000360::1,36.332877,-78.441112
autosoak_000459::1,38.825659,-94.92762
autosportcw_000436::1,32.549968,-84.933848
autosudsexp_000435::1,40.340261,-76.457167
bashamagical_000650::1,42.566712,-82.91347
beachbumexp_000488::1,33.087543,-117.268484
bigdans_000378::1,34.262307,-85.18479
bigdans_000378::10,28.130977,-82.740572
bigdans_000378::11,33.539649,-84.577612
bigdans_000378::12,33.901651,-84.778104
bigdans_000378::13,27.428992,-82.576271
bigdans_000378::14,34.013011,-81.041265
bigdans_000378::15,28.468519,-81.396159
bigdans_000378::16,34.565569,-83.29788
bigdans_000378::17,33.725871,-84.171171
bigdans_000378::19,27.466827,-82.563773
bigdans_000378::21,28.382025,-81.42606
bigdans_000378::22,34.029605,-84.647831
bigdans_000378::23,31.580766,-84.176607
bigdans_000378::29,28.282156,-81.347203
bigdans_000378::3,34.119558,-84.519205
bigdans_000378::4,28.898676,-82.585966
bigdans_000378::5,28.017111,-82.505558
bigdans_000378::6,34.086503,-84.466657
bigdans_000378::7,27.846598,-82.688864
bigdans_000378::8,27.426118,-82.44885
bigdans_000378::9,28.918719,-81.923034
bigpeachcw_000300::1,33.040158,-83.940806
bigpeachcw_000300::10,33.19464,-84.2839
bigpeachcw_000300::12,32.868044,-83.6982
bigpeachcw_000300::13,33.701432,-85.157536
bigpeachcw_000300::3,33.294722,-83.960225
bigpeachcw_000300::4,32.840717,-83.647454
bigpeachcw_000300::5,33.437645,-84.040119
bigpeachcw_000300::7,33.671605,-83.982027
bigpeachcw_000300::9,30.499714,-84.32811
bigrivercw_000344::1,32.433992,-87.024454
bigrivercw_000344::3,31.799727,-85.983695
bigrivercw_000344::4,32.366088,-86.143386
blastcw_000602::1,32.890905,-96.469285
blueiguanacw_000349::1,37.211697,-93.345945
blueiguanacw_000349::3,37.181032,-93.265337
blueiguanacw_000349::4,37.239386,-93.254061
blueiguanacw_000349::5,37.135337,-93.271683
blueiguanacw_000349::6,37.241265,-93.304637
blueiguanacw_000349::7,37.15707,-93.296527
bluepenguincw_000433::1,33.751527,-84.726989
bluepenguincw_000433::2,33.273809,-84.291857
bluepenguincw_000433::3,33.970502,-84.487679
bluerhinocw_000596::1,34.044253,-84.695038
blueskycw_000466::1,39.820377,-105.165827
bluewave_000567::1,29.934405,-93.930166
bluewave_000567::10,30.068804,-94.132884
bluewave_000567::11,26.185336,-98.205776
bluewave_000567::12,26.303357,-98.176223
bluewave_000567::13,26.205744,-98.286019
bluewave_000567::14,26.2403,-98.244307
bluewave_000567::15,26.267965,-98.215189
bluewave_000567::16,25.942471,-97.430404
bluewave_000567::17,26.171647,-98.006361
bluewave_000567::18,26.190048,-97.71652
