key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region,mature,mean_y1,mean_y2,mean_y3,mean_y4,mean_y5,size_y1,size_y2,size_y3,size_y4,size_y5,open_idx,open_year,cal,ramp1,ramp2,ramp3,ramp4,ramp5,cal_y1,cal_y2,cal_y3,cal_y4,cal_y5
000004_cliff::3,1,3713.799574414989,4838.603653613203,4896.910635563182,4696.8171099698775,4706.272060911552,4954.4274061024535,4954.4274061024535,5517.961538461539,2,False,West,3568.0,1511.3333333333333,2374.1666666666665,3592.3333333333335,3764.1666666666665,4319.0,12.0,12.0,12.0,12.0,2.0,24269,2022,3698.151574694485,0.7495920860280723,0.9766221718484385,0.9883908339299862,0.9480040224597351,0.9499124066516256,2723.4594689726973,3798.3186917250096,3850.1067240312345,3667.8577074972495,
000004_cliff::4,1,3755.204218860601,4753.866713954944,4793.951999958546,4613.894970925658,4658.795111626389,4841.34486759752,4841.34486759752,5737.2307692307695,2,False,West,2538.5,163.33333333333334,2626.8333333333335,2740.75,2839.1666666666665,3529.5,12.0,12.0,12.0,12.0,2.0,24269,2022,3682.2559354491264,0.7756531132482806,0.9819310220537986,0.990210805275169,0.9530192740050075,0.9622935855710442,2835.4866620317352,3893.236418720403,3859.917744649142,3722.211094243216,
192616splash::11,1,6469.1606154353,7590.993386828209,7488.662424236248,7289.144941407413,7165.410351099915,7818.830074301338,7818.830074301338,7062.846153846154,1,False,South,14870.5,7250.916666666667,10446.0,13450.083333333334,14455.5,16235.0,12.0,12.0,12.0,12.0,5.0,24266,2022,7325.084402776639,0.827382172775172,0.9708605142575006,0.9577727553959416,0.9322551931861424,0.9164299879915462,6016.790503103719,7517.425381593645,7499.446770999858,7164.69431975931,
192616splash::12,1,8215.471564863887,10329.023736927124,11117.624296718384,12034.521064232234,12531.473990479251,10807.395992461745,10169.09977363795,11194.0,4,True,South,27293.0,10114.916666666666,19317.416666666668,25525.75,27394.85714285714,,12.0,12.0,12.0,7.0,,24276,2022,12074.407572534676,0.7601712355681471,0.9557365848472389,1.0287051852706264,1.1135449346564539,1.15952760491242,9061.334946116409,12299.023815343955,13377.884538235583,,
192616splash::13,1,9025.069064375675,11547.231638991814,12915.555341783866,14740.136585952823,15833.690301643242,12127.716204868517,9195.805417247298,13048.076923076924,3,True,South,13605.0,6398.083333333333,9474.833333333334,12920.75,13366.90909090909,,12.0,12.0,12.0,11.0,,24272,2022,11460.861033580726,0.7441688865338617,0.9521357066680308,1.0649618711063737,1.2154090957401842,1.3055788933523205,8338.456361535198,11461.72472980781,13349.180990129433,14573.28037394064,
192616splash::14,1,4964.583069795652,5999.015523738639,5851.5807115364805,5533.616519197821,5336.9361011042465,6221.474809924141,6221.474809924141,7282.615384615385,1,False,South,4231.5,2221.0,3661.6666666666665,3972.6666666666665,4129.3,,12.0,12.0,12.0,10.0,,24273,2022,5439.913082639987,0.7979752745886607,0.9642433196336908,0.9405455925341647,0.8894380654520874,0.8578249151778404,4316.177064247377,5590.429817763104,5546.9839920881495,5095.195118657469,
192616splash::15,1,5074.815374126704,6369.51573684308,6711.370204145528,7043.456934534974,7203.406368880956,6662.030066152751,6662.030066152751,4059.153846153846,1,False,South,6596.0,5954.083333333333,7315.5,6442.416666666667,6095.9,,12.0,12.0,12.0,10.0,,24273,2022,5699.64188053953,0.7617520971437697,0.9560923132431021,1.007406171617786,1.0572538497417039,1.0812629629936275,4297.0892785852975,5730.961740386268,6047.996450983621,6399.127322394036,
192616splash::16,1,7898.988651098807,9999.405766966704,10522.976960624312,10954.75281819526,11129.0574355865,10478.087328180682,10026.27121358772,11203.153846153846,3,True,South,13544.0,6240.083333333333,10747.583333333334,13409.0,14051.0,,12.0,12.0,12.0,4.0,,24279,2023,12276.976022422454,0.7538578753638155,0.9543159408562505,1.0042841437599876,1.0454916508218626,1.062126806831915,9099.216981417736,12507.202534533662,13199.396962031846,,
192616splash::17,1,5619.355535430409,6845.110948883506,7149.476660602835,7485.704024635219,7660.932875721184,7111.972879136604,7111.972879136604,5095.307692307692,1,False,South,5471.5,2534.0,4174.333333333333,5018.416666666667,5701.571428571428,,12.0,12.0,12.0,7.0,,24276,2022,6408.30404701286,0.7901261198443434,0.9624770883145585,1.0052733302142154,1.052549574056304,1.0771881453871945,4974.514992162807,6576.227555748925,6984.130877593862,,
192616splash::18,1,6244.135660712203,7564.968149470184,7683.606476389927,7700.14909534866,7674.827601664339,7850.193494789538,7850.193494789538,,0,False,South,10974.5,5779.25,8812.166666666666,10330.083333333334,10990.285714285714,,12.0,12.0,12.0,7.0,,24276,2022,7615.404847778471,0.7954116882414002,0.9636664566919696,0.978779246841472,0.9808865348936344,0.9776609464159584,6032.184005356082,7654.026918463953,8038.410610654738,,
