client_name,client_id,site_id,operational_start,open_year,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,model5_mature
Extreme Express,extremeexpress_000074,1.0,01-2020,2020,7228.0,9541.0,10430.0,10811.0,11665.0,6751.0,9536.0,9611.0,9648.0,8885.0,11750,17015,20150.0,20076.0,19959.0,20066,8985.0
H2GLO CAR WASH,5025585h2glo,1.0,01-2020,2020,5659.0,7469.0,8084.0,8380.0,9041.0,3554.0,4143.0,3933.0,3969.0,3603.0,2493,3852,3655.0,3628.0,3052.0,2776,3840.0
Magic Belle,magictunnel_000072,3.0,01-2020,2020,3540.0,4672.0,5057.0,5242.0,5655.0,5150.0,6349.0,6463.0,6590.0,6058.0,6543,9406,9076.0,3152.0,,6697,6150.0
Mr D Car Wash,mrdcarwash_000205,1.0,01-2020,2020,2631.0,3473.0,3796.0,3935.0,4246.0,2278.0,2981.0,3123.0,3249.0,2984.0,1822,3080,3323.0,3217.0,3098.0,3008,2910.0
Prestige Auto Spa,prestigeautospa_000140,1.0,01-2020,2020,10170.0,13423.0,14529.0,15060.0,16249.0,7114.0,9166.0,9585.0,10735.0,10258.0,133,310,404.0,340.0,528.0,848,8710.0
RAINDANCER OF GLENVILLE,118135glenville,1.0,01-2020,2020,2800.0,3696.0,4040.0,4147.0,4474.0,3789.0,4424.0,4667.0,5220.0,5051.0,1749,1909,1723.0,1556.0,1685.0,1843,4253.0
ROBIN AUTO WASH,231301robin,1.0,01-2020,2020,8084.0,10670.0,11664.0,12090.0,12916.0,2022.0,2500.0,2608.0,2775.0,2616.0,2703,2704,2164.0,,,2166,2423.0
"Texas Star Wash, LLC",1003445texasstar,1.0,01-2020,2020,2357.0,3111.0,3367.0,3490.0,3766.0,3744.0,5179.0,5351.0,5679.0,5212.0,1064,974,757.0,636.0,616.0,501,5001.0
The Auto Spa @ Main Street,mainstreet_000067,1.0,01-2020,2020,2144.0,2830.0,3063.0,3175.0,3426.0,3020.0,3655.0,3537.0,3609.0,3281.0,4832,6036,7220.0,6480.0,4332.0,3680,3421.0
The Washery,allseasonscarwash_000110,1.0,01-2020,2020,1332.0,1758.0,1922.0,1992.0,2128.0,3431.0,4333.0,4492.0,4647.0,4242.0,4072,5264,5459.0,6279.0,6212.0,5770,4242.0
U-DRIVE,udrive_000121,1.0,01-2020,2020,6934.0,9152.0,9905.0,10268.0,11078.0,6525.0,9524.0,9307.0,8872.0,7883.0,3486,7351,8282.0,7227.0,6099.0,7006,9027.0
West Chester Car Wash,westchestercw_000036,1.0,01-2020,2020,8278.0,10926.0,11944.0,12381.0,13226.0,4143.0,4915.0,4937.0,5042.0,4603.0,3159,4106,4699.0,4745.0,4590.0,3852,4743.0
Buff It #2,buffitautowash_000111,2.0,01-2022,2022,2621.0,3460.0,3932.0,4037.0,4356.0,3267.0,3979.0,3877.0,3982.0,3632.0,3722,3950,4279.0,4687.0,4508.0,4832,3730.0
Tampa,dirtydogs_000082,9.0,01-2023,2023,8173.0,10787.0,11676.0,12103.0,13059.0,7416.0,10412.0,11022.0,12071.0,11272.0,6622,8470,9111.0,7093.0,,7976,10086.0
