iter	Passed	Remaining
0	1	931
1	2	859
2	4	933
3	6	911
4	7	905
5	9	898
6	10	883
7	11	873
8	13	864
9	14	856
10	15	843
11	17	857
12	18	842
13	20	841
14	21	852
15	23	846
16	24	840
17	25	838
18	27	833
19	28	837
20	30	829
21	31	822
22	32	815
23	33	814
24	35	809
25	36	815
26	38	813
27	40	832
28	42	844
29	44	840
30	45	840
31	47	835
32	48	830
33	49	823
34	50	818
35	51	813
36	53	817
37	55	816
38	56	812
39	57	808
40	59	804
41	60	805
42	61	800
43	63	803
44	64	799
45	66	795
46	67	791
47	68	789
48	70	789
49	71	785
50	72	784
51	74	781
52	75	781
53	77	781
54	78	777
55	79	773
56	80	770
57	82	768
58	84	778
59	86	778
60	87	777
61	89	774
62	90	772
63	91	770
64	93	767
65	94	764
66	95	761
67	96	758
68	98	754
69	99	752
70	100	750
71	102	751
72	107	774
73	108	772
74	110	771
75	111	770
76	113	768
77	114	765
78	115	761
79	116	760
80	118	759
81	120	761
82	122	760
83	123	758
84	124	757
85	126	755
86	127	753
87	128	749
88	130	746
89	131	744
90	132	742
91	134	745
92	136	743
93	137	740
94	138	737
95	140	735
96	141	733
97	143	733
98	144	731
99	145	728
100	146	726
101	148	723
102	150	724
103	151	724
104	153	722
105	154	719
106	155	717
107	157	715
108	158	714
109	159	712
110	161	710
111	162	708
112	163	706
113	165	705
114	170	717
115	171	715
116	172	713
117	174	712
118	175	710
119	177	708
120	178	705
121	179	703
122	181	702
123	183	703
124	184	702
125	186	700
126	187	698
127	189	697
128	191	699
129	192	697
130	193	694
131	195	691
132	196	689
133	197	688
134	199	688
135	201	687
136	202	685
137	203	682
138	205	681
139	207	680
140	208	678
141	209	676
142	211	675
143	212	673
144	214	673
145	216	672
146	217	670
147	218	668
148	220	666
149	221	665
150	223	664
151	225	663
152	228	666
153	229	665
154	231	665
155	233	665
156	235	663
157	236	662
158	238	661
159	240	660
160	241	659
161	243	657
162	245	657
163	249	663
164	251	662
165	253	662
166	255	661
167	257	661
168	258	660
169	260	659
170	262	658
171	265	659
172	267	659
173	268	658
174	270	656
175	272	655
176	274	655
177	275	653
178	277	652
179	279	651
180	280	650
181	283	649
182	284	648
183	286	648
184	290	652
185	292	652
186	294	650
187	296	650
188	299	651
189	301	650
190	303	650
191	307	652
192	309	653
193	312	653
194	315	654
195	317	654
196	319	653
197	322	654
198	324	654
199	326	653
200	329	654
201	332	654
202	334	653
203	335	651
204	337	650
205	339	649
206	340	647
207	342	644
208	343	642
209	345	641
210	347	641
211	349	638
212	350	636
213	351	634
214	353	632
215	354	630
216	356	630
217	359	629
218	360	627
219	362	626
220	364	624
221	365	622
222	367	620
223	368	618
224	370	617
225	371	615
226	373	612
227	374	610
228	376	609
229	377	607
230	379	606
231	381	604
232	382	602
233	384	601
234	385	599
