source_file,client_name,client_id,site_id,state,lat,lon,proforma_type,operational_start,proforma_assumed_open,open_year,factor_area_profile_choice,factor_area_profile_score,factor_nearest_competition_choice,factor_nearest_competition_score,factor_weekly_hours_choice,factor_weekly_hours_score,factor_type_of_site_choice,factor_type_of_site_score,factor_site_accessibility_choice,factor_site_accessibility_score,factor_entrance_stack_up_choice,factor_entrance_stack_up_score,factor_free_vacuum_slots_choice,factor_free_vacuum_slots_score,factor_pay_stations_choice,factor_pay_stations_score,factor_visibility_choice,factor_visibility_score,factor_traffic_speed_choice,factor_traffic_speed_score,cumulative_site_score,demog_avg_household_size_value,demog_avg_household_size_score,demog_pct_pop_25_65_value,demog_pct_pop_25_65_score,demog_pct_hh_income_35k_value,demog_pct_hh_income_35k_score,demog_base_price_carwash_value,demog_base_price_carwash_score,cumulative_demographic_score,traffic_count,traffic_incr_y3,traffic_incr_y4,traffic_incr_y5,avg_daily_wash_hours,weekly_hours_operation,plateau_loo_location,m5in_era_anchor,m5in_n_era,m5in_pay,m5in_vac,m5in_tos,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,coldstart_v15_y1,coldstart_v15_y2,coldstart_v15_y3,coldstart_v15_y4,coldstart_v15_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,model5_mature,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,actual_nobs_y1,actual_nobs_y2,actual_nobs_y3,actual_nobs_y4,actual_nobs_y5,proforma_y5_monthly,proforma_y5_yearly,proforma_y5_daily,year5_max_hourly,tunnel_length_ft,tunnel_length_m,tunnel_length_actual_m,actuals_suspect
Sonny's Express Exterior Proforma_0695w0000097m9tAAA.xlsx,Extreme Express,extremeexpress_000074,1.0,CA,37.325052,-121.901106,Express Exterior,01-2020,01-2020,2020,Business,0.1,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,14 - 10 Vehicles / Less Than 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.1,2.6,0.0,0.538,-0.0036,0.781,0.21075,12.0,-0.525,-0.0794624999999999,34673.0,0.01,0.01,0.01,12.0,84.0,11287.048719902185,,0,0.1,0.05,0.15,7228.0,9541.0,10430.0,10811.0,11665.0,8510.0,11033.0,11190.0,10788.0,10853.0,6751.0,9536.0,9611.0,9648.0,8885.0,8985.0,11750,17015,20150.0,20076.0,19959.0,20066,12,12,12,12,12,11665.0,139980.0,383.5,120.4,140.4,42.79,,False
Sonny's Express Exterior Proforma_0695w0000097obzAAA.xlsx,H2GLO CAR WASH,5025585h2glo,1.0,VA,37.247566,-80.034668,Express Exterior,01-2020,01-2020,2020,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In/Out With Divided Highway,0.1,More Than 20 Vehicles,0.15,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions / 300 - 400 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.1,2.2,0.0,0.5,-0.015,0.742,0.1815,5.0,0.0,0.0416249999999999,25702.0,0.0,0.0,0.0,12.0,84.0,5591.596707656516,,0,0.1,0.05,0.05,5659.0,7469.0,8084.0,8380.0,9041.0,5194.0,5556.0,5308.0,5145.0,5102.0,3554.0,4143.0,3933.0,3969.0,3603.0,3840.0,2493,3852,3655.0,3628.0,3052.0,2776,12,12,12,12,12,9041.0,108492.0,297.2,93.3,113.3,34.53,,False
Sonny's Express Exterior Proforma_069f2000005RXyRAAW.xlsx,Magic Belle,magictunnel_000072,3.0,OH,40.336635,-83.761489,Express Exterior,01-2020,01-2020,2020,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot With Light / Inside Lot No Light,0.15,Easy In & Easy Out,0.15,More Than 20 Vehicles,0.15,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.35,2.4,0.0,0.54,-0.003,0.76,0.195,10.0,-0.375,-0.04575,14299.0,0.0,0.0,0.0,12.0,84.0,8107.079473466578,,0,0.1,0.1,0.15,3540.0,4672.0,5057.0,5242.0,5655.0,6812.0,7707.0,7896.0,7732.0,7764.0,5150.0,6349.0,6463.0,6590.0,6058.0,6150.0,6543,9406,9076.0,3152.0,,6697,12,12,12,8,0,5655.0,67860.0,185.9,58.4,78.4,23.9,,False
Sonny's Express Exterior Proforma_069f2000005bnKZAAY.xlsx,Mr D Car Wash,mrdcarwash_000205,1.0,WI,43.316824,-88.371848,Express Exterior,01-2020,01-2020,2020,Residential,0.05,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,Less Than 12 Vehicles,0.05,Live Person,0.0,Less Than 300 Feet Both Directions,0.0,Less Than 30 MPH,0.15,0.875,2.5,0.0,0.516,-0.0102,0.76,0.195,6.0,-0.075,0.02745,15231.0,0.01,0.01,0.01,12.0,84.0,7818.09006834269,,0,0.0,0.05,0.05,2631.0,3473.0,3796.0,3935.0,4246.0,6142.0,7377.0,7776.0,7770.0,7796.0,2278.0,2981.0,3123.0,3249.0,2984.0,2910.0,1822,3080,3323.0,3217.0,3098.0,3008,12,12,12,12,12,4246.0,50952.0,139.6,43.8,63.8,19.45,,False
Flexserve_proforma_ Sonny's_0695w0000097P7VAAU.xlsx,Prestige Auto Spa,prestigeautospa_000140,1.0,FL,25.915846,-80.156975,Flexserve,01-2020,01-2020,2020,BUSINESS,0.1,MUTIPLE IN 4 MILES,0.125,MORE THAN 70 HOURS,0.15,CORNER LOT WITH LIGHT,0.15,EASY IN OR EASY OUT ONE WAY,0.05,LESS THAN 20 VEHICLES,0.125,LESS THAN 20 VEHICLES,0.1,2,0.1,MORE THAN 300 FEET BOTH DIRECTIONS,0.05,LESS THAN 50  MPH,0.05,1.0,2.5,0.0,51.6,-0.0101999999999999,0.635,0.10125,10.0,-0.375,-0.0709875,53173.0,,,,,,8519.409366559228,,0,0.1,0.1,0.15,10170.0,13423.0,14529.0,15060.0,16249.0,6982.0,8256.0,8689.0,9345.0,9756.0,7114.0,9166.0,9585.0,10735.0,10258.0,8710.0,133,310,404.0,340.0,528.0,848,12,12,12,12,12,16249.0,194988.0,534.2,167.6,187.6,57.18,,False
Sonny's Express Exterior Proforma 172 Freemans Bridge Rd Scotia_0695w00000QBiivAAD.xlsx,RAINDANCER OF GLENVILLE,118135glenville,1.0,NY,42.846573,-73.941631,Express Exterior,01-2020,01-2020,2020,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.075,2.3,0.0,0.499,-0.0153,0.702,0.1514999999999999,5.0,0.0,0.0340499999999999,12236.0,0.01,0.0,0.0,12.0,84.0,6117.917762240236,,0,0.1,0.1,0.075,2800.0,3696.0,4040.0,4147.0,4474.0,5470.0,5861.0,6223.0,6685.0,7066.0,3789.0,4424.0,4667.0,5220.0,5051.0,4253.0,1749,1909,1723.0,1556.0,1685.0,1843,11,12,12,12,12,4474.0,53688.0,147.1,46.2,66.2,20.18,,False
"Sonny's Express Exterior Proforma 45430 Schenherr Rd., Shelby Twp._0695w00000Q9YSoAAN.xlsx",ROBIN AUTO WASH,231301robin,1.0,MI,42.62987,-82.992314,Express Exterior,01-2020,01-2020,2020,Shopping,0.15,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,14 - 10 Vehicles,0.075,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.025,2.4,0.0,0.514,-0.0108,0.751,0.18825,5.0,0.0,0.0443625,36679.0,0.01,0.01,0.0,12.0,84.0,3495.156466069802,,0,0.1,0.1,0.075,8084.0,10670.0,11664.0,12090.0,12916.0,2927.0,3321.0,3487.0,3563.0,3670.0,2022.0,2500.0,2608.0,2775.0,2616.0,2423.0,2703,2704,2164.0,,,2166,11,12,1,0,0,12916.0,154992.0,424.6,133.3,153.3,46.73,,False
Flexserve_proforma_ Sonny's_069f2000005RkTVAA0.xlsx,"Texas Star Wash, LLC",1003445texasstar,1.0,TX,29.543576,-95.108501,Flexserve,01-2020,01-2020,2020,BUSINESS,0.1,ONE IN 2 MILES,0.075,MORE THAN 70 HOURS,0.15,INSIDE LOT NO LIGHT,0.0,EASY IN OR EASY OUT ONE WAY,0.05,MORE THAN 20 VEHICLES,0.15,LESS THAN 15 VEHICLES,0.05,SERVICE ADVISOR(S),0.0,MORE THAN 300 FEET BOTH DIRECTIONS,0.05,MORE THAN 50 MPH,0.0,0.625,2.2,0.0,53.7,-0.0038999999999999,0.75,0.1875,7.0,-0.15,0.0084,18163.0,,,,,,8601.500924500944,,0,0.0,0.05,0.0,2357.0,3111.0,3367.0,3490.0,3766.0,6461.0,8203.0,8529.0,8694.0,8715.0,3744.0,5179.0,5351.0,5679.0,5212.0,5001.0,1064,974,757.0,636.0,616.0,501,12,12,12,12,12,3766.0,45192.0,123.8,38.8,58.8,17.92,,False
KPI Sonny's Express Exterior Proforma_0695w00000ShakXAAR.xlsx,The Auto Spa @ Main Street,mainstreet_000067,1.0,OK,33.9971,-96.399948,Express Exterior,01-2020,01-2020,2020,Residential,0.05,One in 2 Miles,0.075,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In & Easy Out,0.15,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,12 - 20 Vehicles,0.1,1,0.05,300 - 400 Feet Both Directions,0.05,30 - 40 MPH,0.1,0.975,2.4,0.0,0.49,-0.018,0.53,0.0225,5.0,0.0,0.001125,10669.0,,,,12.0,84.0,6551.283897939687,,0,0.05,0.1,0.125,2144.0,2830.0,3063.0,3175.0,3426.0,5804.0,6447.0,6278.0,6151.0,6110.0,3020.0,3655.0,3537.0,3609.0,3281.0,3421.0,4832,6036,7220.0,6480.0,4332.0,3680,12,12,12,12,12,3426.0,41112.0,112.6,35.3,55.3,16.86,,False
Sonny's Express Exterior Proforma (with vacs)_0695w00000JbgLSAAZ.xlsx,The Washery,allseasonscarwash_000110,1.0,PA,40.983097,-76.023467,Express Exterior,01-2020,01-2020,2020,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.075,2.48,0.0,0.512,-0.0114,0.592,0.0689999999999999,5.0,0.0,0.0143999999999999,5933.0,0.01,0.01,0.0,12.0,84.0,7056.750321520014,,0,0.1,0.1,0.075,1332.0,1758.0,1922.0,1992.0,2128.0,5728.0,6639.0,6926.0,6882.0,6863.0,3431.0,4333.0,4492.0,4647.0,4242.0,4242.0,4072,5264,5459.0,6279.0,6212.0,5770,12,12,12,12,12,2128.0,25536.0,70.0,22.0,42.0,12.8,,False
Sonny's Express Exterior Proforma_0695w00000NTTWNAA5.xlsx,U-DRIVE,udrive_000121,1.0,NV,36.158609,-115.236179,Express Exterior,01-2020,01-2020,2020,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,More Than 20 Vehicles,0.15,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.025,2.69,0.0,0.511,-0.0117,0.658,0.1185,5.0,0.0,0.0267,32002.0,0.0,0.0,0.0,12.0,84.0,11176.60568754442,,0,0.1,0.15,0.075,6934.0,9152.0,9905.0,10268.0,11078.0,8107.0,10860.0,10680.0,9778.0,9491.0,6525.0,9524.0,9307.0,8872.0,7883.0,9027.0,3486,7351,8282.0,7227.0,6099.0,7006,12,12,12,12,12,11078.0,132936.0,364.2,114.3,134.3,40.93,,False
"Sonny's Express Exterior Proforma - 1309 West Chester Pike, West Chester, PA 19382_0695w00000WqSN5AAN.xlsx",West Chester Car Wash,westchestercw_000036,1.0,PA,39.967686,-75.552732,Express Exterior,01-2020,01-2020,2020,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.125,2.4,0.0,0.46,-0.027,0.81,0.2325,6.0,-0.075,0.032625,34610.0,0.01,0.01,0.0,12.0,84.0,6526.0057069472305,,0,0.1,0.1,0.05,8278.0,10926.0,11944.0,12381.0,13226.0,5720.0,6228.0,6295.0,6175.0,6158.0,4143.0,4915.0,4937.0,5042.0,4603.0,4743.0,3159,4106,4699.0,4745.0,4590.0,3852,12,12,12,12,12,13226.0,158712.0,434.8,136.5,156.5,47.7,,False
Sonny's Express Exterior Proforma_0695w00000EwmfXAAR.xlsx,Buff It #2,buffitautowash_000111,2.0,OK,35.892175,-94.98526,Express Exterior,01-2022,01-2022,2022,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.2,2.7,0.0,0.491,-0.0177,0.435,-0.04875,5.0,0.0,-0.0166125,10789.0,0.05,0.04,0.04,12.0,84.0,5549.806330258204,2361.8333333333335,1,0.1,0.1,0.125,2621.0,3460.0,3932.0,4037.0,4356.0,4878.0,5452.0,5346.0,5273.0,5255.0,3267.0,3979.0,3877.0,3982.0,3632.0,3730.0,3722,3950,4279.0,4687.0,4508.0,4832,12,12,12,12,6,4356.0,52272.0,143.2,44.9,64.9,19.78,,False
Sonny's Express Exterior Proforma_0695w000009mphMAAQ.xlsx,Tampa,dirtydogs_000082,9.0,FL,27.995721,-82.384533,Express Exterior,01-2023,01-2023,2023,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.15,2.6,0.0,0.515,-0.0105,0.477,-0.01725,6.0,-0.075,-0.0256875,35430.0,0.0,0.0,0.0,12.0,84.0,11537.82046275747,10.25,3,0.1,0.1,0.15,8173.0,10787.0,11676.0,12103.0,13059.0,8513.0,10969.0,11685.0,12290.0,12539.0,7416.0,10412.0,11022.0,12071.0,11272.0,10086.0,6622,8470,9111.0,7093.0,,7976,12,12,12,6,0,13059.0,156708.0,429.3,134.7,154.7,47.15,,False
Sonny's Express Exterior Proforma_0695w00000NRHDmAAP.xlsx,Ford CarWash,fordroadcw_000592,1.0,MI,42.326516,-83.28874,Express Exterior,01-2024,01-2024,2024,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In Or Easy Out One Way,0.05,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,0.925,2.51,0.0,0.515,-0.0105,0.683,0.13725,5.0,0.0,0.0316875,48159.0,0.0,0.0,0.0,12.0,84.0,5652.749611707792,,0,0.1,0.1,0.125,9462.0,12489.0,13517.0,14012.0,15118.0,4416.0,5330.0,5792.0,6073.0,6265.0,3230.0,4248.0,4587.0,5008.0,4729.0,4149.0,7659,12478,14096.0,,,11452,12,12,6,0,0,15118.0,181416.0,497.0,156.0,176.0,53.64,,False
Sonny's Express Exterior Proforma_0695w00000HGlE6AAL.xlsx,Splash Car Wash,splashcarwash_000318,1.0,CA,36.658386,-121.636727,Express Exterior,02-2021,02-2021,2021,Business,0.1,One in 4 Miles / One in 2 Miles,0.15,More Than 70 Hours,0.15,Corner Lot With Light / Inside Lot Near Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.2250000000000003,3.4,-0.1999999999999999,0.513,-0.0111,0.697,0.1477499999999999,5.0,0.0,-0.0158374999999999,19130.0,0.02,0.01,0.01,12.0,84.0,7146.384039715595,,0,0.1,0.1,0.15,5223.0,6894.0,7611.0,7812.0,8429.0,5365.0,6981.0,7049.0,6741.0,6744.0,4880.0,6918.0,6942.0,6912.0,6329.0,6522.0,6601,6968,6927.0,397.0,,41,12,12,12,9,0,8429.0,101148.0,277.1,87.0,107.0,32.61,,False
Sonny's Express Exterior Proforma_0695w00000M2PM8AAN.xlsx,Jupiter Galaxy Car Wash,jupitercw_000637,1.0,FL,26.935102,-80.137123,Express Exterior,02-2024,05-2023,2024,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,Less Than 300 Feet Both Directions,0.0,40 - 50 MPH,0.05,0.8500000000000001,2.57,0.0,0.52,-0.009,0.829,0.2467499999999999,5.0,0.0,0.0594374999999999,44093.0,0.02,0.02,0.01,12.0,84.0,7894.98532798245,,0,0.1,0.05,0.15,8175.0,10790.0,11912.0,12348.0,13192.0,6621.0,7685.0,8132.0,8947.0,9511.0,6548.0,8281.0,8707.0,9975.0,9707.0,7835.0,1049,1064,378.0,,,622,12,12,5,0,0,13192.0,158304.0,433.7,136.1,156.1,47.58,,False
