client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,ASP_mem,ASP_ret,mem_revenue_pct,mem_count_pct,timezone,address1,state,postal_code,region,lat,lon,operational_start,imputed
Hurricane Bay Express,000003_hurricane,1,2020,1,0.0,0.0,0.0,1700.0,22576.0,,13.28,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,2,0.0,0.0,0.0,2894.0,39437.0,,13.63,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,3,0.0,0.0,0.0,2438.0,32881.0,,13.49,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,4,0.0,0.0,0.0,2367.0,32125.0,,13.57,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,5,0.0,0.0,0.0,3145.0,43118.5,,13.71,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,6,0.0,0.0,0.0,3374.0,46215.5,,13.7,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,7,0.0,0.0,0.0,2864.0,44875.2,,15.67,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,8,0.0,0.0,0.0,2695.0,42643.2,,15.82,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,9,0.0,0.0,0.0,4342.0,68260.8,,15.72,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,10,0.0,0.0,0.0,3444.0,53796.2,,15.62,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,11,0.0,0.0,0.0,2779.0,43276.45,,15.57,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2020,12,0.0,0.0,0.0,3091.0,52317.7,,16.93,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,1,0.0,0.0,0.0,3253.0,50431.0,,15.5,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,2,0.0,0.0,0.0,3828.0,58475.0,,15.28,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,3,0.0,0.0,0.0,4514.0,71109.0,,15.75,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,4,0.0,0.0,0.0,4162.0,65590.0,,15.76,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,5,0.0,0.0,0.0,4819.0,76396.4,,15.85,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,6,0.0,0.0,0.0,3566.0,57108.8,,16.01,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,7,0.0,0.0,0.0,3483.0,55767.8,,16.01,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,8,0.0,0.0,0.0,3352.0,54106.2,,16.14,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,9,0.0,0.0,0.0,3473.0,56013.2,,16.13,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,10,0.0,0.0,0.0,3198.0,51084.8,,15.97,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,11,0.0,0.0,0.0,3332.0,52991.0,,15.9,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2021,12,0.0,0.0,0.0,3176.0,53194.8,,16.75,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2022,1,0.0,0.0,0.0,3964.0,60967.5,,15.38,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2022,2,0.0,0.0,0.0,4570.0,72199.8,,15.8,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2022,3,0.0,0.0,0.0,3909.0,61768.0,,15.8,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2022,4,0.0,0.0,0.0,4214.0,66592.0,,15.8,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Express,000003_hurricane,1,2022,5,0.0,0.0,0.0,2201.0,34213.0,,15.54,0.0,0.0,America/New_York,30 Patriot Dr,KY,40004,South,37.831909,-85.477878,01-2020,0
Hurricane Bay Bardstown,000003_hurricane,2,2025,11,32.0,1.0,20.0,4.0,488.0,0.62,122.0,3.94,20.0,America/New_York,299 Bloomfield Rd,KY,40069,South,37.695717,-85.234953,11-2025,0
Hurricane Bay Bardstown,000003_hurricane,2,2025,12,119.0,279.0,5192.0,836.0,16226.01,43.63,19.41,24.24,25.02,America/New_York,299 Bloomfield Rd,KY,40069,South,37.695717,-85.234953,11-2025,0
Hurricane Bay Bardstown,000003_hurricane,2,2026,1,129.0,357.0,6444.0,468.0,7605.52,49.95,16.25,45.87,43.27,America/New_York,299 Bloomfield Rd,KY,40069,South,37.695717,-85.234953,11-2025,0
