"site_id","location_id","client_id","region","state","created_date","age_on_30_sep_25","subdomain","operation_start_date","new_operational_start_date","operation_end_date","zip","street","city","operator_id","chem_region","group_id","group_name","source"
523,"3",Fresh Wash,South,GA,2023-11-30,1,braseltonexpress_000339,,,2026-01-10 00:00:00.000 +0530,"30501","1051 E E Butler Pkwy",Gainesville,,,,,site_client
244,"1",Bubble Down,South,FL,2021-08-04,3,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"33613","15305 N Nebraska Ave",Tampa,,,,,site_client
631,"2",Hurricane Bay Express,South,KY,2024-11-27,,"000003_hurricane",,,2026-01-10 00:00:00.000 +0530,"40069","299 Bloomfield Rd",Springfield,,,,,site_client
241,"3",Bubble Down,South,FL,2021-11-23,2,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"33619","2491 S Falkenburg Rd",Tampa,,,,,site_client
240,"4",Bubble Down,South,FL,2023-01-12,2,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"33579","10737 Big Bend Rd",Riverview,,,,,site_client
243,"5",Bubble Down,South,FL,2023-07-28,1,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"33543","4149 New River Rd",Zephyrhills,,,,,site_client
242,"6",Bubble Down,South,FL,2024-11-05,0,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"34684","35952 US Hwy 19 N",Palm Harbor,,,,,site_client
238,"7",Bubble Down,South,FL,2025-03-19,0,bubbledown_000358,,,2026-01-10 00:00:00.000 +0530,"34606","3383 Commercial Way",Spring Hill,,,,,site_client
237,"1",Bubble Brothers FL,South,FL,2025-01-07,0,bubblebrothersfl_000730,,,2026-01-10 00:00:00.000 +0530,"32811","916 S Kirkman Rd",Orlando,,,,,site_client
267,"1",Car Wash Company,South,KY,2023-11-08,1,carwashcompanymv_000620,,,2026-01-10 00:00:00.000 +0530,"40047","159 Spring Place Dr",Mount Washington,,,,,site_client
366,"1",Client Design Services,South,FL,2025-05-29,0,cdsdemo_000777,,,2026-01-10 00:00:00.000 +0530,"33321","5870 Hiatus Rd",Tamarac,,,,,site_client
