site_client_id,location_id,client_id,street,city,zip,new_operational_start_date,quarter,current_count,previous_count,yoy_percent_change,location_match_source
9,1,Aloha Car Wash,5360 Laurel Springs Pkwy,Suwanee,30024,,2025,181713.94,196996.0,-7.76,site_client
10,1,Aloha Car Wash 2,13001 NE 177th Pl,Woodinville,98072,,2025,74609.21,77813.6,-4.12,site_client
11,2,Aloha Car Wash 2,17818 Bothell Everett Hwy,Bothell,98012,,2025,79866.25,80275.67,-0.51,site_client
14,1,Alpine Wash,250 S Denton Tap Rd,Coppell,75019,,2025,153450.27,152968.0,0.32,site_client
15,1,Alton Town Center,5200 Donald Ross Rd,Palm Beach Gardens,33418,,2025,94064.69,65277.0,44.1,site_client
18,4,American Pride,8909 Six Forks Rd,Raleigh,27615,,2025,291222.24,274462.0,6.11,site_client
19,1,American Pride,1421 US-70,Garner,27529,,2025,218702.0,225930.0,-3.2,site_client
20,5,American Pride,3810 New Bern Ave,Raleigh,27610,,2025,162939.22,133050.0,22.46,site_client
21,3,American Pride,1203 N Brightleaf Blvd,Smithfield,27577,,2025,390296.33,361289.0,8.03,site_client
24,3,Aqua Blue Car Wash,1097 Duluth Hwy,Lawrenceville,30043,,2025,218303.09,176096.0,23.97,site_client
26,1,Aqua Blue Car Wash,85 Peachtree Industrial Blvd,Sugar Hill,30518,,2025,193216.26,169694.0,13.86,site_client
27,1,Aqua Breeze Car Wash,150 E Felton Rd,Cartersville,30120,,2025,228656.71,185018.0,23.59,site_client
29,1,Aqua Bubble Car Wash,5860 Bethelview Rd,Cumming,30040,,2025,94005.02,105324.0,-10.75,site_client
34,1,Aqua Shine Express,509 S Pleasantburg Dr,Greenville,29607,,2025,67812.19,67932.32,-0.18,site_client
35,1,Arco Wash,4433 Lancaster Dr NE,Salem,97305,,2025,24852.1,25633.0,-3.05,site_client
36,1,Atlantic City Car Wash,44 N Albany Ave,Atlantic City,08401,,2025,175345.76,189175.0,-7.31,site_client
37,1,Atlantic Express,7700 Atlantic Ave,Cudahy,90201,,2025,128957.47,143124.0,-9.9,site_client
38,1,Auto Brite Express,211 N Cooper Dr,Henderson,27536,,2025,109634.72,82986.0,32.11,site_client
40,1,Auto Soak,18711 S Gardner Rd,Gardner,66030,,2025,97796.31,78600.0,24.42,site_client
43,3,Autobahn Auto Care Center,1225 Guyer Ave,Richland,99352,,2025,39744.58,16375.96,142.7,site_client
44,1,Autobahn Auto Care Center,3928 W Clearwater Ave,Kennewick,99336,,2025,178428.0,179010.0,-0.33,site_client
46,1,Autosport Car Wash,6628 Whittlesey Blvd,Columbus,31909,,2025,105592.38,99899.0,5.7,site_client
47,1,Autowash Express,1398 S Wadsworth Blvd,Lakewood,80232,,2025,42161.46,43464.1,-3.0,site_client
51,1,Bamboo Carwash,240 Marketplace Blvd,Dawsonville,30534,,2025,343027.18,321851.0,6.58,site_client
54,1,Beach Bum Express,7602 El Camino Real,Carlsbad,92009,,2025,79196.0,77206.0,2.58,site_client
55,1,Bella Stone Car Wash,2413 Palermo Parkway,Temple,76502,,2025,39844.13,39527.0,0.8,site_client
60,1,Big Kahuna Car Wash,61 Commodore St,Hazard,41701,,2025,52366.46,53101.0,-1.38,site_client
61,1,Big Peach Car Wash,126 N Lee St,Forsyth,31029,,2025,197919.48,211999.0,-6.64,site_client
64,3,Big Peach Car Wash,583 E 3rd St,Jackson,30233,,2025,151589.82,153084.0,-0.98,site_client
68,7,Big Peach Car Wash,1935 Hwy 138 SE,Conyers,30013,,2025,91225.0,97991.0,-6.9,site_client
