site_key,panel_name,client_id,site_id,state,region,city,panel_lat,panel_lon,annual_washes,annual_year,monthly_washes,Name,Latitude,Longitude,client_name,_Match,__longitude,__latitude,__name,2025 Estimate,Growth 2025-2020,Growth 2030-2025,2025 Average Age,Labor Force,Average Household Income,Median Household Income,Renter-Occupied,1 vehicle,2 vehicles,3 vehicles,4 vehicles,5 or more vehicles,Total Vehicles Available in the Market,Average Number of Vehicles Available,"$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999",Median Household Income.1,Average Household Income.1,Current Year Estimated Owner-Occupied Housing Units by Value,Count of Car Wash Competitors,Nearest Car Wash Competitors-Name,2nd Nearest Car Wash Competitors-Name,3rd Nearest Car Wash Competitors-Name,Nearest Car Wash Competitors-Distance,Nearest Car Wash Competitors-Competitor Type,Nearest Car Wash Competitors-Car Wash Type,Nearest Car Wash Competitors-Website,2nd Nearest Car Wash Competitors-Distance,2nd Nearest Car Wash Competitors-Competitor Type,2nd Nearest Car Wash Competitors-Car Wash Type,2nd Nearest Car Wash Competitors-Website,3rd Nearest Car Wash Competitors-Distance,3rd Nearest Car Wash Competitors-Competitor Type,3rd Nearest Car Wash Competitors-Car Wash Type,3rd Nearest Car Wash Competitors-Website,Count of ChainXY VT - Mass Merchant,Nearest ChainXY VT - Mass Merchant-Chain Name,Nearest ChainXY VT - Mass Merchant-Distance,2nd Nearest ChainXY VT - Mass Merchant-Chain Name,2nd Nearest ChainXY VT - Mass Merchant-Distance,3rd Nearest ChainXY VT - Mass Merchant-Chain Name,3rd Nearest ChainXY VT - Mass Merchant-Distance,Count of ChainXY VT - Grocery,Count of ChainXY VT - Department Store,Nearest StreetLight US Hourly-ttl_overnight,Nearest StreetLight US Hourly-ttl_breakfast,Nearest StreetLight US Hourly-ttl_lunch,Nearest StreetLight US Hourly-ttl_afternoon,Nearest StreetLight US Hourly-ttl_dinner,Nearest StreetLight US Hourly-ttl_night,Nearest StreetLight US Hourly-Highway,2025 % HH with Income $50K+,client_id_1
bluewave_000567_17,BlueWave Weslaco,bluewave_000567,17,TX,South,1112 N Westgate Dr,26.171647,-98.006361,359320.0,2025.0,29943.0,bluewave_000567,26.171539,-98.0063819,BlueWave,Lat/Lng,-98.0063819,26.171539,BlueWave,62483.795049127075,0.0842339581292423,0.1090121457523887,37.60345580265372,28101.531774761446,75570.06936398832,59274.22842815121,6527.146311854245,6017.874389316188,6691.942217894131,3062.0216777040623,1055.7489124808926,591.6776382962707,35769.20769962156,1.8564008976110096,1674.0690703035798,1396.243094664649,979.0942866841796,472.92835612781346,402.16849401639774,59274.22842815121,75570.06936398832,12821.386054198374,4,BlueWave Expresss Car Wash,Lammscloth Express Carwash,Quick Quack Car Wash,0.0128221651286494,National Chain,,,0.9706906761047293,Tunnel Car Wash,,,2.2949002958006073,National Chain,Express,www.dontdrivedirty.com,3,Walmart USA,1.153559638730192,Walmart USA,2.142999090243047,Walmart USA,2.2377971687952396,0,1,717,4425,4242,4548,4930,3240,tertiary,56.02224003540962,bluewave_000567
bubbledown_000358_3,Bubble Down Brandon,bubbledown_000358,3,FL,South,2491 S Falkenburg Rd,27.925548,-82.338901,355811.0,2025.0,29651.0,bubbledown_000358,27.9255079,-82.3388833,Bubble Down,Lat/Lng,-82.3388833,27.9255079,Bubble Down,103131.61226398568,0.1120870007523924,0.0754651900958321,37.89150865684171,57146.98002693569,94829.05716653966,78232.67135960449,22385.8285541184,19222.877768549253,15325.506475580274,3336.8399378313916,984.1891142034438,176.24839666858315,64702.40897336067,1.587285741831475,5068.3080035439925,3203.279884038493,1939.113690518774,1530.0453826243756,1714.6347150814254,78232.67135960449,94829.05716653966,18405.434215280227,6,Bubble Down Car Wash,Victory Car Wash,ModWash,0.0026555283713148,Tunnel Car Wash,Express,www.bubbledown.com,0.941861011851541,Tunnel Car Wash,Flex/Detail,www.victorycarwashfl.com,1.0323509621736242,National Chain,Express,www.modwash.com,4,Walmart USA,0.7515503075119947,Target,1.200308742159993,Target,2.0749255552595067,7,4,739,4036,3787,4248,4220,2324,tertiary,71.26345906205951,bubbledown_000358
superduper_000580_1,Super Lux,superduper_000580,1,CA,West,17670 Castleton St,33.993963,-117.917852,355720.0,2025.0,29643.0,superduper_000580,33.992799,-117.918235,Super Duper,Lat/Lng,-117.918235,33.992799,Super Duper,138760.55712785455,-0.0240020614005093,0.0037035889544179,42.494040119857274,72494.33030813071,133147.35126998505,106034.2459346957,13569.100054798866,8565.16471550657,14465.160985000668,9120.40403961448,4070.6663937479752,2336.495877868496,92821.84376868572,2.333758605410951,4271.045654013338,3800.759765556457,3384.5715323157674,2570.243685995567,3952.51737535694,106034.2459346957,133147.35126998505,26534.084962186706,10,Super Lux Car Wash,Stoner Creek Car Wash,ProWash Car Wash,0.0010724468642644,Tunnel Car Wash,Express,www.superluxcarwash.com,0.3194571925124215,Tunnel Car Wash,Closed,,0.7577435711429548,Tunnel Car Wash,Express/Fuel,No Website Listed,3,Target,0.0489782842898436,Walmart USA,0.8980594198452098,Target,2.8416051915153178,2,0,154,1663,2547,2747,2685,1119,tertiary,78.8689422927371,superduper_000580
luvcarwash_000457_55,Ventura West,luvcarwash_000457,55,CA,West,22517 Ventura Blvd,34.168099,-118.61746,344303.0,2025.0,28692.0,luvcarwash_000457,34.168104,-118.617423,Luv Car Wash,Lat/Lng,-118.617423,34.168104,Luv Car Wash,139609.2579563642,-0.0150744479523675,0.049927968196757,42.837602253017195,78843.58559626783,176463.39050690504,127252.93319457278,23452.66309284279,17143.037456576247,22193.37848312978,7096.0080026042415,2805.8340998332715,1122.7280718955444,99654.79518945934,1.885639375124721,4814.34219930938,4293.478236600873,3962.540815160144,3368.7032199708046,8550.950025495142,127252.93319457278,176463.39050690504,29585.031315253465,5,LUV Car Wash,Red Carpet Car Wash,LUV Car Wash,0.0206808854730514,National Chain,Express,www.luvcarwash.com,1.8831589457376936,Tunnel Car Wash,Full Service/Detail ,www.redcarpetusa.com,1.9349815614250856,National Chain,Express,www.luvcarwash.com,4,Walmart USA,1.3825517874980455,Target,1.6293482866583275,Target,1.8569978892921677,6,4,1194,6785,5781,5776,5298,3598,secondary,80.22475425068241,luvcarwash_000457
bluewave_000567_25,BlueWave Bibb,bluewave_000567,25,TX,South,645 South Bibb Ave,26.204434,-98.215872,337049.0,2025.0,28087.0,bluewave_000567,28.6989929,-100.4849209,BlueWave,Lat/Lng,-100.4849209,28.6989929,BlueWave,40607.364872351725,0.0203142559381973,0.057651794022881,38.5312570335788,18416.662483415217,71541.39136592348,54968.74753026663,4981.102235410712,3935.437883303268,4953.240663970588,1768.392200760194,758.9999418691732,445.999971173238,24413.09543686791,1.876076360358692,1095.371015752782,764.6907551042968,511.6964521323098,269.55143464612775,307.7109759335872,54968.74753026663,71541.39136592348,8031.7451905865455,2,BlueWave Express Car Wash,Blue Wave Car Wash,,0.0207708082639163,National Chain,,,0.8151540898214334,National Chain,Express,www.bluewaveexpress.com,0.0,,,,1,Walmart USA,0.2899959081598984,,0.0,,0.0,0,1,498,2006,2339,2685,2948,2287,secondary,53.237459870873174,bluewave_000567
luvcarwash_000457_59,Topanga,luvcarwash_000457,59,CA,West,6829 Topanga Canyon Blvd,34.194692,-118.606377,323145.0,2025.0,26929.0,luvcarwash_000457,34.1945855,-118.6064073,Luv Car Wash,Lat/Lng,-118.6064073,34.1945855,Luv Car Wash,217263.85705005645,-0.0007402613060073,0.0449836865389608,41.66419268328587,122280.70558944676,142238.60022253706,107498.4903656937,37237.092031755485,26049.744502551388,29531.609214316588,10675.1679037516,3899.567512843292,1924.0336466832089,142356.90492722858,1.8675749323758184,7124.226037958637,6162.402015345171,5572.223301578313,4659.590512947179,9427.246182946024,107498.4903656937,142238.60022253706,39229.600292456336,6,LUV Car Wash,Red Carpet Car Wash,Sinclair Car Wash ,0.0044575329904896,National Chain,Express,www.luvcarwash.com,0.0893407435454025,Tunnel Car Wash,Full Service/Detail ,www.redcarpetusa.com,0.6675566241800552,Tunnel Car Wash,Express/Petrol/Lube,www.stations.sinclairoil.com,4,Target,0.2867489937101222,Walmart USA,1.1051367247778907,Target,1.1947187796793672,5,4,1722,8276,6931,7472,7113,4828,primary,76.51414993431982,luvcarwash_000457
bluewave_000567_26,BlueWave Del Rio,bluewave_000567,26,TX,South,2201 Veterans Blvd,26.204434,-98.215872,323082.0,2025.0,26924.0,bluewave_000567,29.389023,-100.904658,BlueWave,Lat/Lng,-100.904658,29.389023,BlueWave,34463.42489345581,0.0029821614589948,0.0423097982996793,38.90181923788521,16795.460601810482,83855.0770271367,65161.42872670083,4370.698743650108,3480.8979602179024,4544.920684850658,2192.2797315190546,543.325644290424,275.9747910350561,22700.75505681336,1.9173031393645827,1272.4889280305945,883.1096190684475,643.762752939947,356.19285327754915,344.84516115963925,65161.42872670083,83855.0770271367,7490.0157887864625,2,BlueWave Express Car Wash,Wash N Go Express Tunnel,,0.011654460893425,National Chain,,,1.2696072263966436,Tunnel Car Wash,,,0.0,,,,1,Walmart USA,0.4575034537445737,,0.0,,0.0,0,1,396,1850,2150,2430,2456,1624,primary,60.33724740902851,bluewave_000567
splashfl_000574_2,Splash Herbert St,splashfl_000574,2,FL,South,956 Herbert St,29.137866,-81.009766,319898.0,2025.0,26658.0,splashfl_000574,29.137568,-81.009838,Splash,Lat/Lng,-81.009838,29.137568,Splash,71416.05294272055,0.0280833569448409,-0.0322655735377579,48.55921082416822,33982.51533866754,85584.26484908134,68196.90871992994,10805.7146092928,14289.490073456544,13627.110452502731,2904.7643442127155,622.2981051317183,350.13777355104685,54497.885299382266,1.6338465941412632,3460.781186758424,2370.315762682003,1570.5120164252585,858.6935831375886,1072.5035253885435,68196.90871992994,85584.26484908134,22598.893193165302,7,Splash Car Wash,Splash Car Wash,Mister Car Wash,0.013938346303733,Tunnel Car Wash,Express,www.mysplashcarwash.com,0.6486547912797359,Tunnel Car Wash,Flex/Detail,www.mysplashcarwash.com,1.5315082039712524,National Chain,Express,www.mistercarwash.com,4,Walmart USA,1.4536590702310457,Walmart USA,1.5482524838186635,Target,2.213992529228938,6,0,117,1546,1304,1443,1087,427,tertiary,63.31254412566858,splashfl_000574
192616splash_12,West Little Rock - Chenal Pkwy,192616splash,12,AR,South,15701 Chenal Pkwy,34.756041,-92.444207,312827.0,2025.0,26069.0,192616splash,34.756118,-92.443288,Splash Car Wash,Lat/Lng,-92.443288,34.756118,Splash Car Wash,46962.443227658834,0.028097041400515,0.055952483279113,40.2955298431004,24982.890907039255,157590.99587502793,103036.77479331532,7686.351890776365,7215.921385094931,8831.205662855355,2133.618577282119,778.5245487693464,284.44734691048507,35815.52337228181,1.7816300812070107,1873.9592068848433,1436.634116565634,1475.11313565413,1160.453909759177,2428.900598132459,103036.77479331532,157590.99587502793,12423.61580119899,3,Splash Car Wash ,Genesis Auto Wash,Zips Car Wash,0.036884740490197,National Chain,Flex/Detail/Lube,www.cleancarfast.com,0.610666919952171,Tunnel Car Wash,Flex/Detail,www.genesisautowash.com,2.095371998060547,National Chain,Express/Lube,www.zipscarwash.com,2,Target,1.6161933594848743,Walmart USA,1.9346696004747015,,0.0,6,0,379,4447,3848,3957,3177,1300,secondary,76.95763999860425,192616splash
washcity_000125_3,Wash City Apopka,washcity_000125,3,FL,South,1860 E Semoran Blvd,28.672291,-81.474933,311806.0,2024.0,25984.0,washcity_000125,28.672291,-81.474933,Wash City,Lat/Lng,-81.474933,28.672291,Wash City,77254.33989826648,0.1159729214378096,0.1015177595864367,41.05301618308332,40385.2598835245,115381.14271634516,87324.06275599629,8123.979359661112,8647.247812269314,11785.962392096524,4232.08268203371,1093.9099765017745,512.8341511657345,51855.23130439926,1.9032993496873676,3228.170214000391,2237.504642050655,1597.0060361619107,1200.9944591983804,1954.4575917538025,87324.06275599629,115381.14271634516,19169.455470038058,3,Wash City Car Wash,Waters Car Wash,Vision Car Wash,0.0086726552008411,National Chain,Express,www.washcitycarwash.com,1.2800780661970437,National Chain,Express,www.waterscarwash.com,2.752657929586616,Tunnel Car Wash,Express,www.visioncarwash.com,2,Walmart USA,1.0789030751701931,Walmart USA,1.615554274287821,,0.0,4,0,793,5449,4143,4290,4019,2070,primary,74.43250331533721,washcity_000125
