month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
0,2026-06,0,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,0.8775980943970698,9244.451164836943,9.131886943586359,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,23052.4730133014,9993.998100564,53173.56544214267,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
1,2026-07,1,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,0.8996126035898373,9244.676146661623,9.131911277616503,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12799.06595335053,5548.812084194679,29522.731495058724,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
2,2026-08,2,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,0.9188518084341106,10130.253678290028,9.22338034854771,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10258.70882698763,4447.484505111262,23663.063171094982,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
3,2026-09,3,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,0.9188518084341106,9111.961022302028,9.117452967333685,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10913.491715699012,4731.354220186408,25173.406150921932,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
4,2026-10,4,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,0.9216271127826049,10351.548162208257,9.244987967638629,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12840.291504746287,5566.684703852716,29617.823659520465,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
5,2026-11,5,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,0.9311809583403037,7890.065565646182,8.973486457401252,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12531.848639589098,5432.96467274218,28906.359563406597,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
6,2026-12,6,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,0.9311809583403037,7995.331340345833,8.98673813302411,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,13543.304620891824,5871.4637938608075,31239.416011737074,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
7,2027-01,7,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,0.9433005375798763,8706.862551449118,9.071981638060036,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8355.823636342266,3622.5217789895146,19273.807833705276,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
8,2027-02,8,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,0.9768450392898576,9583.77526757599,9.16793120894259,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10480.23618451722,4543.523831959024,24174.04520048627,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
9,2027-03,9,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,0.9776192020759001,12936.217457363813,9.467863510724907,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12305.741743673623,5334.93996680283,28384.814225518385,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
