level,level_value,age_months,ramp_factor
national,ALL,0,0.9427937369005055
national,ALL,1,0.946642233771954
national,ALL,2,0.9504907306434024
national,ALL,3,0.9727788717711109
national,ALL,4,0.9727788717711109
national,ALL,5,0.9758073542550927
national,ALL,6,0.9727788717711109
national,ALL,7,0.9633092506020683
national,ALL,8,0.9633092506020683
national,ALL,9,0.970292072074536
national,ALL,10,0.970292072074536
national,ALL,11,0.970292072074536
national,ALL,12,0.9754637941352483
national,ALL,13,0.970292072074536
national,ALL,14,0.9754637941352483
national,ALL,15,0.9764388199181564
national,ALL,16,0.9861730964050051
national,ALL,17,0.9764388199181564
national,ALL,18,0.9861730964050051
national,ALL,19,0.9770197486535009
national,ALL,20,0.9861730964050051
national,ALL,21,0.9925134002480465
national,ALL,22,0.9970786839710741
national,ALL,23,1.0029431529657522
national,ALL,24,1.0
national,ALL,25,1.0
national,ALL,26,1.0
national,ALL,27,1.0
national,ALL,28,1.0
national,ALL,29,1.0
national,ALL,30,1.0
national,ALL,31,1.0
national,ALL,32,1.0
national,ALL,33,1.0
national,ALL,34,1.0
national,ALL,35,1.0
national,ALL,36,1.0
national,ALL,37,1.0
national,ALL,38,1.0
national,ALL,39,1.0
national,ALL,40,1.0
national,ALL,41,1.0
national,ALL,42,1.0
national,ALL,43,1.0
national,ALL,44,1.0
national,ALL,45,1.0
national,ALL,46,1.0
national,ALL,47,1.0
national,ALL,48,1.0
national,ALL,49,1.0
national,ALL,50,1.0
national,ALL,51,1.0
national,ALL,52,1.0
national,ALL,53,1.0
national,ALL,54,1.0
national,ALL,55,1.0
national,ALL,56,1.0
national,ALL,57,1.0
national,ALL,58,1.0
national,ALL,59,1.0
national,ALL,60,1.0
region,Midwest,0,0.9534441298412377
region,Midwest,1,0.9681395285956886
region,Midwest,2,0.9780874190686857
region,Midwest,3,0.9766384274030879
region,Midwest,4,0.9766384274030879
region,Midwest,5,0.9780874190686857
region,Midwest,6,0.9766384274030879
region,Midwest,7,0.9489724278386833
region,Midwest,8,0.9489724278386833
region,Midwest,9,0.9570230607966457
region,Midwest,10,0.9570230607966457
region,Midwest,11,0.9615465812673314
region,Midwest,12,0.9615465812673314
region,Midwest,13,0.9615465812673314
region,Midwest,14,0.9615465812673314
region,Midwest,15,0.942782124404592
region,Midwest,16,0.942782124404592
region,Midwest,17,0.9499424567041157
region,Midwest,18,0.9499424567041157
region,Midwest,19,0.9454613303647081
region,Midwest,20,0.9499424567041157
region,Midwest,21,0.9499424567041157
region,Midwest,22,0.9500173614283887
region,Midwest,23,0.9620532634193459
region,Midwest,24,1.001762936395453
region,Midwest,25,1.001762936395453
region,Midwest,26,1.001762936395453
region,Midwest,27,1.001762936395453
region,Midwest,28,1.001762936395453
region,Midwest,29,1.001762936395453
region,Midwest,30,1.001762936395453
region,Midwest,31,1.001762936395453
region,Midwest,32,1.001762936395453
region,Midwest,33,1.001762936395453
region,Midwest,34,1.001762936395453
region,Midwest,35,1.001762936395453
region,Midwest,36,1.001762936395453
region,Midwest,37,1.001762936395453
region,Midwest,38,1.001762936395453
region,Midwest,39,1.001762936395453
region,Midwest,40,1.001762936395453
region,Midwest,41,1.001762936395453
region,Midwest,42,1.001762936395453
region,Midwest,43,1.001762936395453
region,Midwest,44,1.001762936395453
region,Midwest,45,1.001762936395453
region,Midwest,46,1.001762936395453
region,Midwest,47,1.001762936395453
region,Midwest,48,1.001762936395453
region,Midwest,49,1.001762936395453
region,Midwest,50,1.001762936395453
region,Midwest,51,1.001762936395453
region,Midwest,52,1.001762936395453
region,Midwest,53,1.001762936395453
region,Midwest,54,1.001762936395453
region,Midwest,55,1.001762936395453
region,Midwest,56,1.001762936395453
region,Midwest,57,1.001762936395453
region,Midwest,58,1.001762936395453
region,Midwest,59,1.001762936395453
region,Midwest,60,1.001762936395453
region,Northeast,0,0.8858524737224498
region,Northeast,1,0.9429262368612249
region,Northeast,2,0.8858524737224498
region,Northeast,3,1.0
region,Northeast,4,0.8858524737224498
region,Northeast,5,0.881407731344147
region,Northeast,6,0.881407731344147
region,Northeast,7,1.0065025502117282
region,Northeast,8,1.0901475561020597
region,Northeast,9,1.1023670458038735
region,Northeast,10,1.1241360934113818
region,Northeast,11,1.1241360934113818
region,Northeast,12,1.1241360934113818
region,Northeast,13,1.1077550751817853
region,Northeast,14,1.101113967437875
region,Northeast,15,1.0584427994178887
region,Northeast,16,1.0207955855655397
region,Northeast,17,1.0129833729081905
region,Northeast,18,0.9269998871713867
region,Northeast,19,0.9269998871713867
region,Northeast,20,0.9269998871713867
region,Northeast,21,0.9919096578459464
region,Northeast,22,1.0968069502425815
region,Northeast,23,1.0968069502425815
region,Northeast,24,1.0573503283934902
region,Northeast,25,1.0573503283934902
region,Northeast,26,1.0573503283934902
region,Northeast,27,1.0573503283934902
region,Northeast,28,1.0573503283934902
region,Northeast,29,1.0573503283934902
region,Northeast,30,1.0573503283934902
region,Northeast,31,1.0573503283934902
region,Northeast,32,1.0573503283934902
region,Northeast,33,1.0573503283934902
region,Northeast,34,1.0573503283934902
region,Northeast,35,1.0573503283934902
region,Northeast,36,1.0573503283934902
region,Northeast,37,1.0573503283934902
region,Northeast,38,1.0573503283934902
region,Northeast,39,1.0573503283934902
region,Northeast,40,1.0573503283934902
region,Northeast,41,1.0573503283934902
region,Northeast,42,1.0573503283934902
region,Northeast,43,1.0573503283934902
region,Northeast,44,1.0573503283934902
region,Northeast,45,1.0573503283934902
region,Northeast,46,1.0573503283934902
region,Northeast,47,1.0573503283934902
region,Northeast,48,1.0573503283934902
region,Northeast,49,1.0573503283934902
region,Northeast,50,1.0573503283934902
region,Northeast,51,1.0573503283934902
