client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
360carwash_1,2024-02-19,32.6466149,-96.5333187,TX,South,Seagoville,75159,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cb94edfffff
alpineshell_1,2024-02-05,32.835188,-116.765481,CA,West,Alpine,91901,young,41740,"San Diego-Carlsbad, CA",8829a4424bfffff
amerishinecarwash_0261b387ac69db2e1b0e7d69ea0e4033719134be5fcf4675b677abb289a40971,2024-01-01,32.536298,-92.104572,LA,South,MONROE,71201-3613,young,33740,"Monroe, LA",88444e181bfffff
amerishinecarwash_16fe06fb9961d5964f1dc53de81393d4ab83b894753cb4065437eb65baf1ce8a,2024-01-01,32.47927,-93.716855,LA,South,SHREVEPORT,71105-2202,young,43340,"Shreveport-Bossier City, LA",88444c3063fffff
amerishinecarwash_17a520c181f545c3373a8e9c8ffb349f39e1b408585c2a286160b7e2fb6f56ad,2024-01-01,31.2945966,-92.5162082,LA,South,ALEXANDRIA,71303-3735,young,10780,"Alexandria, LA",8844411243fffff
amerishinecarwash_42bcf4d5e66908109e70a8a8fdd0bbca24f5bc5941ab63aee554065d094b67ef,2024-01-01,32.3997169,-93.8074496,LA,South,SHREVEPORT,71118-3127,young,43340,"Shreveport-Bossier City, LA",88444ca8bbfffff
amerishinecarwash_7694b30dfbd52c328e5105978d227b74ea19e62b77378e31f304dc272260c33c,2024-01-01,32.4461256,-93.8623978,LA,South,SHREVEPORT,71129-2513,young,43340,"Shreveport-Bossier City, LA",88444cad1bfffff
amerishinecarwash_87724d3819b5c0d3066b7020ae0810e51fd65f183fe5c31e994ca241fd01b40a,2024-01-01,39.3952576,-81.5000379,LA,South,PINEVILLE,71360,young,31930,"Marietta, OH",882a820445fffff
anthonyscarcarecenters_4964c97b6f9af421953b95837ed36ece5856c16363d78ca09af68087200e97ba,2024-01-01,35.543434,-89.663313,AL,South,BIRMINGHAM,35216-3782,young,32820,"Memphis, TN-MS-AR",88264a5093fffff
aquashineexpress_3,2024-11-06,26.646338,-81.9860327,FL,South,Cape Coral,33991,young,15980,"Cape Coral-Fort Myers, FL",8844133807fffff
bashamagicaltouchcarwash_1,2024-07-18,42.566565,-82.913395,MI,Midwest,Clinton Township,48035,young,19820,"Detroit-Warren-Dearborn, MI",882ab2d751fffff
bigdans_098a56f462311ae9d6648cae2ba231cbedaa7522be4a60d7c8fe8d5f0fd97690,2024-01-01,28.4684259,-81.3963728,FL,South,ORLANDO,32809-4609,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a90285fffff
bigdans_90180adbc720f01f42cef4fbed8b696b5c015f6579a6473cb4caef283946b71c,2024-01-01,31.580736,-84.177034,GA,South,ALBANY,31701-1405,young,10500,"Albany, GA",8844e341d7fffff
bigdans_ae62be4a0415bf3e86e4d73861eebb0e73c3f7c35b224ad8cbd029a2c03079fd,2024-01-01,28.281645,-81.3463469,FL,South,KISSIMMEE,34744-5402,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a91335fffff
